frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846293.500243,16.887,85.484,0.000067
1,1789846293.545166,11.746,85.484,0.000067
2,1789846293.589532,6.053,85.484,0.000067
3,1789846293.639920,6.353,85.484,0.000067
4,1789846293.689798,6.137,85.484,0.000067
5,1789846293.740053,6.332,85.484,0.000067
6,1789846293.789829,6.051,85.484,0.000067
7,1789846293.840080,6.243,85.484,0.000067
8,1789846293.889974,6.071,85.484,0.000067
9,1789846293.940261,6.301,85.484,0.000067
10,1789846293.990109,6.090,85.484,0.000067
11,1789846294.041511,7.398,85.484,0.000067
12,1789846294.091465,7.289,85.484,0.000067
13,1789846294.141737,7.504,85.484,0.000067
14,1789846294.191617,7.326,85.484,0.000067
15,1789846294.241834,7.516,85.484,0.000067
16,1789846294.291656,7.254,85.484,0.000067
17,1789846294.342115,7.655,85.484,0.000067
18,1789846294.391852,7.306,85.484,0.000067
19,1789846294.442223,7.609,85.484,0.000067
20,1789846294.491520,6.845,85.484,0.000067
21,1789846294.542589,7.857,85.484,0.000067
22,1789846294.592440,7.614,85.484,0.000067
23,1789846294.642698,7.793,85.484,0.000067
24,1789846294.692865,7.871,85.484,0.000067
25,1789846294.743061,8.006,85.484,0.000067
26,1789846294.792860,7.761,85.484,0.000067
27,1789846294.843344,8.156,85.484,0.000067
28,1789846294.893048,7.771,85.484,0.000067
29,1789846294.943269,7.934,85.484,0.000067
30,1789846294.993250,7.829,85.484,0.000067
31,1789846295.043556,8.050,85.484,0.000067
32,1789846295.093119,7.552,85.484,0.000067
33,1789846295.143469,7.803,85.484,0.000067
34,1789846295.193529,7.782,85.484,0.000067
35,1789846295.243847,8.020,85.484,0.000067
36,1789846295.293607,7.694,85.484,0.000067
37,1789846295.344129,8.129,85.484,0.000067
38,1789846295.393839,7.740,85.484,0.000067
39,1789846295.443994,7.838,85.484,0.000067
40,1789846295.493607,7.392,85.484,0.000067
41,1789846295.543690,7.414,85.484,0.000067
42,1789846295.625209,38.915,85.506,0.000067
43,1789846295.680443,41.310,85.318,0.000067
44,1789846295.736758,42.289,84.924,0.000067
45,1789846295.793583,37.776,84.854,0.000067
46,1789846295.854214,46.558,33.705,0.000067
47,1789846295.908919,47.697,33.705,0.000067
