frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789845109.794500,14.264,85.484,0.000067
1,1789845109.839019,8.722,85.484,0.000067
2,1789845109.884700,4.346,85.484,0.000067
3,1789845109.934921,4.489,85.484,0.000067
4,1789845109.985179,4.660,85.484,0.000067
5,1789845110.034664,4.089,85.484,0.000067
6,1789845110.084814,4.182,85.484,0.000067
7,1789845110.135149,4.402,85.484,0.000067
8,1789845110.185325,4.505,85.484,0.000067
9,1789845110.236053,5.036,85.484,0.000067
10,1789845110.285562,4.456,85.484,0.000067
11,1789845110.335812,4.490,85.484,0.000067
12,1789845110.386155,4.755,85.484,0.000067
13,1789845110.436370,4.849,85.484,0.000067
14,1789845110.486509,4.862,85.484,0.000067
15,1789845110.536520,4.733,85.484,0.000067
16,1789845110.586444,4.572,85.484,0.000067
17,1789845110.637254,5.246,85.484,0.000067
18,1789845110.687279,5.182,85.484,0.000067
19,1789845110.737429,5.217,85.484,0.000067
20,1789845110.787927,5.596,85.484,0.000067
21,1789845110.837933,5.545,85.484,0.000067
22,1789845110.888158,5.710,85.484,0.000067
23,1789845110.938249,5.720,85.484,0.000067
24,1789845110.988292,5.681,85.484,0.000067
25,1789845111.038305,5.608,85.484,0.000067
26,1789845111.088432,5.647,85.484,0.000067
27,1789845111.139085,6.235,85.484,0.000067
28,1789845111.189157,6.223,85.484,0.000067
29,1789845111.239334,6.313,85.484,0.000067
30,1789845111.289409,6.333,85.484,0.000067
31,1789845111.339529,6.390,85.484,0.000067
32,1789845111.389470,6.272,85.484,0.000067
33,1789845111.439245,5.970,85.484,0.000067
34,1789845111.489162,5.830,85.484,0.000067
35,1789845111.539655,6.239,85.484,0.000067
36,1789845111.589524,6.001,85.484,0.000067
37,1789845111.640726,7.072,85.484,0.000067
38,1789845111.690653,6.954,85.484,0.000067
39,1789845111.740631,6.854,85.484,0.000067
40,1789845111.790684,6.827,85.484,0.000067
41,1789845111.903398,69.482,85.484,0.000067
42,1789845111.968811,51.621,85.206,0.000067
43,1789845112.044582,61.837,85.054,0.000067
44,1789845112.129478,65.831,33.705,0.000067
45,1789845112.192337,55.965,84.438,0.000067
46,1789845112.268925,62.706,84.381,0.000067
47,1789845112.343912,61.153,84.058,0.000067
48,1789845112.431636,68.441,33.705,0.000067
49,1789845112.495170,56.616,82.920,0.000067
50,1789845112.580886,66.528,33.705,0.000067
51,1789845112.655511,65.578,33.705,0.000067
52,1789845112.718968,54.398,80.680,0.000067
53,1789845112.791246,53.165,79.608,0.000067
54,1789845112.877849,67.222,33.705,0.000067
55,1789845112.952441,65.527,33.705,0.000067
56,1789845113.014339,52.825,78.178,0.000067
57,1789845113.104232,70.562,33.705,0.000067
58,1789845113.165927,54.632,80.258,0.000067
59,1789845113.240850,55.840,81.107,0.000067
60,1789845113.328868,68.772,33.705,0.000067
61,1789845113.407936,69.919,83.014,0.000067
