frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789845400.608155,17.159,85.484,0.000067
1,1789845400.651432,10.328,85.484,0.000067
2,1789845400.696568,5.401,85.484,0.000067
3,1789845400.746696,5.468,85.484,0.000067
4,1789845400.796709,5.426,85.484,0.000067
5,1789845400.846800,5.458,85.484,0.000067
6,1789845400.896814,5.414,85.484,0.000067
7,1789845400.946966,5.476,85.484,0.000067
8,1789845400.996928,5.359,85.484,0.000067
9,1789845401.047178,5.512,85.484,0.000067
10,1789845401.097092,5.363,85.484,0.000067
11,1789845401.147165,5.379,85.484,0.000067
12,1789845401.198136,6.264,85.484,0.000067
13,1789845401.248358,6.405,85.484,0.000067
14,1789845401.298453,6.416,85.484,0.000067
15,1789845401.348520,6.392,85.484,0.000067
16,1789845401.398516,6.326,85.484,0.000067
17,1789845401.448648,6.401,85.484,0.000067
18,1789845401.498715,6.379,85.484,0.000067
19,1789845401.548679,6.248,85.484,0.000067
20,1789845401.598836,6.342,85.484,0.000067
21,1789845401.648960,6.409,85.484,0.000067
22,1789845401.699933,7.320,85.484,0.000067
23,1789845401.750033,7.360,85.484,0.000067
24,1789845401.800143,7.406,85.484,0.000067
25,1789845401.850159,7.331,85.484,0.000067
26,1789845401.900201,7.293,85.484,0.000067
27,1789845401.950252,7.255,85.484,0.000067
28,1789845402.000450,7.340,85.484,0.000067
29,1789845402.050455,7.285,85.484,0.000067
30,1789845402.100012,6.782,85.484,0.000067
31,1789845402.150305,6.998,85.484,0.000067
32,1789845402.200989,7.604,85.484,0.000067
33,1789845402.251035,7.575,85.484,0.000067
34,1789845402.301127,7.588,85.484,0.000067
35,1789845402.351134,7.517,85.484,0.000067
36,1789845402.401119,7.430,85.484,0.000067
37,1789845402.451126,7.357,85.484,0.000067
38,1789845402.501178,7.337,85.484,0.000067
39,1789845402.551144,7.224,85.484,0.000067
40,1789845402.601264,7.271,85.484,0.000067
41,1789845402.677146,33.021,85.484,0.000067
42,1789845402.752915,58.710,85.506,0.000067
43,1789845402.841886,69.503,33.705,0.000067
44,1789845402.918272,69.297,33.705,0.000067
45,1789845402.982144,56.969,84.892,0.000067
46,1789845403.060805,64.452,84.350,0.000067
47,1789845403.152173,72.397,33.705,0.000067
48,1789845403.215765,56.618,83.828,0.000067
49,1789845403.305735,70.870,33.705,0.000067
50,1789845403.387331,72.601,82.505,0.000067
51,1789845403.464185,62.892,81.256,0.000067
52,1789845403.541422,63.226,80.416,0.000067
53,1789845403.618236,62.782,79.451,0.000067
