frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846015.470306,18.084,85.484,0.000067
1,1789846015.511219,8.933,85.484,0.000067
2,1789846015.560042,7.697,85.484,0.000067
3,1789846015.609861,7.456,85.484,0.000067
4,1789846015.660009,7.526,85.484,0.000067
5,1789846015.710030,7.472,85.484,0.000067
6,1789846015.760009,7.374,85.484,0.000067
7,1789846015.810682,7.963,85.484,0.000067
8,1789846015.860490,7.693,85.484,0.000067
9,1789846015.910637,7.761,85.484,0.000067
10,1789846015.960561,7.629,85.484,0.000067
11,1789846016.010765,7.752,85.484,0.000067
12,1789846016.060272,7.198,85.484,0.000067
13,1789846016.110384,7.252,85.484,0.000067
14,1789846016.160859,7.671,85.484,0.000067
15,1789846016.211350,8.099,85.484,0.000067
16,1789846016.261119,7.809,85.484,0.000067
17,1789846016.311193,7.825,85.484,0.000067
18,1789846016.361306,7.854,85.484,0.000067
19,1789846016.411364,7.823,85.484,0.000067
20,1789846016.461533,7.904,85.484,0.000067
21,1789846016.511496,7.807,85.484,0.000067
22,1789846016.561538,7.792,85.484,0.000067
23,1789846016.611658,7.855,85.484,0.000067
24,1789846016.661719,7.859,85.484,0.000067
25,1789846016.711574,7.658,85.484,0.000067
26,1789846016.761644,7.671,85.484,0.000067
27,1789846016.812002,7.971,85.484,0.000067
28,1789846016.861774,7.699,85.484,0.000067
29,1789846016.912103,7.969,85.484,0.000067
30,1789846016.961948,7.758,85.484,0.000067
31,1789846017.012088,7.841,85.484,0.000067
32,1789846017.061786,7.482,85.484,0.000067
33,1789846017.111982,7.621,85.484,0.000067
34,1789846017.162007,7.586,85.484,0.000067
35,1789846017.212372,7.869,85.484,0.000067
36,1789846017.262416,7.836,85.484,0.000067
37,1789846017.312462,7.824,85.484,0.000067
38,1789846017.362517,7.783,85.484,0.000067
39,1789846017.412606,7.790,85.484,0.000067
40,1789846017.462754,7.814,85.484,0.000067
41,1789846017.513050,8.051,85.484,0.000067
42,1789846017.584493,29.385,85.484,0.000067
43,1789846017.649476,44.309,33.705,0.000067
44,1789846017.681854,23.290,85.054,0.000067
45,1789846017.735466,26.826,85.012,0.000067
46,1789846017.771020,12.298,84.912,0.000067
47,1789846017.835139,26.340,84.690,0.000067
48,1789846017.894123,35.258,84.569,0.000067
49,1789846017.919875,6.809,33.705,0.000067
50,1789846017.990582,27.487,33.705,0.000067
51,1789846018.026970,13.816,33.705,0.000067
52,1789846018.088144,24.931,33.705,0.000067
53,1789846018.129102,15.830,83.186,0.000067
54,1789846018.189196,25.866,33.705,0.000067
55,1789846018.244762,31.375,81.916,0.000067
56,1789846018.292212,28.107,33.705,0.000067
57,1789846018.354753,40.588,80.945,0.000067
58,1789846018.378234,9.111,33.705,0.000067
59,1789846018.443833,24.634,79.462,0.000067
60,1789846018.484198,14.936,78.786,0.000067
61,1789846018.540542,21.218,78.388,0.000067
62,1789846018.588585,19.202,33.705,0.000067
63,1789846018.653405,33.963,33.705,0.000067
64,1789846018.676947,7.447,33.705,0.000067
65,1789846018.737955,18.397,79.451,0.000067
66,1789846018.792051,22.434,33.705,0.000067
67,1789846018.862044,42.368,81.080,0.000067
68,1789846018.912215,30.959,33.705,0.000067
69,1789846018.964983,33.666,82.012,0.000067
70,1789846019.001566,17.675,82.977,0.000067
