frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789844851.301887,13.138,85.533,0.000000
1,1789844851.345978,7.091,85.533,0.000000
2,1789844851.396604,7.599,85.533,0.000000
3,1789844851.446096,6.957,85.533,0.000000
4,1789844851.496596,7.344,85.533,0.000000
5,1789844851.546778,7.396,85.533,0.000000
6,1789844851.597188,7.744,85.533,0.000000
7,1789844851.647153,7.619,85.533,0.000000
8,1789844851.697116,7.499,85.533,0.000000
9,1789844851.747021,7.288,85.533,0.000000
10,1789844851.797139,7.325,85.533,0.000000
11,1789844851.847099,7.166,85.533,0.000000
12,1789844851.897655,7.638,85.533,0.000000
13,1789844851.947038,6.940,85.533,0.000000
14,1789844851.997668,7.491,85.533,0.000000
15,1789844852.047528,7.278,85.533,0.000000
16,1789844852.097810,7.483,85.533,0.000000
17,1789844852.148076,7.573,85.533,0.000000
18,1789844852.198154,7.450,85.533,0.000000
19,1789844852.248123,7.343,85.533,0.000000
20,1789844852.298310,7.424,85.533,0.000000
21,1789844852.348609,7.493,85.533,0.000000
22,1789844852.399055,7.818,85.533,0.000000
23,1789844852.448133,6.834,85.533,0.000000
24,1789844852.498318,6.881,85.533,0.000000
25,1789844852.549224,7.701,85.533,0.000000
26,1789844852.599146,7.563,85.533,0.000000
27,1789844852.649500,7.835,85.533,0.000000
28,1789844852.699115,7.307,85.533,0.000000
29,1789844852.749325,7.374,85.533,0.000000
30,1789844852.799193,7.112,85.533,0.000000
31,1789844852.849774,7.489,85.533,0.000000
32,1789844852.899554,7.212,85.533,0.000000
33,1789844852.949978,7.471,85.533,0.000000
34,1789844852.999976,7.356,85.533,0.000000
35,1789844853.050115,7.344,85.533,0.000000
36,1789844853.100709,7.777,85.533,0.000000
37,1789844853.150331,7.311,85.533,0.000000
38,1789844853.200542,7.397,85.533,0.000000
39,1789844853.250258,7.036,85.533,0.000000
40,1789844853.300182,6.901,85.533,0.000000
41,1789844853.384303,40.962,33.732,0.000000
42,1789844853.403190,9.774,85.533,0.000000
43,1789844853.464059,20.545,84.477,0.000000
44,1789844853.524282,30.694,84.740,0.000000
45,1789844853.573133,29.426,105.727,0.000000
46,1789844853.612358,18.592,111.372,0.004839
47,1789844853.648110,4.139,111.372,0.004839
48,1789844853.698021,3.975,110.602,0.005981
49,1789844853.748183,4.017,110.602,0.005981
50,1789844853.798255,4.032,110.602,0.005981
51,1789844853.848765,4.429,110.602,0.005981
52,1789844853.898751,4.334,110.602,0.005981
53,1789844853.948971,4.383,110.602,0.005981
54,1789844853.999123,4.314,110.602,0.005981
55,1789844854.049264,4.373,110.602,0.005981
56,1789844854.099539,4.590,110.602,0.005981
57,1789844854.149777,4.710,110.602,0.005981
58,1789844854.200173,5.100,110.602,0.005981
59,1789844854.250668,5.475,110.602,0.005981
60,1789844854.301128,5.876,110.602,0.005981
61,1789844854.351457,6.059,110.602,0.005981
62,1789844854.402027,6.542,110.602,0.005981
63,1789844854.452139,6.571,110.602,0.005981
64,1789844854.503080,7.453,110.602,0.005981
65,1789844854.553202,7.498,110.602,0.005981
66,1789844854.603157,7.373,110.602,0.005981
67,1789844854.653139,7.295,110.602,0.005981
68,1789844854.703659,7.729,110.602,0.005981
69,1789844854.753799,7.812,110.602,0.005981
70,1789844854.803870,7.780,110.602,0.005981
71,1789844854.853956,7.809,110.602,0.005981
72,1789844854.904148,7.943,110.602,0.005981
73,1789844854.953560,7.298,110.602,0.005981
74,1789844855.004089,7.771,110.602,0.005981
75,1789844855.054332,7.938,110.602,0.005981
76,1789844855.104179,7.725,110.602,0.005981
77,1789844855.154272,7.740,110.602,0.005981
78,1789844855.204436,7.825,110.602,0.005981
79,1789844855.254465,7.775,110.602,0.005981
80,1789844855.304532,7.774,110.602,0.005981
81,1789844855.354587,7.750,110.602,0.005981
82,1789844855.404870,7.949,110.602,0.005981
83,1789844855.454783,7.782,110.602,0.005981
84,1789844855.504932,7.873,110.602,0.005981
85,1789844855.554944,7.845,110.602,0.005981
86,1789844855.604999,7.842,110.602,0.005981
87,1789844855.654963,7.750,110.602,0.005981
88,1789844855.705126,7.854,110.602,0.005981
89,1789844855.755115,7.785,110.602,0.005981
90,1789844855.805086,7.698,110.602,0.005981
91,1789844855.855241,7.773,110.602,0.005981
92,1789844855.905323,7.795,110.602,0.005981
93,1789844855.955225,7.636,110.602,0.005981
94,1789844856.005528,7.855,110.602,0.005981
95,1789844856.055572,7.819,110.602,0.005981
96,1789844856.105504,7.692,110.602,0.005981
97,1789844856.155635,7.761,110.602,0.005981
