frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789844834.102916,21.397,69.972,0.000000
1,1789844834.137771,6.175,69.972,0.000000
2,1789844834.188205,6.509,69.972,0.000000
3,1789844834.237998,6.241,69.972,0.000000
4,1789844834.288587,6.775,69.972,0.000000
5,1789844834.339054,7.184,86.014,0.000000
6,1789844834.389215,7.284,86.014,0.000000
7,1789844834.440285,8.293,86.014,0.000000
8,1789844834.490313,8.219,86.014,0.000000
9,1789844834.540019,7.865,86.014,0.000000
10,1789844834.590239,8.040,86.014,0.000000
11,1789844834.639903,7.629,85.133,0.000000
12,1789844834.689779,7.383,85.133,0.000000
13,1789844834.739515,7.061,85.133,0.000000
14,1789844834.789326,6.798,85.133,0.000000
15,1789844834.840265,7.654,85.133,0.000000
16,1789844834.889838,7.149,85.133,0.000000
17,1789844834.940128,7.364,85.133,0.000000
18,1789844834.990245,7.409,85.133,0.000000
19,1789844835.040587,7.632,85.133,0.000000
20,1789844835.090596,7.508,85.133,0.000000
21,1789844835.140808,7.601,85.133,0.000000
22,1789844835.190856,7.520,85.133,0.000000
23,1789844835.241108,7.693,85.133,0.000000
24,1789844835.290579,6.977,85.133,0.000000
25,1789844835.340118,6.409,85.133,0.000000
26,1789844835.390143,6.369,85.133,0.000000
27,1789844835.441358,7.485,85.133,0.000000
28,1789844835.491353,7.360,85.133,0.000000
29,1789844835.541612,7.483,85.133,0.000000
30,1789844835.591893,7.646,85.133,0.000000
31,1789844835.641766,7.446,85.133,0.000000
32,1789844835.692023,7.555,85.133,0.000000
33,1789844835.742155,7.602,85.133,0.000000
34,1789844835.791622,6.948,85.133,0.000000
35,1789844835.842232,7.481,85.133,0.000000
36,1789844835.892125,7.295,85.133,0.000000
37,1789844835.942344,7.457,85.133,0.000000
38,1789844835.992263,7.316,85.133,0.000000
39,1789844836.043057,8.030,85.133,0.000000
40,1789844836.092971,7.889,85.133,0.000000
41,1789844836.142542,7.399,85.133,0.000000
42,1789844836.238096,52.874,85.133,0.000000
43,1789844836.309978,57.861,85.356,0.000000
44,1789844836.392856,68.797,33.732,0.000000
45,1789844836.464206,61.993,33.732,0.000000
46,1789844836.533967,60.758,33.732,0.000000
47,1789844836.606119,65.212,33.732,0.000000
48,1789844836.676483,61.355,33.732,0.000000
49,1789844836.746626,63.152,33.732,0.000000
50,1789844836.818439,64.870,33.732,0.000000
51,1789844836.887827,60.400,33.732,0.000000
52,1789844836.962666,65.785,81.523,0.000000
53,1789844837.035854,54.271,80.678,0.000000
54,1789844837.117680,62.787,33.732,0.000000
55,1789844837.189259,62.316,33.732,0.000000
56,1789844837.246553,48.152,77.618,0.000000
57,1789844837.326776,60.129,33.732,0.000000
58,1789844837.398207,62.239,33.732,0.000000
59,1789844837.469192,64.032,33.732,0.000000
