os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,Intel Core Ultra 7 355,Intel(R) Graphics (PTL),32351840,7.2.5-3-omarchy,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
6.34301e-06,1.57654e+08,52.4017,0,0,50,0,1100,0,0,0,22.1716,12.271,0,1300,403301048
3.03351,329.652,82.2917,0,0,50,0,1100,0,0,0,22.1897,12.271,0,1595,614701055
21.4649,46.5878,82.2917,0,0,50,0,1100,0,0,0,22.1897,12.271,0,1595,661288895
0.567718,1761.44,82.2917,0,0,50,0,1100,0,0,0,22.1897,12.271,0,1595,2164736766
10.8485,92.1783,48.3345,0,0,49,0,800,0,0,0,22.3858,12.271,0,2173,2256908476
0.353705,2827.21,48.3345,0,0,49,0,800,0,0,0,22.3858,12.271,0,2173,3488515815
0.776485,1287.86,41.2982,0,0,49,0,800,0,0,0,22.4662,12.2709,0,1400,3544768227
6.34288e-06,1.57657e+08,86.6667,0,0,49,0,800,0,0,0,22.4737,12.2709,0,2638,3695208149
4.08442,244.833,72.0339,0,0,49,0,800,0,0,0,22.6719,12.271,0,3800,3733337351
5.03753,198.51,72.0339,0,0,49,0,800,0,0,0,22.6719,12.271,0,3800,3743275358
1.20113,832.551,72.0339,0,0,49,0,800,0,0,0,22.6719,12.271,0,3800,4575831238
6.34284e-06,1.57658e+08,61.7564,0,3,60,0,1350,0,0,0,23.5157,12.2712,0,3800,4604465718
0.257373,3885.41,91.6667,0,3,60,0,1350,0,0,0,23.547,12.2712,0,3800,8461242218
0.256851,3893.31,32.7408,0,0,49,0,450,0,0,0,23.9727,12.3039,0,2053,8497782016
0.590692,1692.93,100,0,0,49,0,450,0,0,0,23.9775,12.3089,0,3719,10190711713
0.0271073,36890.4,71.1226,0,2,53,0,750,0,0,0,24.1976,12.3611,0,2907,47081155704
0.0983888,10163.8,29.6335,0,0,47,0,450,0,0,0,25.2264,12.4382,0,1300,57244910676
11.939,83.7589,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57328663764
57.1603,17.4947,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57346158695
55.5369,18.006,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57364164883
56.687,17.6407,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57381805809
54.8183,18.2421,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57400047722
58.8248,16.9996,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57417048061
54.0298,18.5083,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57435556584
47.9693,20.8467,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57456405211
55.6003,17.9855,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57474391196
54.4018,18.3818,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57492774064
50.897,19.6475,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57512421890
13.07,76.5111,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57588932682
4.97588,200.969,31.5163,0,0,47,0,450,0,0,0,25.0946,12.4374,0,1500,57789905376
2.22441,449.557,38.2151,0,9,47,0,2500,0,0,0,25.1686,12.4376,0,3200,58239459064
0.473459,2112.11,38.2151,0,9,47,0,2500,0,0,0,25.1686,12.4376,0,3200,60351586922
