os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,Intel Core Ultra 7 355,Intel(R) Graphics (PTL),32351840,7.2.5-3-omarchy,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
0.539708,1852.85,25,0,0,50,0,650,0,0,0,23.6692,12.7508,0,1700,1928778205
0.496601,2013.69,40.8081,0,0,49,0,450,0,0,0,23.8899,12.7575,0,1500,2013690611
11.4974,86.9764,64.7059,0,0,49,0,450,0,0,0,23.8912,12.7582,0,1793,2015745939
0.901842,1108.84,64.7059,0,0,49,0,450,0,0,0,23.8912,12.7582,0,1793,3122533227
0.874849,1143.05,27.385,0,0,49,0,750,0,0,0,23.9927,12.7583,0,2300,3158804592
6.3385e-06,1.57766e+08,72.4138,0,0,49,0,750,0,0,0,23.9945,12.7584,0,3177,3281852943
3.98312,251.059,65.6566,0,0,49,0,750,0,0,0,23.9446,12.7614,0,1500,3373588606
4.22593,236.634,65.6566,0,0,49,0,750,0,0,0,23.9446,12.7614,0,1500,3395436984
6.33849e-06,1.57766e+08,65.6566,0,0,49,0,750,0,0,0,23.9446,12.7614,0,1500,3498668819
464.548,2.15263,65.6977,0,2,49,0,550,0,0,0,24.0225,12.7641,0,1493,3500814141
0.952775,1049.57,65.6977,0,2,49,0,550,0,0,0,24.0225,12.7641,0,1493,4550387691
0.858035,1165.45,43.128,0,9,64,0,2500,0,0,0,24.3241,12.7732,0,3800,4560895534
0.25575,3910.06,42.8571,0,9,64,0,2500,0,0,0,24.3614,12.7734,0,2900,8460480560
0.239939,4167.72,20.5628,0,9,49,0,2500,0,0,0,24.519,12.7788,0,1500,8728612822
0.442719,2258.77,51.6432,0,9,49,0,2500,0,0,0,24.5782,12.7829,0,3200,10719217575
0.0271804,36791.3,55.5556,0,12,59,0,950,0,0,0,24.6675,12.809,0,3741,47510479189
0.0988848,10112.8,11.1141,0,0,45,0,400,0,0,0,24.6455,13.2631,0,1300,57623249918
13.2934,75.2251,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57698470527
57.2252,17.4748,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57715946117
54.468,18.3594,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57734305634
54.1763,18.4583,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57752763643
55.2342,18.1047,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57770868020
63.3813,15.7775,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57786646025
54.6385,18.3021,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57804948723
57.1368,17.5019,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57822450433
56.2837,17.7671,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57840218211
56.0286,17.848,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57858066925
54.3733,18.3914,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57876458685
55.6231,17.9781,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57894437260
12.8158,78.0284,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,57972466520
4.9549,201.82,16.7631,0,0,45,0,400,0,0,0,24.8099,13.2609,0,1699,58174293136
2.24543,445.348,30.474,0,13,45,0,2500,0,0,0,24.6135,13.324,0,3199,58619635415
0.493336,2027.02,30.474,0,13,45,0,2500,0,0,0,24.6135,13.324,0,3199,60646659751
163.656,6.11037,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60652763762
121.063,8.26016,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60661023786
85.4422,11.7038,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60672728774
72.4815,13.7966,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60686525254
139.425,7.17232,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60693697733
125.013,7.99917,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60701697442
123.776,8.07912,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60709777328
117.783,8.49021,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60718267206
134.911,7.41231,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60725679985
169.727,5.89182,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60731571939
150.433,6.64746,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60738219472
88.0272,11.3601,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60749579963
247.183,4.04558,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60753625546
118.298,8.45322,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60762078621
122.205,8.183,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60770261884
117.949,8.47824,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60778740612
121.8,8.21016,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60786950597
119.746,8.351,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60795301713
119.76,8.35,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60803651961
117.568,8.50573,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60812159500
119.976,8.33501,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60820494590
120.314,8.31159,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60828806363
119.771,8.34926,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60837156298
117.662,8.49893,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60845656401
121.128,8.25574,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60853912265
120.48,8.30014,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60862213134
121.372,8.23911,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60870452073
119.316,8.3811,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60878833664
121.09,8.25832,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60887092271
120.248,8.31616,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60895408746
120.023,8.33174,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60903740745
119.161,8.39199,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60912133217
120.852,8.27458,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60920408353
118.837,8.4149,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60928823662
121.287,8.24488,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60937068497
119.559,8.3641,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60945433374
117.788,8.48985,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60953923490
120.499,8.29884,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60962223080
120.504,8.2985,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60970521938
119.496,8.36849,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60978890782
120.521,8.29729,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60987188256
120.75,8.28156,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,60995470091
118.135,8.4649,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61003936105
119.859,8.34317,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61012280140
120.835,8.27572,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61020555922
119.358,8.37817,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61028934817
120.591,8.2925,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61037227678
120.284,8.31362,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61045541938
120.256,8.31562,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61053858328
120.041,8.33052,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61062188760
119.071,8.39838,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61070587779
120.644,8.28884,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61078876991
120.311,8.31177,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61087189343
120.151,8.32284,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61095512507
119.67,8.35633,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61103869200
119.453,8.37152,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61112241248
119.716,8.35309,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61120595103
120.319,8.31125,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61128905617
120.249,8.31608,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61137222271
118.6,8.4317,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61145655478
119.85,8.3438,17.433,0,0,45,0,1100,0,0,0,24.591,13.3232,0,1573,61154004315
120.838,8.27555,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61162275225
120.931,8.26919,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61170544990
118.558,8.4347,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61178980329
120.594,8.29226,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61187273180
120.46,8.30154,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61195574916
119.803,8.34701,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61203922213
119.941,8.33745,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61212260353
120.389,8.30638,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61220567228
119.399,8.3753,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61228942201
121.996,8.197,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61237139543
119.442,8.37227,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61245512175
118.583,8.43291,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61253945377
120.392,8.30619,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61262251953
120.705,8.28468,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61270536646
118.915,8.40934,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61278946289
122.317,8.17547,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61287122337
114.882,8.70459,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61295828388
123.385,8.1047,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61303933340
119.483,8.36942,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61312303068
117.096,8.53998,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61320844347
119.92,8.3389,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61329184010
120.892,8.27188,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61337456558
117.546,8.50732,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61345963942
122.589,8.15734,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61354122313
120.481,8.30007,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61362422912
121.321,8.2426,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61370666048
119.493,8.3687,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61379035177
119.537,8.36558,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61387401702
121.711,8.21618,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61395617736
119.627,8.35933,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61403977578
119.552,8.36453,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61412342961
119.063,8.39889,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61420742789
117.62,8.50197,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61429245475
123.62,8.08933,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61437335117
118.3,8.45307,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61445788857
122.743,8.14713,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61453935166
120.747,8.28178,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61462217264
120.456,8.30178,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61470519365
120.887,8.2722,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61478791984
118.238,8.45751,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61487250368
121.067,8.25988,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61495510049
118.823,8.4159,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61503926556
119.776,8.34888,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61512275618
119.876,8.34194,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61520618349
121.01,8.26376,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61528882418
120.452,8.30206,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61537184444
119.398,8.37535,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61545560382
119.228,8.38727,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61553947707
120.265,8.31499,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61562262800
121.763,8.21265,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61570475897
118.972,8.40536,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61578881572
117.766,8.49142,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61587373135
122.005,8.19638,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61595569976
116.858,8.55739,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61604128841
123.017,8.12898,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61612257779
120.759,8.28099,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61620538956
117.729,8.49412,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61629033283
120.065,8.32881,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61637362427
122.177,8.18484,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61645547451
118.416,8.44483,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61653993067
120.374,8.30745,20.8845,0,42,45,0,2500,0,0,0,24.4214,13.3873,0,1500,61662305514
121.025,8.26277,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61670563956
120.642,8.28896,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61678852861
118.664,8.42718,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61687280839
120.282,8.31383,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61695595181
118.502,8.43871,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61704033860
120.051,8.3298,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61712364501
122.838,8.1408,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61720505260
118.456,8.44196,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61728947718
119.915,8.33926,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61737287209
119.29,8.38297,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61745671983
119.989,8.33411,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61754013246
120.519,8.29746,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61762303139
121.318,8.24277,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61770546683
118.568,8.434,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61778980933
121.65,8.22028,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61787201148
117.365,8.52045,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61795723234
121.9,8.20343,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61803926423
119.796,8.34755,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61812274471
119.683,8.35538,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61820630284
119.777,8.34885,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61828979452
120.612,8.29105,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61837270259
118.872,8.41244,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61845683718
121.432,8.23507,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61853918731
119.512,8.36737,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61862286553
121.121,8.25619,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61870543135
117.814,8.48798,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61879031550
120.293,8.31305,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61887345071
121.74,8.21422,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61895559499
119.433,8.37288,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61903932851
119.431,8.37304,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61912305948
121.23,8.24876,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61920554971
119.402,8.3751,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61928930364
119.568,8.36346,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61937294306
120.017,8.33218,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61945626962
118.543,8.43575,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61954062927
121.633,8.22143,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61962284674
120.855,8.27438,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61970559328
118.668,8.42687,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61978986771
119.465,8.37066,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61987357794
121.012,8.26364,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,61995621989
120.061,8.32908,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62003950924
118.419,8.44456,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62012395947
122.774,8.14506,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62020541532
119.014,8.40236,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62028944184
117.458,8.5137,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62037458199
124.015,8.06355,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62045521984
118.746,8.42132,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62053943577
120.911,8.27052,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62062214377
120.088,8.32719,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62070542207
119.678,8.35576,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62078898136
120.2,8.31949,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62087217927
120.288,8.31338,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62095531472
118.558,8.43472,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62103967097
121.055,8.26069,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62112227797
120.376,8.30728,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62120535479
120.062,8.32902,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62128864753
119.892,8.34082,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62137205543
120.061,8.32913,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62145535298
119.897,8.34049,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62153876309
119.985,8.3344,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62162210673
120.095,8.32675,19.9017,0,48,50,0,2500,0,0,0,24.4038,13.3873,0,1404,62170543697
119.502,8.36807,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62178906575
118.683,8.42579,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62187332220
121.488,8.23127,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62195564182
119.102,8.39618,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62203960484
120.73,8.28291,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62212243753
120.71,8.2843,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62220528189
119.332,8.37996,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62228908357
119.687,8.35512,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62237263930
121.26,8.24676,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62245510786
118.429,8.44385,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62253955118
119.468,8.37043,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62262326346
122.092,8.19053,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62270517078
119.667,8.35655,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62278873592
119.997,8.33353,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62287207432
115.775,8.63744,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62295847012
121.955,8.19978,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62304046575
118.694,8.42502,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62312472787
121.897,8.20363,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62320677198
120.438,8.30302,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62328979436
120.593,8.29234,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62337271712
121.362,8.23984,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62345511714
118.8,8.41749,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62353929903
118.497,8.43906,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62362369536
121.864,8.20588,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62370575518
119.285,8.38332,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62378959196
120.17,8.32155,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62387281275
119.513,8.36726,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62395649063
120.747,8.28176,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62403931162
119.843,8.34423,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62412275207
120.026,8.33155,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62420607399
118.631,8.42949,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62429037271
120.894,8.27172,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62437309099
120.292,8.3131,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62445622511
119.117,8.3951,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62454018037
121.096,8.25788,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62462275902
122.207,8.18282,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62470458879
118.799,8.41757,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62478876964
120.039,8.3306,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62487208240
118.548,8.43543,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62495644572
119.068,8.39853,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62504044359
120.405,8.30531,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62512350256
120.931,8.26915,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62520619694
118.956,8.40644,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62529027786
120.301,8.3125,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62537339568
118.812,8.41663,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62545756832
121.714,8.21601,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62553972426
115.858,8.63127,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62562605595
123.765,8.0798,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62570684981
120.296,8.31285,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62578997422
120.46,8.30153,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62587299722
120.829,8.27612,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62595575543
117.038,8.54424,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62604121866
120.988,8.26527,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62612385967
122.171,8.18524,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62620571631
118.87,8.41255,16.2162,0,48,50,0,2500,0,0,0,24.4046,13.3872,0,1298,62628984632
