frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789847009.830327,14.996,85.484,0.000067
1,1789847009.873680,8.289,85.484,0.000067
2,1789847009.921932,6.429,85.484,0.000067
3,1789847009.971938,6.376,85.484,0.000067
4,1789847010.022327,6.689,85.484,0.000067
5,1789847010.072556,6.717,85.484,0.000067
6,1789847010.122774,6.835,85.484,0.000067
7,1789847010.172698,6.537,85.484,0.000067
8,1789847010.223227,6.862,85.484,0.000067
9,1789847010.272925,6.446,85.484,0.000067
10,1789847010.323197,6.585,85.484,0.000067
11,1789847010.373327,6.513,85.484,0.000067
12,1789847010.424555,7.659,85.484,0.000067
13,1789847010.474632,7.517,85.484,0.000067
14,1789847010.524807,7.620,85.484,0.000067
15,1789847010.574563,7.294,85.484,0.000067
16,1789847010.624918,7.529,85.484,0.000067
17,1789847010.674938,7.385,85.484,0.000067
18,1789847010.725140,7.465,85.484,0.000067
19,1789847010.775179,7.345,85.484,0.000067
20,1789847010.825240,7.320,85.484,0.000067
21,1789847010.875228,7.231,85.484,0.000067
22,1789847010.925981,7.918,85.484,0.000067
23,1789847010.975741,7.621,85.484,0.000067
24,1789847011.026119,7.942,85.484,0.000067
25,1789847011.076064,7.825,85.484,0.000067
26,1789847011.126198,7.899,85.484,0.000067
27,1789847011.176132,7.774,85.484,0.000067
28,1789847011.226304,7.864,85.484,0.000067
29,1789847011.276312,7.805,85.484,0.000067
30,1789847011.326599,8.030,85.484,0.000067
31,1789847011.376494,7.868,85.484,0.000067
32,1789847011.426521,7.812,85.484,0.000067
33,1789847011.476433,7.663,85.484,0.000067
34,1789847011.526690,7.839,85.484,0.000067
35,1789847011.576581,7.674,85.484,0.000067
36,1789847011.626889,7.918,85.484,0.000067
37,1789847011.676980,7.931,85.484,0.000067
38,1789847011.727155,8.059,85.484,0.000067
39,1789847011.776984,7.830,85.484,0.000067
40,1789847011.827240,8.027,85.484,0.000067
41,1789847011.876959,7.688,85.484,0.000067
42,1789847011.931191,11.864,85.506,0.000067
43,1789847011.981728,12.321,84.969,0.000067
44,1789847012.025521,6.056,33.705,0.000067
45,1789847012.076050,6.505,85.012,0.000067
46,1789847012.127906,8.301,84.678,0.000067
47,1789847012.177242,7.615,33.705,0.000067
48,1789847012.226395,6.700,33.705,0.000067
49,1789847012.277636,7.880,84.053,0.000067
50,1789847012.327824,8.008,84.102,0.000067
51,1789847012.378869,8.994,83.935,0.000067
52,1789847012.431027,11.091,83.324,0.000067
53,1789847012.481923,11.909,82.672,0.000067
