frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846673.468204,18.490,85.484,0.000067
1,1789846673.508987,9.209,85.484,0.000067
2,1789846673.556513,6.674,85.484,0.000067
3,1789846673.606489,6.582,85.484,0.000067
4,1789846673.656592,6.610,85.484,0.000067
5,1789846673.706420,6.380,85.484,0.000067
6,1789846673.756193,6.059,85.484,0.000067
7,1789846673.806808,6.614,85.484,0.000067
8,1789846673.856947,6.691,85.484,0.000067
9,1789846673.907965,7.650,85.484,0.000067
10,1789846673.958153,7.748,85.484,0.000067
11,1789846674.008407,7.922,85.484,0.000067
12,1789846674.058282,7.737,85.484,0.000067
13,1789846674.107516,6.894,85.484,0.000067
14,1789846674.158530,7.823,85.484,0.000067
15,1789846674.208560,7.775,85.484,0.000067
16,1789846674.258582,7.696,85.484,0.000067
17,1789846674.308754,7.808,85.484,0.000067
18,1789846674.358736,7.728,85.484,0.000067
19,1789846674.408983,7.878,85.484,0.000067
20,1789846674.458973,7.808,85.484,0.000067
21,1789846674.508914,7.692,85.484,0.000067
22,1789846674.559018,7.738,85.484,0.000067
23,1789846674.609184,7.845,85.484,0.000067
24,1789846674.659190,7.760,85.484,0.000067
25,1789846674.709412,7.899,85.484,0.000067
26,1789846674.759361,7.753,85.484,0.000067
27,1789846674.809387,7.717,85.484,0.000067
28,1789846674.859447,7.688,85.484,0.000067
29,1789846674.909573,7.752,85.484,0.000067
30,1789846674.959645,7.735,85.484,0.000067
31,1789846675.009748,7.759,85.484,0.000067
32,1789846675.059830,7.727,85.484,0.000067
33,1789846675.109968,7.806,85.484,0.000067
34,1789846675.160219,7.905,85.484,0.000067
35,1789846675.210226,7.851,85.484,0.000067
36,1789846675.260264,7.801,85.484,0.000067
37,1789846675.310355,7.809,85.484,0.000067
38,1789846675.360412,7.778,85.484,0.000067
39,1789846675.410355,7.638,85.484,0.000067
40,1789846675.460485,7.654,85.484,0.000067
41,1789846675.529178,26.285,85.484,0.000067
42,1789846675.563823,10.873,85.506,0.000067
43,1789846675.612937,9.910,85.165,0.000067
44,1789846675.663093,9.987,84.818,0.000067
45,1789846675.713062,9.896,84.912,0.000067
46,1789846675.762828,9.588,84.796,0.000067
47,1789846675.812804,9.508,84.462,0.000067
48,1789846675.862648,9.291,84.154,0.000067
49,1789846675.912757,9.317,84.058,0.000067
50,1789846675.962839,9.338,84.065,0.000067
51,1789846676.012926,9.349,83.727,0.000067
52,1789846676.062494,8.835,83.365,0.000067
53,1789846676.112925,9.189,82.630,0.000067
54,1789846676.163663,9.865,82.012,0.000067
55,1789846676.218530,14.656,81.796,0.000067
56,1789846676.263331,9.396,81.080,0.000067
57,1789846676.319174,15.164,80.240,0.000067
58,1789846676.368758,14.683,79.608,0.000067
59,1789846676.418841,14.705,79.305,0.000067
60,1789846676.469276,15.074,78.549,0.000067
61,1789846676.518994,14.732,77.591,0.000067
62,1789846676.569126,14.800,77.871,0.000067
63,1789846676.618899,14.508,78.594,0.000067
64,1789846676.668780,14.328,79.440,0.000067
65,1789846676.718989,14.456,79.869,0.000067
66,1789846676.769343,14.727,80.651,0.000067
67,1789846676.819274,14.595,81.107,0.000067
68,1789846676.869422,14.678,81.544,0.000067
69,1789846676.919732,14.921,82.329,0.000067
70,1789846676.969960,15.055,82.977,0.000067
71,1789846677.020010,15.042,83.275,0.000067
72,1789846677.069962,14.933,83.528,0.000067
73,1789846677.119759,14.656,84.117,0.000067
74,1789846677.169388,14.181,84.379,0.000067
75,1789846677.219184,13.894,84.283,0.000067
76,1789846677.269205,13.834,84.331,0.000067
77,1789846677.319723,14.269,84.678,0.000067
78,1789846677.368996,13.481,84.666,0.000067
79,1789846677.419837,14.259,85.163,0.000067
80,1789846677.470491,14.849,85.360,0.000067
81,1789846677.521157,15.457,85.206,0.000067
82,1789846677.570689,14.931,85.506,0.000067
83,1789846677.621744,15.927,85.329,0.000067
84,1789846677.671097,15.217,84.924,0.000067
85,1789846677.720296,14.360,84.854,0.000067
86,1789846677.770506,14.496,84.892,0.000067
87,1789846677.821092,14.981,84.678,0.000067
88,1789846677.869828,13.661,84.381,0.000067
