frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846839.657682,12.843,85.106,0.000067
1,1789846839.701743,6.828,85.106,0.000067
2,1789846839.751698,6.708,85.106,0.000067
3,1789846839.802670,7.564,85.106,0.000067
4,1789846839.852131,6.974,85.106,0.000067
5,1789846839.902256,7.036,85.106,0.000067
6,1789846839.952106,6.772,85.106,0.000067
7,1789846840.002338,6.914,85.106,0.000067
8,1789846840.052810,7.266,85.106,0.000067
9,1789846840.102705,7.086,85.106,0.000067
10,1789846840.152375,6.699,85.106,0.000067
11,1789846840.202752,6.998,85.106,0.000067
12,1789846840.252816,6.982,85.106,0.000067
13,1789846840.302785,6.870,85.106,0.000067
14,1789846840.353057,6.998,85.106,0.000067
15,1789846840.403162,7.078,85.106,0.000067
16,1789846840.453521,7.322,85.106,0.000067
17,1789846840.503144,6.815,85.106,0.000067
18,1789846840.553259,6.850,85.106,0.000067
19,1789846840.604030,7.506,85.106,0.000067
20,1789846840.654096,7.442,85.106,0.000067
21,1789846840.703999,7.137,85.106,0.000067
22,1789846840.753820,6.874,85.106,0.000067
23,1789846840.804686,7.627,85.106,0.000067
24,1789846840.853999,6.805,85.106,0.000067
25,1789846840.904165,6.903,85.106,0.000067
26,1789846840.954183,6.859,85.106,0.000067
27,1789846841.004719,7.289,85.106,0.000067
28,1789846841.054368,6.821,85.106,0.000067
29,1789846841.104802,7.200,85.106,0.000067
30,1789846841.154877,7.082,85.106,0.000067
31,1789846841.204937,7.059,85.106,0.000067
32,1789846841.255169,7.166,85.106,0.000067
33,1789846841.305063,6.941,85.106,0.000067
34,1789846841.355623,7.469,85.106,0.000067
35,1789846841.405342,7.127,85.106,0.000067
36,1789846841.455751,7.477,85.106,0.000067
37,1789846841.505661,7.301,85.106,0.000067
38,1789846841.555889,7.375,85.106,0.000067
39,1789846841.605766,7.173,85.106,0.000067
40,1789846841.655664,6.991,85.106,0.000067
41,1789846841.736783,38.048,33.705,0.000067
42,1789846841.753806,5.015,85.106,0.000067
43,1789846841.804136,5.285,85.329,0.000067
44,1789846841.855258,6.348,85.163,0.000067
45,1789846841.905239,6.271,84.666,0.000067
46,1789846841.957669,8.627,84.602,0.000067
47,1789846842.010363,11.283,84.690,0.000067
48,1789846842.064610,15.472,84.510,0.000067
49,1789846842.115158,15.960,84.259,0.000067
50,1789846842.154466,5.209,84.117,0.000067
51,1789846842.210609,11.292,33.705,0.000067
52,1789846842.260792,11.402,83.365,0.000067
53,1789846842.303195,3.729,82.672,0.000067
54,1789846842.354909,5.365,82.329,0.000067
55,1789846842.406231,6.612,81.544,0.000067
56,1789846842.457936,8.234,81.107,0.000067
57,1789846842.514195,14.430,33.705,0.000067
58,1789846842.560590,10.749,79.608,0.000067
59,1789846842.615260,15.359,79.305,0.000067
60,1789846842.655225,5.264,78.594,0.000067
61,1789846842.706841,6.799,77.997,0.000067
62,1789846842.761180,11.084,77.625,0.000067
63,1789846842.812528,12.371,78.178,0.000067
64,1789846842.864244,14.013,79.028,0.000067
65,1789846842.906982,6.692,79.451,0.000067
66,1789846842.959278,8.917,80.251,0.000067
67,1789846843.011673,11.250,80.700,0.000067
68,1789846843.062946,12.448,81.537,0.000067
69,1789846843.104472,3.897,81.916,0.000067
70,1789846843.158040,7.386,82.638,0.000067
71,1789846843.213629,12.891,33.705,0.000067
72,1789846843.264705,13.895,83.727,0.000067
73,1789846843.314203,13.317,84.065,0.000067
74,1789846843.356841,5.881,83.887,0.000067
75,1789846843.410104,9.067,84.406,0.000067
76,1789846843.462501,11.401,84.350,0.000067
77,1789846843.514685,13.526,84.438,0.000067
78,1789846843.554821,3.602,84.533,0.000067
79,1789846843.604652,3.363,84.937,0.000067
80,1789846843.658792,7.423,85.256,0.000067
81,1789846843.710358,8.908,85.072,0.000067
82,1789846843.762841,11.313,85.506,0.000067
83,1789846843.815633,14.049,85.329,0.000067
84,1789846843.867210,15.570,84.924,0.000067
85,1789846843.907343,5.620,84.937,0.000067
86,1789846843.959307,7.501,84.533,0.000067
87,1789846844.009549,7.659,84.707,0.000067
88,1789846844.066407,14.450,84.569,0.000067
89,1789846844.106476,4.428,84.406,0.000067
90,1789846844.157758,5.655,83.887,0.000067
91,1789846844.209328,7.166,83.742,0.000067
92,1789846844.264337,12.117,83.671,0.000067
93,1789846844.315720,13.443,83.014,0.000067
94,1789846844.356324,3.984,82.638,0.000067
95,1789846844.409865,7.466,81.916,0.000067
96,1789846844.461276,8.819,81.256,0.000067
97,1789846844.515553,13.020,80.680,0.000067
98,1789846844.567351,14.743,79.885,0.000067
99,1789846844.608160,5.476,79.451,0.000067
100,1789846844.660113,7.355,78.786,0.000067
101,1789846844.711202,8.366,78.388,0.000067
102,1789846844.766819,13.903,33.705,0.000067
103,1789846844.816601,13.611,78.388,0.000067
104,1789846844.857929,4.834,78.616,0.000067
105,1789846844.911822,8.649,79.440,0.000067
106,1789846844.962218,8.988,80.114,0.000067
107,1789846845.017279,13.974,80.416,0.000067
108,1789846845.057325,3.959,81.107,0.000067
109,1789846845.107938,4.489,81.544,0.000067
110,1789846845.164270,10.743,82.329,0.000067
111,1789846845.219876,16.271,82.672,0.000067
112,1789846845.259396,5.712,83.275,0.000067
113,1789846845.311031,7.262,83.528,0.000067
114,1789846845.367370,13.518,84.102,0.000067
115,1789846845.417859,13.929,84.053,0.000067
116,1789846845.458648,4.660,84.283,0.000067
117,1789846845.513385,9.338,33.705,0.000067
118,1789846845.563643,9.566,84.678,0.000067
119,1789846845.615126,10.990,85.012,0.000067
120,1789846845.667129,12.935,84.924,0.000067
121,1789846845.716244,11.989,85.329,0.000067
122,1789846845.766160,11.836,85.506,0.000067
123,1789846845.819433,15.030,85.072,0.000067
124,1789846845.858917,4.456,85.360,0.000067
125,1789846845.916792,12.250,85.163,0.000067
126,1789846845.959128,4.530,84.666,0.000067
127,1789846846.010404,5.727,84.602,0.000067
128,1789846846.060764,6.005,84.690,0.000067
129,1789846846.111216,6.377,84.510,0.000067
130,1789846846.164466,9.566,84.058,0.000067
131,1789846846.214890,9.927,84.065,0.000067
132,1789846846.264972,9.949,83.727,0.000067
133,1789846846.319336,14.237,82.920,0.000067
134,1789846846.359072,3.897,82.977,0.000067
