frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846825.609111,15.847,85.484,0.000067
1,1789846825.650806,7.477,85.484,0.000067
2,1789846825.698313,4.924,85.484,0.000067
3,1789846825.748357,4.912,85.484,0.000067
4,1789846825.798408,4.903,85.484,0.000067
5,1789846825.848488,4.916,85.484,0.000067
6,1789846825.898655,5.002,85.484,0.000067
7,1789846825.948641,4.902,85.484,0.000067
8,1789846825.998673,4.837,85.484,0.000067
9,1789846826.048853,4.886,85.484,0.000067
10,1789846826.099605,5.550,85.484,0.000067
11,1789846826.149946,5.798,85.484,0.000067
12,1789846826.199817,5.610,85.484,0.000067
13,1789846826.249995,5.683,85.484,0.000067
14,1789846826.300029,5.659,85.484,0.000067
15,1789846826.350067,5.595,85.484,0.000067
16,1789846826.400156,5.618,85.484,0.000067
17,1789846826.450217,5.582,85.484,0.000067
18,1789846826.500336,5.637,85.484,0.000067
19,1789846826.550393,5.637,85.484,0.000067
20,1789846826.601226,6.408,85.484,0.000067
21,1789846826.651426,6.548,85.484,0.000067
22,1789846826.701471,6.497,85.484,0.000067
23,1789846826.751603,6.544,85.484,0.000067
24,1789846826.801776,6.659,85.484,0.000067
25,1789846826.851336,6.160,85.484,0.000067
26,1789846826.901526,6.246,85.484,0.000067
27,1789846826.951869,6.510,85.484,0.000067
28,1789846827.001788,6.368,85.484,0.000067
29,1789846827.051824,6.320,85.484,0.000067
30,1789846827.103163,7.575,85.484,0.000067
31,1789846827.153098,7.437,85.484,0.000067
32,1789846827.203157,7.437,85.484,0.000067
33,1789846827.253515,7.736,85.484,0.000067
34,1789846827.303620,7.752,85.484,0.000067
35,1789846827.353779,7.852,85.484,0.000067
36,1789846827.403792,7.778,85.484,0.000067
37,1789846827.453969,7.849,85.484,0.000067
38,1789846827.503772,7.595,85.484,0.000067
39,1789846827.553646,7.411,85.484,0.000067
40,1789846827.604113,7.818,85.484,0.000067
41,1789846827.654128,7.776,85.484,0.000067
42,1789846827.715006,18.595,33.705,0.000067
43,1789846827.761228,14.752,84.969,0.000067
44,1789846827.814723,18.187,85.163,0.000067
45,1789846827.856413,9.820,33.705,0.000067
46,1789846827.902016,5.357,84.896,0.000067
47,1789846827.959585,12.865,84.707,0.000067
48,1789846828.004953,8.151,84.350,0.000067
49,1789846828.050119,3.234,84.412,0.000067
50,1789846828.108415,11.471,84.102,0.000067
51,1789846828.155441,8.436,83.742,0.000067
52,1789846828.202213,5.149,83.671,0.000067
53,1789846828.254564,7.486,82.672,0.000067
54,1789846828.309864,12.726,82.505,0.000067
55,1789846828.360348,13.151,81.900,0.000067
56,1789846828.419364,22.093,81.104,0.000067
57,1789846828.461649,14.319,80.680,0.000067
58,1789846828.507606,10.216,80.251,0.000067
59,1789846828.556035,8.564,33.705,0.000067
60,1789846828.601824,4.294,78.786,0.000067
61,1789846828.659541,11.951,78.388,0.000067
62,1789846828.707158,9.508,77.625,0.000067
63,1789846828.752426,4.681,78.104,0.000067
64,1789846828.809801,11.977,79.028,0.000067
65,1789846828.858867,10.959,33.705,0.000067
66,1789846828.904774,6.795,80.251,0.000067
67,1789846828.961959,13.913,80.700,0.000067
68,1789846829.008419,10.316,81.537,0.000067
69,1789846829.056486,8.326,81.900,0.000067
70,1789846829.102540,4.319,82.638,0.000067
71,1789846829.161051,12.769,82.920,0.000067
72,1789846829.208532,10.192,83.361,0.000067
73,1789846829.266263,17.866,84.065,0.000067
74,1789846829.306027,7.549,83.887,0.000067
75,1789846829.353155,4.601,84.412,0.000067
76,1789846829.409956,11.324,84.350,0.000067
77,1789846829.456213,7.517,84.438,0.000067
78,1789846829.519233,20.457,84.896,0.000067
79,1789846829.558995,10.162,33.705,0.000067
80,1789846829.610995,12.104,33.705,0.000067
81,1789846829.657063,8.125,85.318,0.000067
82,1789846829.706101,7.105,85.106,0.000067
83,1789846829.760453,11.397,33.705,0.000067
84,1789846829.811138,12.057,33.705,0.000067
85,1789846829.858952,9.812,84.818,0.000067
86,1789846829.904602,5.404,84.912,0.000067
87,1789846829.963661,14.404,84.438,0.000067
