frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789847023.875027,12.723,85.106,0.000067
1,1789847023.918943,6.575,85.106,0.000067
2,1789847023.968974,6.547,85.106,0.000067
3,1789847024.019261,6.754,85.106,0.000067
4,1789847024.069795,7.229,85.106,0.000067
5,1789847024.119527,6.903,85.106,0.000067
6,1789847024.170150,7.464,85.106,0.000067
7,1789847024.220109,7.365,85.106,0.000067
8,1789847024.270050,7.213,85.106,0.000067
9,1789847024.320126,7.232,85.106,0.000067
10,1789847024.370147,7.194,85.106,0.000067
11,1789847024.420321,7.310,85.106,0.000067
12,1789847024.470579,7.482,85.106,0.000067
13,1789847024.520000,6.848,85.106,0.000067
14,1789847024.570816,7.607,85.106,0.000067
15,1789847024.620589,7.323,85.106,0.000067
16,1789847024.670919,7.531,85.106,0.000067
17,1789847024.720938,7.468,85.106,0.000067
18,1789847024.770975,7.449,85.106,0.000067
19,1789847024.821177,7.570,85.106,0.000067
20,1789847024.871191,7.502,85.106,0.000067
21,1789847024.921062,7.289,85.106,0.000067
22,1789847024.971694,7.841,85.106,0.000067
23,1789847025.021210,7.243,85.106,0.000067
24,1789847025.071296,7.209,85.106,0.000067
25,1789847025.121217,7.018,85.106,0.000067
26,1789847025.171400,7.075,85.106,0.000067
27,1789847025.221563,7.179,85.106,0.000067
28,1789847025.271603,7.147,85.106,0.000067
29,1789847025.321853,7.317,85.106,0.000067
30,1789847025.371906,7.247,85.106,0.000067
31,1789847025.422017,7.280,85.106,0.000067
32,1789847025.471757,6.896,85.106,0.000067
33,1789847025.521992,7.026,85.106,0.000067
34,1789847025.572177,7.152,85.106,0.000067
35,1789847025.622055,6.832,85.106,0.000067
36,1789847025.672607,7.252,85.106,0.000067
37,1789847025.722636,7.179,85.106,0.000067
38,1789847025.772648,7.116,85.106,0.000067
39,1789847025.822604,6.954,85.106,0.000067
40,1789847025.872815,7.062,85.106,0.000067
41,1789847025.922655,6.820,85.106,0.000067
42,1789847025.977685,11.772,33.705,0.000067
43,1789847026.028542,12.546,33.705,0.000067
44,1789847026.078926,12.874,33.705,0.000067
45,1789847026.129610,13.532,33.705,0.000067
46,1789847026.182486,16.328,84.438,0.000067
47,1789847026.231523,15.305,33.705,0.000067
48,1789847026.277455,11.174,33.705,0.000067
49,1789847026.328048,11.706,33.705,0.000067
50,1789847026.377675,11.275,33.705,0.000067
51,1789847026.428139,11.657,33.705,0.000067
52,1789847026.477075,10.509,33.705,0.000067
53,1789847026.527043,10.398,33.705,0.000067
54,1789847026.581536,14.810,81.916,0.000067
55,1789847026.627932,11.123,33.705,0.000067
56,1789847026.678887,12.015,33.705,0.000067
57,1789847026.729212,12.264,33.705,0.000067
58,1789847026.777606,10.593,33.705,0.000067
59,1789847026.829810,12.704,33.705,0.000067
60,1789847026.877902,10.737,33.705,0.000067
61,1789847026.927426,10.186,33.705,0.000067
62,1789847026.979015,11.714,33.705,0.000067
63,1789847027.028556,11.196,33.705,0.000067
64,1789847027.078507,11.072,33.705,0.000067
65,1789847027.128433,10.941,33.705,0.000067
66,1789847027.178403,10.830,80.651,0.000067
67,1789847027.232896,15.262,33.705,0.000067
68,1789847027.280532,12.835,33.705,0.000067
69,1789847027.327823,10.045,33.705,0.000067
70,1789847027.379049,11.208,82.630,0.000067
71,1789847027.432808,14.909,83.365,0.000067
72,1789847027.480730,12.751,33.705,0.000067
73,1789847027.529382,11.333,33.705,0.000067
74,1789847027.579924,11.837,33.705,0.000067
75,1789847027.630191,12.045,33.705,0.000067
76,1789847027.680020,11.814,33.705,0.000067
77,1789847027.728795,10.528,33.705,0.000067
78,1789847027.780554,12.227,33.705,0.000067
79,1789847027.829232,10.825,33.705,0.000067
80,1789847027.880784,12.315,33.705,0.000067
81,1789847027.930236,11.689,33.705,0.000067
82,1789847027.982279,13.648,85.320,0.000067
83,1789847028.029211,10.513,33.705,0.000067
84,1789847028.078867,10.088,33.705,0.000067
85,1789847028.130692,11.838,33.705,0.000067
86,1789847028.179240,10.327,33.705,0.000067
87,1789847028.231639,12.661,33.705,0.000067
88,1789847028.279232,10.178,33.705,0.000067
89,1789847028.329054,9.975,33.705,0.000067
90,1789847028.379958,10.821,33.705,0.000067
91,1789847028.428292,9.093,33.705,0.000067
92,1789847028.480893,11.634,33.705,0.000067
93,1789847028.530799,11.480,33.705,0.000067
94,1789847028.578810,9.414,33.705,0.000067
95,1789847028.634226,14.752,33.705,0.000067
96,1789847028.680737,11.184,81.104,0.000067
97,1789847028.729535,9.921,33.705,0.000067
98,1789847028.772546,2.849,33.705,0.000067
99,1789847028.823783,4.002,33.705,0.000067
100,1789847028.881808,11.943,33.705,0.000067
101,1789847028.931455,11.512,33.705,0.000067
102,1789847028.986909,13.401,77.496,0.000067
103,1789847029.035376,11.801,78.104,0.000067
104,1789847029.082997,9.345,33.705,0.000067
105,1789847029.132060,8.331,33.705,0.000067
106,1789847029.182885,9.084,80.114,0.000067
107,1789847029.232135,8.255,33.705,0.000067
108,1789847029.281776,7.819,33.705,0.000067
109,1789847029.331320,7.280,33.705,0.000067
110,1789847029.386946,12.845,82.264,0.000067
111,1789847029.435464,11.303,83.014,0.000067
112,1789847029.483490,9.271,83.671,0.000067
113,1789847029.533212,8.935,33.705,0.000067
114,1789847029.582896,8.559,33.705,0.000067
115,1789847029.631148,6.735,33.705,0.000067
116,1789847029.686876,12.404,84.569,0.000067
117,1789847029.736801,12.267,33.705,0.000067
118,1789847029.782699,8.103,33.705,0.000067
119,1789847029.832100,7.446,33.705,0.000067
120,1789847029.884714,9.979,84.924,0.000067
121,1789847029.934129,9.332,33.705,0.000067
122,1789847029.982127,7.248,33.705,0.000067
123,1789847030.032023,7.064,33.705,0.000067
124,1789847030.081191,6.158,33.705,0.000067
125,1789847030.131383,6.307,33.705,0.000067
126,1789847030.184337,9.196,33.705,0.000067
127,1789847030.232478,7.261,33.705,0.000067
128,1789847030.281928,6.637,33.705,0.000067
129,1789847030.332861,7.513,33.705,0.000067
130,1789847030.386691,11.263,84.259,0.000067
131,1789847030.431690,6.203,33.705,0.000067
132,1789847030.489439,13.873,83.361,0.000067
133,1789847030.536453,10.803,33.705,0.000067
134,1789847030.587140,11.433,82.587,0.000067
135,1789847030.635128,9.365,33.705,0.000067
136,1789847030.684762,8.922,33.705,0.000067
137,1789847030.734703,8.805,33.705,0.000067
138,1789847030.784786,8.829,33.705,0.000067
139,1789847030.839646,13.607,79.837,0.000067
140,1789847030.888790,12.690,79.028,0.000067
141,1789847030.934030,7.870,33.705,0.000067
142,1789847030.984587,8.368,33.705,0.000067
143,1789847031.039405,13.123,77.997,0.000067
144,1789847031.087232,10.888,78.616,0.000067
145,1789847031.135785,9.383,33.705,0.000067
146,1789847031.185619,9.160,33.705,0.000067
147,1789847031.238619,12.099,33.705,0.000067
148,1789847031.284719,8.140,33.705,0.000067
149,1789847031.336434,9.791,81.544,0.000067
150,1789847031.385990,9.256,33.705,0.000067
151,1789847031.435216,8.423,33.705,0.000067
152,1789847031.484318,7.464,33.705,0.000067
153,1789847031.535298,8.386,33.705,0.000067
154,1789847031.586184,9.214,33.705,0.000067
155,1789847031.636191,9.159,84.171,0.000067
156,1789847031.685134,8.054,33.705,0.000067
157,1789847031.735164,8.009,33.705,0.000067
158,1789847031.785931,8.718,33.705,0.000067
159,1789847031.835772,8.498,33.705,0.000067
160,1789847031.889218,11.884,85.163,0.000067
161,1789847031.936831,9.417,85.165,0.000067
162,1789847031.984567,7.077,33.705,0.000067
163,1789847032.033936,6.365,33.705,0.000067
164,1789847032.087248,9.598,33.705,0.000067
165,1789847032.134138,6.387,33.705,0.000067
166,1789847032.188293,10.460,33.705,0.000067
167,1789847032.236886,8.973,33.705,0.000067
168,1789847032.285343,7.356,33.705,0.000067
169,1789847032.335250,7.188,33.705,0.000067
170,1789847032.385214,7.130,33.705,0.000067
171,1789847032.439408,11.264,84.065,0.000067
172,1789847032.488843,10.638,33.705,0.000067
173,1789847032.536029,7.749,33.705,0.000067
174,1789847032.585678,7.317,33.705,0.000067
175,1789847032.635224,6.803,33.705,0.000067
176,1789847032.687144,8.666,33.705,0.000067
177,1789847032.736000,7.443,33.705,0.000067
178,1789847032.786275,7.657,33.705,0.000067
179,1789847032.841582,12.881,33.705,0.000067
180,1789847032.891883,13.124,79.440,0.000067
181,1789847032.939082,10.245,33.705,0.000067
182,1789847032.989278,10.381,77.871,0.000067
183,1789847033.035989,7.007,33.705,0.000067
184,1789847033.090619,11.558,78.388,0.000067
185,1789847033.137339,8.240,33.705,0.000067
186,1789847033.186271,7.111,33.705,0.000067
187,1789847033.241217,11.996,80.251,0.000067
188,1789847033.290709,11.429,80.945,0.000067
189,1789847033.336381,7.040,33.705,0.000067
190,1789847033.386225,6.814,33.705,0.000067
191,1789847033.435663,6.194,33.705,0.000067
192,1789847033.487454,7.895,33.705,0.000067
193,1789847033.536213,6.573,33.705,0.000067
194,1789847033.587299,7.582,33.705,0.000067
195,1789847033.641990,12.213,33.705,0.000067
196,1789847033.691266,11.428,84.406,0.000067
197,1789847033.741024,11.125,33.705,0.000067
198,1789847033.791489,11.530,33.705,0.000067
199,1789847033.843838,13.797,84.533,0.000067
200,1789847033.891137,11.059,33.705,0.000067
201,1789847033.941088,10.934,33.705,0.000067
202,1789847033.991115,10.902,33.705,0.000067
203,1789847034.040779,10.505,33.705,0.000067
204,1789847034.091408,11.069,33.705,0.000067
205,1789847034.135818,5.401,33.705,0.000067
206,1789847034.189267,8.769,33.705,0.000067
207,1789847034.237790,7.232,33.705,0.000067
208,1789847034.291215,10.572,33.705,0.000067
209,1789847034.334979,4.261,84.350,0.000067
210,1789847034.388277,7.481,33.705,0.000067
211,1789847034.436779,5.924,33.705,0.000067
212,1789847034.487288,6.355,84.065,0.000067
213,1789847034.539484,8.467,83.361,0.000067
214,1789847034.595526,14.432,82.920,0.000067
215,1789847034.642976,11.820,33.705,0.000067
216,1789847034.690118,8.901,33.705,0.000067
217,1789847034.739904,8.628,81.537,0.000067
218,1789847034.791659,10.322,80.700,0.000067
219,1789847034.845284,13.867,33.705,0.000067
220,1789847034.896761,15.285,33.705,0.000067
221,1789847034.936821,5.286,79.305,0.000067
222,1789847034.989462,7.854,78.549,0.000067
223,1789847035.042376,10.687,77.625,0.000067
224,1789847035.098787,17.039,77.997,0.000067
225,1789847035.154122,22.259,78.616,0.000067
226,1789847035.194809,12.892,33.705,0.000067
227,1789847035.244037,12.061,33.705,0.000067
228,1789847035.289944,7.908,80.258,0.000067
229,1789847035.349615,17.537,81.080,0.000067
230,1789847035.395182,13.038,81.537,0.000067
231,1789847035.449528,17.326,33.705,0.000067
232,1789847035.500456,18.194,33.705,0.000067
233,1789847035.545587,13.264,82.920,0.000067
234,1789847035.595389,12.973,83.361,0.000067
235,1789847035.641216,8.719,33.705,0.000067
236,1789847035.691511,8.951,33.705,0.000067
237,1789847035.746434,13.781,33.705,0.000067
238,1789847035.798894,16.166,33.705,0.000067
239,1789847035.853860,21.054,33.705,0.000067
240,1789847035.893928,11.038,84.678,0.000067
241,1789847035.950005,17.035,33.705,0.000067
242,1789847036.010769,27.722,33.705,0.000067
243,1789847036.053659,20.556,33.705,0.000067
244,1789847036.103048,19.873,85.444,0.000067
245,1789847036.139984,6.744,85.506,0.000067
246,1789847036.191021,7.709,85.506,0.000067
247,1789847036.241095,7.721,85.506,0.000067
248,1789847036.301910,18.474,33.705,0.000067
249,1789847036.341331,7.819,85.506,0.000067
250,1789847036.391524,7.952,85.506,0.000067
251,1789847036.441406,7.772,85.506,0.000067
252,1789847036.491728,8.026,85.506,0.000067
253,1789847036.541435,7.645,85.506,0.000067
254,1789847036.591840,7.991,85.506,0.000067
255,1789847036.641755,7.812,85.506,0.000067
256,1789847036.691953,7.947,85.506,0.000067
257,1789847036.741903,7.820,85.506,0.000067
258,1789847036.792145,8.000,85.506,0.000067
259,1789847036.842293,8.085,85.506,0.000067
260,1789847036.892303,8.037,85.506,0.000067
261,1789847036.942319,7.995,85.506,0.000067
262,1789847036.992486,8.099,85.506,0.000067
263,1789847037.041592,7.144,85.506,0.000067
264,1789847037.099648,15.122,33.705,0.000067
265,1789847037.142449,7.864,85.506,0.000067
266,1789847037.192497,7.834,85.506,0.000067
267,1789847037.242586,7.843,85.506,0.000067
268,1789847037.292753,7.891,85.506,0.000067
269,1789847037.342745,7.810,85.506,0.000067
270,1789847037.392987,7.980,85.506,0.000067
271,1789847037.442870,7.779,85.506,0.000067
272,1789847037.492998,7.790,85.506,0.000067
273,1789847037.542267,7.000,85.506,0.000067
274,1789847037.593228,7.766,85.506,0.000067
275,1789847037.643214,7.624,85.506,0.000067
276,1789847037.693170,7.494,85.506,0.000067
277,1789847037.743131,7.306,85.506,0.000067
278,1789847037.793444,7.499,85.506,0.000067
279,1789847037.843549,7.485,85.506,0.000067
