frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846871.142393,12.973,85.320,0.000067
1,1789846871.187116,7.634,85.320,0.000067
2,1789846871.237093,7.554,85.320,0.000067
3,1789846871.287042,7.440,85.320,0.000067
4,1789846871.337012,7.316,85.320,0.000067
5,1789846871.387197,7.393,85.320,0.000067
6,1789846871.437373,7.465,85.320,0.000067
7,1789846871.487650,7.657,85.320,0.000067
8,1789846871.537641,7.540,85.320,0.000067
9,1789846871.587725,7.567,85.320,0.000067
10,1789846871.637416,7.198,85.320,0.000067
11,1789846871.687865,7.589,85.320,0.000067
12,1789846871.737475,7.143,85.320,0.000067
13,1789846871.788061,7.555,85.320,0.000067
14,1789846871.838219,7.593,85.320,0.000067
15,1789846871.888184,7.456,85.320,0.000067
16,1789846871.937979,7.152,85.320,0.000067
17,1789846871.988671,7.660,85.320,0.000067
18,1789846872.038204,7.108,85.320,0.000067
19,1789846872.088841,7.624,85.320,0.000067
20,1789846872.138188,6.837,85.320,0.000067
21,1789846872.188661,7.249,85.320,0.000067
22,1789846872.238958,7.461,85.320,0.000067
23,1789846872.289175,7.586,85.320,0.000067
24,1789846872.339112,7.397,85.320,0.000067
25,1789846872.389315,7.494,85.320,0.000067
26,1789846872.439187,7.203,85.320,0.000067
27,1789846872.489444,7.341,85.320,0.000067
28,1789846872.539227,7.022,85.320,0.000067
29,1789846872.589251,6.893,85.320,0.000067
30,1789846872.639100,6.681,85.320,0.000067
31,1789846872.690103,7.588,85.320,0.000067
32,1789846872.740144,7.513,85.320,0.000067
33,1789846872.790110,7.338,85.320,0.000067
34,1789846872.839818,6.975,85.320,0.000067
35,1789846872.890429,7.470,85.320,0.000067
36,1789846872.940191,7.148,85.320,0.000067
37,1789846872.990817,7.636,85.320,0.000067
38,1789846873.040504,7.211,85.320,0.000067
39,1789846873.090572,7.218,85.320,0.000067
40,1789846873.140794,7.320,85.320,0.000067
41,1789846873.190856,7.299,85.320,0.000067
42,1789846873.273183,39.546,85.444,0.000067
43,1789846873.340035,47.873,85.360,0.000067
44,1789846873.393481,39.477,84.818,0.000067
45,1789846873.449813,37.647,84.896,0.000067
46,1789846873.512949,44.430,33.705,0.000067
47,1789846873.571154,49.277,84.283,0.000067
48,1789846873.637790,47.741,33.705,0.000067
49,1789846873.695685,48.912,84.065,0.000067
50,1789846873.764687,50.126,83.671,0.000067
51,1789846873.831559,48.038,82.630,0.000067
52,1789846873.895730,45.022,33.705,0.000067
53,1789846873.954184,49.341,33.705,0.000067
54,1789846874.005059,43.844,33.705,0.000067
55,1789846874.060774,46.743,33.705,0.000067
56,1789846874.113927,44.231,33.705,0.000067
57,1789846874.169409,48.674,33.705,0.000067
58,1789846874.214561,38.410,78.104,0.000067
59,1789846874.278831,45.104,33.705,0.000067
60,1789846874.332507,46.700,33.705,0.000067
61,1789846874.388855,47.382,33.705,0.000067
62,1789846874.445579,47.743,79.440,0.000067
63,1789846874.502666,43.051,79.885,0.000067
64,1789846874.558221,41.636,80.680,0.000067
65,1789846874.619793,47.613,33.705,0.000067
66,1789846874.665431,36.525,81.916,0.000067
67,1789846874.729630,45.319,33.705,0.000067
68,1789846874.789036,50.453,83.275,0.000067
69,1789846874.855264,47.360,83.742,0.000067
70,1789846874.910400,41.170,83.887,0.000067
71,1789846874.978096,48.848,84.154,0.000067
72,1789846875.032902,40.914,84.690,0.000067
73,1789846875.094541,47.792,33.705,0.000067
74,1789846875.140559,39.227,84.666,0.000067
75,1789846875.205137,50.714,33.705,0.000067
76,1789846875.263793,49.663,85.318,0.000067
77,1789846875.327474,44.894,33.705,0.000067
78,1789846875.380352,43.840,33.705,0.000067
79,1789846875.440064,50.772,84.854,0.000067
80,1789846875.504382,43.664,33.705,0.000067
81,1789846875.564268,50.826,84.690,0.000067
82,1789846875.617828,39.601,84.154,0.000067
83,1789846875.681141,44.445,33.705,0.000067
84,1789846875.734830,46.827,33.705,0.000067
85,1789846875.788899,47.232,33.705,0.000067
86,1789846875.847403,49.536,82.672,0.000067
87,1789846875.910376,43.984,33.705,0.000067
88,1789846875.957744,38.277,81.544,0.000067
89,1789846876.019645,47.868,33.705,0.000067
90,1789846876.065772,39.101,80.240,0.000067
91,1789846876.129198,49.500,33.705,0.000067
92,1789846876.172740,36.522,79.028,0.000067
93,1789846876.239571,47.866,78.104,0.000067
94,1789846876.304388,45.729,33.705,0.000067
95,1789846876.362689,49.364,77.997,0.000067
96,1789846876.417945,41.020,78.594,0.000067
97,1789846876.477905,45.895,79.440,0.000067
98,1789846876.538964,46.912,33.705,0.000067
99,1789846876.598861,50.656,80.700,0.000067
100,1789846876.662328,49.457,33.705,0.000067
101,1789846876.716413,47.243,33.705,0.000067
102,1789846876.770987,47.696,33.705,0.000067
103,1789846876.818047,40.180,83.275,0.000067
104,1789846876.879750,47.536,33.705,0.000067
105,1789846876.926238,39.584,84.102,0.000067
106,1789846876.982208,41.990,84.412,0.000067
107,1789846877.044120,47.825,33.705,0.000067
108,1789846877.098582,47.329,33.705,0.000067
109,1789846877.154273,48.792,33.705,0.000067
110,1789846877.200554,39.329,85.173,0.000067
111,1789846877.265141,45.588,33.705,0.000067
112,1789846877.319417,45.327,33.705,0.000067
113,1789846877.367128,38.789,85.329,0.000067
114,1789846877.429435,43.311,33.705,0.000067
115,1789846877.489758,51.222,84.912,0.000067
116,1789846877.554206,45.683,33.705,0.000067
117,1789846877.614502,51.333,84.569,0.000067
118,1789846877.679350,46.114,33.705,0.000067
119,1789846877.735647,47.237,33.705,0.000067
120,1789846877.789249,44.592,33.705,0.000067
121,1789846877.844830,46.329,33.705,0.000067
122,1789846877.898422,44.536,33.705,0.000067
123,1789846877.952961,47.701,33.705,0.000067
124,1789846877.999158,39.317,81.537,0.000067
125,1789846878.063867,50.614,33.705,0.000067
126,1789846878.124432,53.580,80.114,0.000067
127,1789846878.188246,49.828,33.705,0.000067
128,1789846878.234653,39.605,78.616,0.000067
129,1789846878.294491,45.667,77.997,0.000067
130,1789846878.354716,46.037,77.111,0.000067
131,1789846878.411535,42.534,78.388,0.000067
132,1789846878.467760,42.194,79.028,0.000067
133,1789846878.531016,49.293,33.705,0.000067
134,1789846878.579136,41.246,80.258,0.000067
135,1789846878.635607,42.475,81.080,0.000067
136,1789846878.699180,49.569,33.705,0.000067
137,1789846878.756363,50.175,82.264,0.000067
138,1789846878.813024,42.770,83.186,0.000067
139,1789846878.868929,41.832,83.361,0.000067
140,1789846878.932192,49.317,33.705,0.000067
141,1789846878.988127,49.063,33.705,0.000067
142,1789846879.042452,47.349,33.705,0.000067
143,1789846879.098507,49.144,33.705,0.000067
144,1789846879.144861,39.422,84.678,0.000067
145,1789846879.208817,50.233,33.705,0.000067
146,1789846879.265630,49.892,33.705,0.000067
147,1789846879.324009,51.406,85.072,0.000067
148,1789846879.377910,40.122,85.072,0.000067
149,1789846879.442248,50.662,33.705,0.000067
150,1789846879.498046,48.903,33.705,0.000067
151,1789846879.544861,39.921,84.892,0.000067
152,1789846879.605231,46.292,84.331,0.000067
153,1789846879.666165,46.986,33.705,0.000067
154,1789846879.723825,50.722,84.058,0.000067
155,1789846879.777790,39.923,83.828,0.000067
156,1789846879.841190,49.585,33.705,0.000067
157,1789846879.897238,49.056,33.705,0.000067
158,1789846879.944039,39.909,82.505,0.000067
159,1789846880.006660,43.766,33.705,0.000067
160,1789846880.064150,48.477,33.705,0.000067
161,1789846880.124234,51.131,80.258,0.000067
162,1789846880.187591,44.292,33.705,0.000067
163,1789846880.241397,44.791,33.705,0.000067
164,1789846880.296813,46.393,33.705,0.000067
165,1789846880.349135,45.442,33.705,0.000067
166,1789846880.405741,49.604,33.705,0.000067
167,1789846880.462347,47.570,33.705,0.000067
168,1789846880.515540,44.226,33.705,0.000067
169,1789846880.575844,51.327,80.114,0.000067
170,1789846880.638938,44.092,33.705,0.000067
171,1789846880.697819,49.950,81.537,0.000067
172,1789846880.765934,49.267,82.329,0.000067
173,1789846880.830171,45.288,33.705,0.000067
174,1789846880.890241,51.066,83.361,0.000067
175,1789846880.946231,41.857,83.828,0.000067
176,1789846881.001464,41.316,84.058,0.000067
177,1789846881.065529,49.914,33.705,0.000067
178,1789846881.120335,45.772,33.705,0.000067
179,1789846881.175151,45.817,33.705,0.000067
180,1789846881.231744,47.695,33.705,0.000067
181,1789846881.291717,51.065,85.256,0.000067
182,1789846881.356197,45.640,33.705,0.000067
183,1789846881.413447,48.244,33.705,0.000067
184,1789846881.473586,50.661,84.924,0.000067
185,1789846881.541109,48.556,84.912,0.000067
186,1789846881.605932,45.931,33.705,0.000067
187,1789846881.651963,39.035,84.350,0.000067
188,1789846881.717664,51.613,33.705,0.000067
189,1789846881.772239,47.638,33.705,0.000067
190,1789846881.820132,41.116,83.935,0.000067
191,1789846881.883377,49.345,33.705,0.000067
192,1789846881.930093,39.959,82.977,0.000067
193,1789846881.987385,43.446,82.329,0.000067
194,1789846882.052008,50.434,33.705,0.000067
195,1789846882.109979,50.688,33.705,0.000067
196,1789846882.169139,51.698,33.705,0.000067
197,1789846882.226372,49.668,33.705,0.000067
198,1789846882.285977,51.894,33.705,0.000067
199,1789846882.345875,52.018,33.705,0.000067
200,1789846882.403887,50.014,33.705,0.000067
201,1789846882.464257,52.096,33.705,0.000067
202,1789846882.516582,43.843,78.995,0.000067
203,1789846882.589630,54.898,33.705,0.000067
204,1789846882.651474,52.071,33.705,0.000067
205,1789846882.712156,50.527,33.705,0.000067
206,1789846882.782790,60.356,81.916,0.000067
207,1789846882.859608,54.047,33.705,0.000067
208,1789846882.924247,53.847,33.705,0.000067
209,1789846882.992423,57.927,33.705,0.000067
210,1789846883.059591,56.743,33.705,0.000067
211,1789846883.132315,60.948,84.569,0.000067
212,1789846883.218096,60.030,84.678,0.000067
213,1789846883.306343,61.871,84.818,0.000067
214,1789846883.382310,50.945,85.318,0.000067
215,1789846883.412011,4.484,85.318,0.000067
216,1789846883.462097,4.490,85.318,0.000067
217,1789846883.512162,4.474,85.318,0.000067
218,1789846883.562497,4.722,85.206,0.000067
219,1789846883.612442,4.494,85.206,0.000067
220,1789846883.662655,4.629,85.206,0.000067
221,1789846883.712957,4.814,85.206,0.000067
222,1789846883.763348,5.131,85.206,0.000067
223,1789846883.813320,5.043,85.206,0.000067
224,1789846883.863542,5.203,85.206,0.000067
225,1789846883.913740,5.342,85.206,0.000067
226,1789846883.964338,5.857,85.206,0.000067
227,1789846884.014818,6.182,85.206,0.000067
228,1789846884.064675,5.854,85.206,0.000067
229,1789846884.115170,6.155,85.206,0.000067
230,1789846884.165117,6.014,85.206,0.000067
231,1789846884.215782,6.612,85.206,0.000067
232,1789846884.266436,7.159,85.206,0.000067
233,1789846884.316455,7.112,85.206,0.000067
234,1789846884.366489,7.081,85.206,0.000067
235,1789846884.416511,6.948,85.206,0.000067
236,1789846884.466347,6.633,85.206,0.000067
237,1789846884.516576,6.761,85.206,0.000067
238,1789846884.566501,6.621,85.206,0.000067
239,1789846884.616788,6.794,85.206,0.000067
240,1789846884.666774,6.671,85.206,0.000067
241,1789846884.717285,7.101,85.206,0.000067
242,1789846884.767145,6.881,85.206,0.000067
243,1789846884.817266,6.919,85.206,0.000067
244,1789846884.867505,7.076,85.206,0.000067
245,1789846884.917332,6.842,85.206,0.000067
246,1789846884.967158,6.559,85.206,0.000067
247,1789846885.017520,6.841,85.206,0.000067
248,1789846885.067544,6.809,85.206,0.000067
249,1789846885.117875,7.064,85.206,0.000067
250,1789846885.167870,6.920,85.206,0.000067
251,1789846885.218612,7.531,85.206,0.000067
252,1789846885.267991,6.786,85.206,0.000067
253,1789846885.318763,7.408,85.206,0.000067
254,1789846885.368883,7.416,85.206,0.000067
255,1789846885.418871,7.318,85.206,0.000067
256,1789846885.468907,7.137,85.206,0.000067
257,1789846885.518912,7.063,85.206,0.000067
258,1789846885.569146,7.193,85.206,0.000067
259,1789846885.619759,7.676,85.206,0.000067
260,1789846885.669180,7.041,85.206,0.000067
261,1789846885.719730,7.518,85.206,0.000067
262,1789846885.769374,7.100,85.206,0.000067
263,1789846885.819165,6.831,85.206,0.000067
264,1789846885.869213,6.803,85.206,0.000067
265,1789846885.919419,6.888,85.206,0.000067
266,1789846885.969867,7.210,85.206,0.000067
267,1789846886.019971,7.208,85.206,0.000067
268,1789846886.069948,7.126,85.206,0.000067
269,1789846886.120195,7.231,85.206,0.000067
270,1789846886.169846,6.822,85.206,0.000067
271,1789846886.219980,6.882,85.206,0.000067
272,1789846886.270146,6.962,85.206,0.000067
273,1789846886.320256,6.993,85.206,0.000067
274,1789846886.370576,7.252,85.206,0.000067
275,1789846886.420711,7.178,85.206,0.000067
276,1789846886.470530,6.817,85.206,0.000067
277,1789846886.521138,7.326,85.206,0.000067
278,1789846886.571600,7.667,85.206,0.000067
279,1789846886.621959,7.935,85.206,0.000067
