seconds_from_gesture_start,frametime_ms
1.00838,14.416
1.023013,14.633
1.037495,14.482
1.052156,14.6584
1.065902,13.7481
1.081747,15.845
1.096306,14.5591
1.112301,15.9933
1.126952,14.6515
1.148019,21.0656
1.158051,10.0328
1.173751,15.699
1.188892,15.1406
1.203673,14.7809
1.216909,13.2358
1.232182,15.2736
1.24708,14.8976
1.26095,13.8695
1.274984,14.0326
1.290364,15.3803
1.305315,14.9505
1.320611,15.2956
1.338354,17.7431
1.353013,14.6584
1.368523,15.5097
1.38364,15.1124
1.398222,14.5854
1.413193,14.9706
1.429583,16.3895
1.443025,13.442
1.458383,15.3576
1.472973,14.5895
1.488303,15.3294
1.510107,21.8043
1.51789,7.7829
1.53158,13.6895
1.547333,15.7526
1.562061,14.7236
1.575956,13.8993
1.591557,15.6006
1.607042,15.4853
1.621641,14.5989
1.63728,15.6386
1.652301,15.0204
1.667597,15.2958
1.682999,15.4019
1.697742,14.7437
1.712521,14.7775
1.72711,14.5889
1.742856,15.7455
1.758455,15.5979
1.772712,14.2571
1.788398,15.6858
1.803708,15.3099
1.82103,17.3207
1.836165,15.1352
1.850924,14.7584
1.866816,15.8922
1.881925,15.1081
1.896652,14.7269
1.912079,15.4262
1.927177,15.0982
1.942688,15.5106
1.958442,15.7536
1.973419,14.9766
1.988613,15.1938
2.003579,14.9656
2.019043,15.4634
2.034693,15.6494
2.049548,14.8551
2.064044,14.4924
2.078561,14.52
2.094545,15.9836
2.108571,14.025
2.122615,14.0441
2.137435,14.8199
2.152766,15.3304
2.167993,15.226
2.184137,16.1433
2.209931,25.7941
2.214259,4.32788
2.229213,14.9533
2.246183,16.9702
2.257838,11.6542
2.273916,16.0778
2.290173,16.256
2.305181,15.0077
2.321321,16.1399
2.336103,14.7806
2.351236,15.133
2.366608,15.3705
2.381194,14.5863
2.397069,15.8749
2.410855,13.7858
2.426659,15.8031
2.441498,14.8391
2.455961,14.4633
2.471059,15.098
2.486025,14.9651
2.501713,15.6871
2.516659,14.9464
2.531346,14.686
2.547107,15.7611
2.561868,14.7612
2.579828,17.9555
2.594347,14.5206
2.6091,14.753
2.624902,15.8018
2.639915,15.0137
2.654217,14.3021
2.669428,15.211
2.684014,14.5853
2.698622,14.6078
2.713508,14.8853
2.727005,13.4975
2.742188,15.1825
2.756877,14.6871
2.771495,14.6191
2.785847,14.3525
2.801614,15.7651
2.817739,16.1248
2.832234,14.4932
2.847888,15.6537
2.862635,14.747
2.880307,17.6712
2.895604,15.2957
2.909811,14.207
2.925831,16.0195
2.940836,15.0051
2.955893,15.0565
2.971412,15.5187
2.986282,14.8687
3.002305,16.0221
3.016185,13.8809
3.030509,14.3234
3.045299,14.7896
3.059934,14.635
3.07544,15.5059
3.09068,15.2368
3.107997,17.3188
3.123364,15.3667
3.139056,15.6918
3.154574,15.5178
3.171004,16.4293
3.186587,15.5822
3.201721,15.1338
3.216117,14.3963
3.230607,14.4893
3.245935,15.328
3.262242,16.3065
3.277392,15.1491
3.292427,15.0348
3.308052,15.6241
3.319422,11.3706
3.336653,17.2305
3.352319,15.6652
3.366939,14.621
3.381511,14.5713
3.396003,14.4911
3.410589,14.5856
3.426148,15.5592
3.441147,14.9982
3.457336,16.189
3.472671,15.3338
3.487812,15.1417
3.503352,15.5388
3.518579,15.2275
3.533961,15.3806
3.549412,15.4517
3.563194,13.7804
3.578492,15.2988
3.593992,15.4952
3.606659,12.6712
3.621973,15.3137
3.636824,14.851
3.651007,14.1831
3.666034,15.0262
3.680997,14.9622
3.695468,14.4705
3.709954,14.4853
3.725297,15.3423
3.740404,15.1069
3.754856,14.4522
