seconds_from_gesture_start,frametime_ms
1.009774,10.1865
1.022133,12.3585
1.035256,13.122
1.048822,13.5656
1.061121,12.2993
1.073934,12.8129
1.086369,12.4347
1.09844,12.0711
1.112112,13.6722
1.121602,9.48921
1.135478,13.8727
1.150315,14.84
1.15776,7.4446
1.168947,11.1871
1.182601,13.6536
1.192412,9.8102
1.205325,12.9125
1.218514,13.1895
1.230462,11.9476
1.24364,13.1771
1.257718,14.0776
1.268707,10.9889
1.280678,11.9706
1.293561,12.8819
1.305416,11.856
1.317957,12.5399
1.332922,14.9637
1.34324,10.319
1.355348,12.1081
1.36837,13.0212
1.381443,13.0722
1.393608,12.1661
1.408001,14.3926
1.418322,10.3214
1.430522,12.1995
1.443214,12.6916
1.454212,10.9979
1.466734,12.5216
1.480871,14.1372
1.493404,12.5324
1.505129,11.7256
1.519342,14.2127
1.529986,10.6419
1.542512,12.5273
1.556847,14.3348
1.567475,10.6283
1.579774,12.2994
1.593615,13.8402
1.6043,10.6852
1.615449,11.1483
1.629593,14.1441
1.639978,10.3815
1.652487,12.511
1.666916,14.4293
1.677238,10.3218
1.690289,13.051
1.704485,14.1958
1.714987,10.5013
1.729104,14.1171
1.743278,14.1723
1.753649,10.371
1.766003,12.3538
1.780695,14.6914
1.790229,9.5339
1.803544,13.3151
1.818092,14.5477
1.838912,20.8202
1.843543,4.63021
1.856214,12.6701
1.867183,10.969
1.877598,10.4142
1.892662,15.0649
1.902361,9.69932
1.91519,12.8283
1.93007,14.8802
1.940008,9.93773
1.952677,12.6697
1.966195,13.5171
1.976253,10.0574
1.989121,12.8679
2.003712,14.5908
2.014777,11.0658
2.027207,12.4295
2.041692,14.4838
2.050994,9.30205
2.063032,12.0375
2.077868,14.8357
2.087856,9.98715
2.100711,12.8554
2.11577,15.0582
2.127111,11.3406
2.14008,12.9654
2.152635,12.5574
2.165286,12.6505
2.177647,12.3609
2.191279,13.6318
2.202378,11.0987
2.213897,11.5185
2.228514,14.6181
2.239666,11.1511
2.251219,11.5529
2.267142,15.9227
2.276556,9.41307
2.289314,12.7576
2.303738,14.4233
2.315397,11.6587
2.327262,11.8649
2.342757,15.4946
2.351661,8.90352
2.364234,12.5726
2.377919,13.685
2.387828,9.908
2.40244,14.6113
2.416775,14.3347
2.42718,10.4056
2.440644,13.4632
2.454009,13.3655
2.462807,8.79831
2.476737,13.9294
2.491795,15.0565
2.502492,10.697
2.515754,13.2612
2.530009,14.2545
2.539604,9.59426
2.552401,12.7973
2.56547,13.0698
2.575651,10.1807
2.589529,13.8773
2.604154,14.6248
2.614409,10.2554
2.627939,13.5291
2.642371,14.4298
2.652807,10.4381
2.665489,12.6809
2.680261,14.7723
2.690305,10.0441
2.703193,12.888
2.717619,14.4243
2.72836,10.7408
2.741293,12.9325
2.755326,14.0325
2.765025,9.69925
2.779219,14.1941
2.793097,13.8775
2.804096,10.9992
2.815506,11.4103
2.829127,13.6202
2.840438,11.3104
