seconds_from_gesture_start,frametime_ms
1.007967,8.35543
1.016331,8.36415
1.024553,8.22175
1.033042,8.48917
1.041412,8.36963
1.049629,8.2172
1.057983,8.35354
1.066313,8.32959
1.074539,8.22663
1.083021,8.48163
1.091471,8.44955
1.099761,8.28911
1.107927,8.16656
1.116311,8.38414
1.124598,8.28671
1.133073,8.4739
1.141212,8.13881
1.149567,8.35582
1.157992,8.42473
1.166378,8.38515
1.174778,8.39977
1.182996,8.21793
1.191245,8.24982
1.199579,8.33396
1.20793,8.35064
1.216368,8.43729
1.224541,8.17302
1.23311,8.5672
1.241271,8.16239
1.249632,8.36082
1.257946,8.31418
1.266429,8.48307
1.274599,8.16943
1.283082,8.48227
1.291325,8.24305
1.299605,8.28057
1.308063,8.45697
1.316339,8.27637
1.324694,8.35513
1.332971,8.27667
1.341325,8.35351
1.349835,8.50899
1.358095,8.26068
1.366362,8.26648
1.374613,8.24734
1.383001,8.39126
1.391351,8.3502
1.399581,8.23026
1.408041,8.45882
1.416367,8.32644
1.424577,8.21035
1.432969,8.39098
1.441359,8.38969
1.449564,8.20583
1.457999,8.43406
1.466217,8.21784
1.474589,8.37135
1.483056,8.4661
1.491381,8.32574
1.499844,8.46301
1.508102,8.25808
1.516355,8.25211
1.524622,8.26742
1.533109,8.48742
1.541344,8.23427
1.549572,8.22834
1.558029,8.45644
1.566341,8.31211
1.574846,8.50326
1.58308,8.23517
1.591475,8.39471
1.599633,8.15779
1.608055,8.42144
1.616456,8.39961
1.624643,8.18846
1.633049,8.40562
1.641379,8.32904
1.649691,8.31155
1.65801,8.31927
1.666443,8.43208
1.67464,8.19738
1.683012,8.37268
1.691358,8.34536
1.699622,8.2645
1.7081,8.47729
1.71645,8.34997
1.724618,8.16767
1.733072,8.45246
1.741403,8.33034
1.749824,8.42117
1.758071,8.24719
1.766428,8.35632
1.77473,8.30156
1.783007,8.27717
1.791393,8.38494
1.799711,8.31831
1.808045,8.33386
1.816381,8.33583
1.824707,8.32556
1.833059,8.35132
1.841351,8.29165
1.849705,8.35366
1.858042,8.33737
1.86641,8.36729
1.874677,8.26294
1.883088,8.41497
1.891341,8.25281
1.899705,8.3636
1.908031,8.32504
1.916452,8.42081
1.92475,8.29819
1.933067,8.31584
1.941368,8.30147
1.949741,8.37217
1.958153,8.41211
1.966435,8.28133
1.974703,8.26795
1.983062,8.35923
1.991464,8.40146
1.99972,8.25503
2.00894,9.21937
2.017363,8.4232
2.025564,8.2015
2.033991,8.42651
2.042277,8.2859
2.05055,8.27265
2.059027,8.47731
