frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789847514.746938,15.241,85.484,0.000067
1,1789847514.789050,7.268,85.484,0.000067
2,1789847514.836668,4.805,85.484,0.000067
3,1789847514.886833,4.881,85.484,0.000067
4,1789847514.936915,4.862,85.484,0.000067
5,1789847514.986904,4.787,85.484,0.000067
6,1789847515.037059,4.883,85.484,0.000067
7,1789847515.087034,4.799,85.484,0.000067
8,1789847515.137125,4.829,85.484,0.000067
9,1789847515.187112,4.758,85.484,0.000067
10,1789847515.237877,5.444,85.484,0.000067
11,1789847515.288038,5.516,85.484,0.000067
12,1789847515.338062,5.483,85.484,0.000067
13,1789847515.388326,5.660,85.484,0.000067
14,1789847515.438261,5.504,85.484,0.000067
15,1789847515.488462,5.613,85.484,0.000067
16,1789847515.538483,5.489,85.484,0.000067
17,1789847515.588637,5.577,85.484,0.000067
18,1789847515.638660,5.523,85.484,0.000067
19,1789847515.688757,5.562,85.484,0.000067
20,1789847515.739025,5.772,85.484,0.000067
21,1789847515.789135,5.824,85.484,0.000067
22,1789847515.839288,5.919,85.484,0.000067
23,1789847515.889394,5.938,85.484,0.000067
24,1789847515.939556,5.980,85.484,0.000067
25,1789847515.989390,5.730,85.484,0.000067
26,1789847516.039807,6.071,85.484,0.000067
27,1789847516.089533,5.725,85.484,0.000067
28,1789847516.139718,5.851,85.484,0.000067
29,1789847516.189928,5.961,85.484,0.000067
30,1789847516.240896,6.852,85.484,0.000067
31,1789847516.291200,7.088,85.484,0.000067
32,1789847516.341129,6.944,85.484,0.000067
33,1789847516.391145,6.902,85.484,0.000067
34,1789847516.441344,7.043,85.484,0.000067
35,1789847516.491453,7.095,85.484,0.000067
36,1789847516.541188,6.753,85.484,0.000067
37,1789847516.591532,7.020,85.484,0.000067
38,1789847516.641547,6.958,85.484,0.000067
39,1789847516.691755,7.084,85.484,0.000067
40,1789847516.742223,7.448,85.484,0.000067
41,1789847516.792081,7.251,85.484,0.000067
42,1789847516.894856,59.948,33.705,0.000067
43,1789847516.948080,46.388,85.318,0.000067
44,1789847517.023962,57.097,33.705,0.000067
45,1789847517.091090,58.148,33.705,0.000067
46,1789847517.155801,55.599,33.705,0.000067
47,1789847517.221807,58.862,33.705,0.000067
48,1789847517.286326,57.636,33.705,0.000067
49,1789847517.347043,53.619,33.705,0.000067
50,1789847517.413641,59.691,33.705,0.000067
51,1789847517.481624,61.077,82.630,0.000067
52,1789847517.544676,48.789,81.916,0.000067
53,1789847517.612006,53.150,81.496,0.000067
54,1789847517.684631,58.456,33.705,0.000067
55,1789847517.735121,43.625,79.837,0.000067
56,1789847517.798493,49.259,78.786,0.000067
57,1789847517.869954,57.405,33.705,0.000067
58,1789847517.934587,55.648,77.871,0.000067
59,1789847518.010395,56.552,33.705,0.000067
60,1789847518.074084,56.602,33.705,0.000067
61,1789847518.136903,53.692,33.705,0.000067
62,1789847518.203171,57.281,81.256,0.000067
63,1789847518.277848,55.601,33.705,0.000067
64,1789847518.341670,54.759,33.705,0.000067
65,1789847518.406184,55.447,33.705,0.000067
66,1789847518.470798,55.508,33.705,0.000067
67,1789847518.536014,56.120,33.705,0.000067
68,1789847518.597951,54.887,33.705,0.000067
69,1789847518.663845,58.933,33.705,0.000067
70,1789847518.728683,57.838,33.705,0.000067
71,1789847518.782586,46.966,85.163,0.000067
72,1789847518.855361,58.818,33.705,0.000067
73,1789847518.920880,58.557,33.705,0.000067
74,1789847518.982904,54.777,33.705,0.000067
75,1789847519.048895,58.950,33.705,0.000067
76,1789847519.111381,55.503,33.705,0.000067
77,1789847519.178240,59.968,33.705,0.000067
78,1789847519.242308,54.931,33.705,0.000067
79,1789847519.306536,55.040,33.705,0.000067
80,1789847519.373439,57.947,83.828,0.000067
81,1789847519.449349,56.774,33.705,0.000067
82,1789847519.512418,53.984,33.705,0.000067
83,1789847519.578540,57.158,81.900,0.000067
84,1789847519.656410,58.907,81.080,0.000067
85,1789847519.731499,56.114,33.705,0.000067
86,1789847519.794853,54.278,33.705,0.000067
87,1789847519.858645,54.623,33.705,0.000067
88,1789847519.921141,53.428,33.705,0.000067
89,1789847519.985446,57.288,33.705,0.000067
90,1789847520.047635,55.212,33.705,0.000067
91,1789847520.111093,56.469,33.705,0.000067
92,1789847520.163035,44.954,80.416,0.000067
93,1789847520.234195,51.860,33.705,0.000067
94,1789847520.297639,54.382,33.705,0.000067
95,1789847520.361054,54.359,33.705,0.000067
96,1789847520.415836,47.793,83.324,0.000067
97,1789847520.480492,50.716,83.742,0.000067
98,1789847520.543884,49.383,84.058,0.000067
99,1789847520.617625,59.826,33.705,0.000067
100,1789847520.682050,57.497,33.705,0.000067
101,1789847520.746142,57.115,33.705,0.000067
102,1789847520.812550,59.428,33.705,0.000067
103,1789847520.877217,57.703,33.705,0.000067
104,1789847520.941860,57.744,33.705,0.000067
105,1789847521.007028,58.170,33.705,0.000067
106,1789847521.070980,56.831,33.705,0.000067
107,1789847521.137142,59.067,33.705,0.000067
108,1789847521.200634,56.546,33.705,0.000067
109,1789847521.267601,59.941,33.705,0.000067
110,1789847521.333313,58.753,33.705,0.000067
111,1789847521.395900,55.701,33.705,0.000067
112,1789847521.459599,54.440,33.705,0.000067
113,1789847521.522627,54.052,33.705,0.000067
114,1789847521.588563,56.885,82.278,0.000067
115,1789847521.664583,56.749,33.705,0.000067
116,1789847521.728730,54.951,33.705,0.000067
117,1789847521.791684,53.840,33.705,0.000067
118,1789847521.858095,57.424,78.995,0.000067
119,1789847521.933008,55.832,33.705,0.000067
120,1789847522.002634,60.577,78.388,0.000067
121,1789847522.076922,54.831,33.705,0.000067
122,1789847522.143533,57.550,80.114,0.000067
123,1789847522.220704,58.125,81.080,0.000067
124,1789847522.295913,56.045,33.705,0.000067
