frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789847682.687427,16.163,85.484,0.000067
1,1789847682.730364,9.039,85.484,0.000067
2,1789847682.777993,6.610,85.484,0.000067
3,1789847682.828101,6.616,85.484,0.000067
4,1789847682.877842,6.291,85.484,0.000067
5,1789847682.928198,6.589,85.484,0.000067
6,1789847682.978148,6.479,85.484,0.000067
7,1789847683.028271,6.500,85.484,0.000067
8,1789847683.078317,6.438,85.484,0.000067
9,1789847683.129663,7.651,85.484,0.000067
10,1789847683.179854,7.776,85.484,0.000067
11,1789847683.229947,7.805,85.484,0.000067
12,1789847683.279969,7.768,85.484,0.000067
13,1789847683.329982,7.720,85.484,0.000067
14,1789847683.379812,7.490,85.484,0.000067
15,1789847683.430147,7.764,85.484,0.000067
16,1789847683.480176,7.736,85.484,0.000067
17,1789847683.530608,8.030,85.484,0.000067
18,1789847683.580451,7.777,85.484,0.000067
19,1789847683.630600,7.859,85.484,0.000067
20,1789847683.680459,7.663,85.484,0.000067
21,1789847683.730841,7.963,85.484,0.000067
22,1789847683.780719,7.773,85.484,0.000067
23,1789847683.830874,7.839,85.484,0.000067
24,1789847683.880663,7.521,85.484,0.000067
25,1789847683.931023,7.817,85.484,0.000067
26,1789847683.981001,7.739,85.484,0.000067
27,1789847684.031085,7.763,85.484,0.000067
28,1789847684.081257,7.847,85.484,0.000067
29,1789847684.131289,7.818,85.484,0.000067
30,1789847684.181324,7.773,85.484,0.000067
31,1789847684.231416,7.805,85.484,0.000067
32,1789847684.281431,7.735,85.484,0.000067
33,1789847684.331574,7.797,85.484,0.000067
34,1789847684.381401,7.544,85.484,0.000067
35,1789847684.431624,7.681,85.484,0.000067
36,1789847684.481822,7.794,85.484,0.000067
37,1789847684.531837,7.714,85.484,0.000067
38,1789847684.582067,7.867,85.484,0.000067
39,1789847684.631543,7.284,85.484,0.000067
40,1789847684.681998,7.680,85.484,0.000067
41,1789847684.732230,7.852,85.484,0.000067
42,1789847684.799483,25.044,85.506,0.000067
43,1789847684.833139,8.599,85.165,0.000067
44,1789847684.882927,8.315,85.163,0.000067
45,1789847684.932835,8.159,84.666,0.000067
46,1789847684.982885,8.124,84.602,0.000067
47,1789847685.032383,7.564,84.690,0.000067
48,1789847685.083192,8.281,84.510,0.000067
49,1789847685.132894,7.924,84.171,0.000067
50,1789847685.182848,7.797,83.729,0.000067
51,1789847685.233157,8.046,83.786,0.000067
52,1789847685.283027,7.857,83.365,0.000067
53,1789847685.333380,8.151,82.977,0.000067
54,1789847685.382945,7.658,82.329,0.000067
55,1789847685.432814,7.467,81.544,0.000067
56,1789847685.482773,7.365,81.107,0.000067
57,1789847685.532931,7.462,80.651,0.000067
58,1789847685.582742,7.214,79.869,0.000067
59,1789847685.632678,7.088,79.075,0.000067
