frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789847389.728290,13.454,85.484,0.000067
1,1789847389.771365,6.446,85.484,0.000067
2,1789847389.820027,5.023,85.484,0.000067
3,1789847389.869898,4.839,85.484,0.000067
4,1789847389.920202,5.006,85.484,0.000067
5,1789847389.970143,4.886,85.484,0.000067
6,1789847390.020379,4.999,85.484,0.000067
7,1789847390.070715,5.202,85.484,0.000067
8,1789847390.120682,5.050,85.484,0.000067
9,1789847390.171133,5.423,85.484,0.000067
10,1789847390.221911,6.139,85.484,0.000067
11,1789847390.272165,6.300,85.484,0.000067
12,1789847390.322078,6.151,85.484,0.000067
13,1789847390.372180,6.196,85.484,0.000067
14,1789847390.422377,6.330,85.484,0.000067
15,1789847390.472435,6.305,85.484,0.000067
16,1789847390.522555,6.313,85.484,0.000067
17,1789847390.572571,6.271,85.484,0.000067
18,1789847390.622527,6.166,85.484,0.000067
19,1789847390.672646,6.226,85.484,0.000067
20,1789847390.723808,7.305,85.484,0.000067
21,1789847390.773855,7.292,85.484,0.000067
22,1789847390.823990,7.345,85.484,0.000067
23,1789847390.873863,7.140,85.484,0.000067
24,1789847390.924119,7.340,85.484,0.000067
25,1789847390.974121,7.263,85.484,0.000067
26,1789847391.023900,6.980,85.484,0.000067
27,1789847391.074007,6.994,85.484,0.000067
28,1789847391.123856,6.781,85.484,0.000067
29,1789847391.174156,7.005,85.484,0.000067
30,1789847391.224159,6.948,85.484,0.000067
31,1789847391.274175,6.904,85.484,0.000067
32,1789847391.324698,7.368,85.484,0.000067
33,1789847391.374659,7.215,85.484,0.000067
34,1789847391.424466,6.962,85.484,0.000067
35,1789847391.475163,7.576,85.484,0.000067
36,1789847391.524673,7.026,85.484,0.000067
37,1789847391.575037,7.331,85.484,0.000067
38,1789847391.625259,7.435,85.484,0.000067
39,1789847391.674848,6.966,85.484,0.000067
40,1789847391.725194,7.238,85.484,0.000067
41,1789847391.801707,33.690,85.484,0.000067
42,1789847391.842452,24.370,85.506,0.000067
43,1789847391.883240,15.081,84.969,0.000067
44,1789847391.934426,16.187,85.160,0.000067
45,1789847391.982903,14.605,85.012,0.000067
46,1789847392.044077,25.692,84.796,0.000067
47,1789847392.088023,19.581,84.331,0.000067
48,1789847392.133627,15.126,84.510,0.000067
49,1789847392.188927,20.365,84.171,0.000067
50,1789847392.230713,12.077,84.102,0.000067
51,1789847392.281664,12.946,83.935,0.000067
52,1789847392.329886,11.089,83.324,0.000067
53,1789847392.383510,14.655,82.977,0.000067
54,1789847392.433706,14.791,82.329,0.000067
55,1789847392.491485,22.491,81.796,0.000067
56,1789847392.544924,25.816,81.080,0.000067
57,1789847392.590421,21.233,80.240,0.000067
58,1789847392.645868,26.621,79.608,0.000067
59,1789847392.684261,14.959,79.440,0.000067
60,1789847392.735312,15.948,78.616,0.000067
61,1789847392.784999,15.579,77.997,0.000067
62,1789847392.830532,11.051,77.997,0.000067
63,1789847392.891092,21.554,78.616,0.000067
64,1789847392.932693,13.075,79.305,0.000067
65,1789847392.979586,9.908,79.608,0.000067
66,1789847393.034301,14.564,80.240,0.000067
67,1789847393.094801,25.003,81.107,0.000067
68,1789847393.145483,25.620,81.544,0.000067
69,1789847393.185702,15.752,82.012,0.000067
70,1789847393.237430,17.403,82.630,0.000067
71,1789847393.287320,17.203,83.365,0.000067
72,1789847393.338144,17.967,83.786,0.000067
73,1789847393.394693,24.434,84.117,0.000067
74,1789847393.440441,20.125,84.171,0.000067
75,1789847393.490773,20.423,84.510,0.000067
76,1789847393.542103,21.693,84.690,0.000067
77,1789847393.582853,12.382,84.796,0.000067
78,1789847393.643164,22.612,84.666,0.000067
79,1789847393.683428,12.780,84.818,0.000067
80,1789847393.734601,13.874,85.165,0.000067
81,1789847393.785903,15.116,85.444,0.000067
82,1789847393.839583,18.735,85.506,0.000067
83,1789847393.885028,14.122,85.072,0.000067
84,1789847393.936675,15.689,85.256,0.000067
85,1789847393.986527,15.433,84.937,0.000067
86,1789847394.037420,16.265,84.533,0.000067
87,1789847394.095170,23.954,84.678,0.000067
88,1789847394.144168,22.894,84.381,0.000067
89,1789847394.185039,13.707,84.412,0.000067
90,1789847394.240291,18.878,83.887,0.000067
91,1789847394.290761,19.288,83.742,0.000067
92,1789847394.342138,20.591,83.671,0.000067
93,1789847394.392910,21.281,83.014,0.000067
94,1789847394.442526,20.838,82.264,0.000067
95,1789847394.483620,11.829,82.278,0.000067
96,1789847394.534016,12.118,81.256,0.000067
97,1789847394.582397,10.366,80.945,0.000067
98,1789847394.643284,21.179,79.885,0.000067
99,1789847394.697007,24.843,79.462,0.000067
100,1789847394.733155,10.932,79.028,0.000067
101,1789847394.785691,13.409,78.388,0.000067
