frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789848768.465512,16.020,85.484,0.000067
1,1789848768.507819,8.264,85.484,0.000067
2,1789848768.555300,5.669,85.484,0.000067
3,1789848768.605381,5.692,85.484,0.000067
4,1789848768.655473,5.699,85.484,0.000067
5,1789848768.705532,5.659,85.484,0.000067
6,1789848768.755644,5.689,85.484,0.000067
7,1789848768.805737,5.713,85.484,0.000067
8,1789848768.855870,5.725,85.484,0.000067
9,1789848768.905855,5.652,85.484,0.000067
10,1789848768.956820,6.557,85.484,0.000067
11,1789848769.006919,6.595,85.484,0.000067
12,1789848769.056995,6.565,85.484,0.000067
13,1789848769.107124,6.603,85.484,0.000067
14,1789848769.157195,6.579,85.484,0.000067
15,1789848769.207248,6.545,85.484,0.000067
16,1789848769.257228,6.467,85.484,0.000067
17,1789848769.307281,6.438,85.484,0.000067
18,1789848769.357549,6.644,85.484,0.000067
19,1789848769.407543,6.498,85.484,0.000067
20,1789848769.458853,7.710,85.484,0.000067
21,1789848769.508923,7.723,85.484,0.000067
22,1789848769.559031,7.770,85.484,0.000067
23,1789848769.609095,7.778,85.484,0.000067
24,1789848769.659325,7.865,85.484,0.000067
25,1789848769.709325,7.798,85.484,0.000067
26,1789848769.759387,7.806,85.484,0.000067
27,1789848769.809151,7.495,85.484,0.000067
28,1789848769.859160,7.339,85.484,0.000067
29,1789848769.909484,7.533,85.484,0.000067
30,1789848769.959759,7.656,85.484,0.000067
31,1789848770.009798,7.636,85.484,0.000067
32,1789848770.059891,7.619,85.484,0.000067
33,1789848770.109916,7.528,85.484,0.000067
34,1789848770.159536,7.033,85.484,0.000067
35,1789848770.209920,7.356,85.484,0.000067
36,1789848770.260148,7.400,85.484,0.000067
37,1789848770.310153,7.347,85.484,0.000067
38,1789848770.360336,7.410,85.484,0.000067
39,1789848770.410572,7.586,85.484,0.000067
40,1789848770.460442,7.328,85.484,0.000067
41,1789848770.513967,10.796,85.484,0.000067
42,1789848770.589749,36.484,85.506,0.000067
43,1789848770.633582,29.611,84.969,0.000067
44,1789848770.684293,30.196,85.163,0.000067
45,1789848770.719737,15.556,84.666,0.000067
46,1789848770.769492,15.252,84.602,0.000067
47,1789848770.819802,15.502,84.690,0.000067
48,1789848770.869584,15.224,84.510,0.000067
49,1789848770.920155,15.715,84.171,0.000067
50,1789848770.970155,15.656,83.729,0.000067
51,1789848771.019889,15.330,83.786,0.000067
52,1789848771.069311,14.691,83.365,0.000067
53,1789848771.119792,15.113,82.977,0.000067
54,1789848771.169855,15.117,82.329,0.000067
55,1789848771.220126,15.323,81.544,0.000067
56,1789848771.269609,14.746,81.107,0.000067
57,1789848771.319589,14.632,80.651,0.000067
58,1789848771.369594,14.573,79.869,0.000067
59,1789848771.419542,14.444,79.075,0.000067
60,1789848771.469852,14.693,78.616,0.000067
61,1789848771.519794,14.568,77.997,0.000067
62,1789848771.569831,14.540,77.997,0.000067
63,1789848771.619963,14.612,78.616,0.000067
64,1789848771.669375,13.940,79.075,0.000067
65,1789848771.719654,14.133,79.608,0.000067
66,1789848771.769930,14.325,80.240,0.000067
67,1789848771.819719,14.038,81.080,0.000067
68,1789848771.869852,14.095,81.796,0.000067
69,1789848771.920167,14.334,82.012,0.000067
70,1789848771.969899,13.993,82.630,0.000067
71,1789848772.019868,13.905,83.365,0.000067
72,1789848772.069926,13.892,83.786,0.000067
73,1789848772.119888,13.789,83.729,0.000067
74,1789848772.169894,13.735,84.171,0.000067
75,1789848772.219579,13.361,84.510,0.000067
76,1789848772.269409,13.128,84.690,0.000067
77,1789848772.319016,12.675,84.602,0.000067
78,1789848772.369478,13.057,84.912,0.000067
79,1789848772.420225,13.725,84.818,0.000067
80,1789848772.469968,13.407,85.165,0.000067
81,1789848772.519977,13.356,85.444,0.000067
82,1789848772.569873,13.192,85.106,0.000067
83,1789848772.619812,13.053,85.318,0.000067
84,1789848772.669780,12.965,85.256,0.000067
85,1789848772.719963,13.071,84.937,0.000067
86,1789848772.769744,12.794,84.533,0.000067
87,1789848772.819329,12.294,84.707,0.000067
88,1789848772.869869,12.769,84.569,0.000067
89,1789848772.919433,12.269,84.412,0.000067
90,1789848772.967785,10.560,83.887,0.000067
91,1789848773.020154,12.869,83.935,0.000067
92,1789848773.067566,10.222,83.671,0.000067
93,1789848773.117459,10.034,83.014,0.000067
94,1789848773.173196,15.689,82.264,0.000067
95,1789848773.222954,15.367,81.900,0.000067
96,1789848773.271282,13.615,81.496,0.000067
97,1789848773.317492,9.741,80.680,0.000067
98,1789848773.373063,15.251,80.251,0.000067
99,1789848773.421392,13.500,79.451,0.000067
100,1789848773.472908,14.922,78.786,0.000067
101,1789848773.523106,15.019,78.388,0.000067
102,1789848773.573369,15.222,77.496,0.000067
103,1789848773.622974,14.764,78.388,0.000067
104,1789848773.672844,14.574,78.786,0.000067
105,1789848773.723166,14.833,79.451,0.000067
106,1789848773.772973,14.562,80.251,0.000067
107,1789848773.823171,14.699,80.945,0.000067
108,1789848773.873445,14.900,81.256,0.000067
109,1789848773.923375,14.770,81.916,0.000067
110,1789848773.973187,14.523,82.638,0.000067
111,1789848774.022836,14.110,83.186,0.000067
112,1789848774.073094,14.307,83.671,0.000067
113,1789848774.121622,12.756,83.742,0.000067
114,1789848774.172999,14.075,83.887,0.000067
115,1789848774.223432,14.432,84.412,0.000067
116,1789848774.273343,14.287,84.569,0.000067
117,1789848774.317613,8.513,84.707,0.000067
118,1789848774.373303,14.142,84.533,0.000067
119,1789848774.423142,13.920,84.937,0.000067
120,1789848774.473154,13.870,85.256,0.000067
121,1789848774.521398,12.054,85.318,0.000067
122,1789848774.573151,13.729,85.106,0.000067
123,1789848774.623528,14.045,85.206,0.000067
124,1789848774.672912,13.369,85.360,0.000067
125,1789848774.723344,13.741,85.163,0.000067
126,1789848774.773077,13.398,84.666,0.000067
127,1789848774.823168,13.403,84.602,0.000067
128,1789848774.873011,13.169,84.690,0.000067
129,1789848774.923125,13.202,84.510,0.000067
130,1789848774.969245,9.237,84.171,0.000067
131,1789848775.023364,13.266,83.729,0.000067
132,1789848775.073233,13.057,83.786,0.000067
133,1789848775.121409,11.160,83.365,0.000067
134,1789848775.171141,10.827,82.630,0.000067
135,1789848775.217677,7.301,82.012,0.000067
136,1789848775.273482,13.042,81.544,0.000067
137,1789848775.317786,7.289,81.107,0.000067
138,1789848775.373527,12.969,80.651,0.000067
139,1789848775.423528,12.908,79.869,0.000067
140,1789848775.471239,10.561,79.075,0.000067
141,1789848775.523613,12.857,78.616,0.000067
142,1789848775.571300,10.484,77.997,0.000067
143,1789848775.623567,12.668,77.997,0.000067
144,1789848775.673039,12.029,78.616,0.000067
145,1789848775.717839,6.766,79.075,0.000067
146,1789848775.773548,12.395,79.869,0.000067
147,1789848775.824167,12.954,80.416,0.000067
148,1789848775.874167,12.892,81.107,0.000067
149,1789848775.925132,13.796,81.544,0.000067
150,1789848775.974738,13.343,82.329,0.000067
151,1789848776.025136,13.685,82.977,0.000067
152,1789848776.075154,13.619,83.275,0.000067
153,1789848776.124838,13.243,83.528,0.000067
154,1789848776.175191,13.517,84.117,0.000067
155,1789848776.225126,13.374,84.379,0.000067
156,1789848776.274618,12.785,84.283,0.000067
157,1789848776.324778,12.885,84.331,0.000067
158,1789848776.374597,12.622,84.678,0.000067
159,1789848776.424999,12.964,85.012,0.000067
160,1789848776.475259,13.177,85.163,0.000067
161,1789848776.525240,13.098,85.360,0.000067
162,1789848776.575180,12.978,85.206,0.000067
163,1789848776.625337,13.075,85.506,0.000067
164,1789848776.675018,12.695,85.329,0.000067
165,1789848776.724983,12.601,84.924,0.000067
166,1789848776.774692,12.233,84.854,0.000067
167,1789848776.824794,12.253,84.892,0.000067
168,1789848776.875156,12.538,84.678,0.000067
169,1789848776.925366,12.648,84.381,0.000067
170,1789848776.974744,11.967,84.053,0.000067
171,1789848777.025232,12.374,84.102,0.000067
172,1789848777.074946,12.008,83.935,0.000067
173,1789848777.125484,12.460,83.671,0.000067
174,1789848777.175365,12.248,83.014,0.000067
175,1789848777.224705,11.526,82.264,0.000067
176,1789848777.275470,12.231,81.900,0.000067
177,1789848777.325219,11.921,81.496,0.000067
178,1789848777.375124,11.767,80.680,0.000067
179,1789848777.425103,11.676,79.885,0.000067
180,1789848777.475338,11.851,79.462,0.000067
181,1789848777.524757,11.208,78.995,0.000067
182,1789848777.575139,11.512,78.104,0.000067
183,1789848777.625151,11.462,77.625,0.000067
184,1789848777.675132,11.383,78.178,0.000067
185,1789848777.725148,11.337,79.028,0.000067
186,1789848777.775223,11.335,79.451,0.000067
187,1789848777.824760,10.814,80.251,0.000067
188,1789848777.875352,11.330,80.945,0.000067
189,1789848777.925563,11.453,81.256,0.000067
190,1789848777.975623,11.437,81.916,0.000067
191,1789848778.025381,11.137,82.638,0.000067
192,1789848778.075022,10.718,83.186,0.000067
193,1789848778.125161,10.796,83.361,0.000067
194,1789848778.174945,10.495,83.828,0.000067
195,1789848778.225016,10.448,84.259,0.000067
196,1789848778.274975,10.332,84.406,0.000067
197,1789848778.325057,10.335,84.350,0.000067
198,1789848778.375297,10.489,84.438,0.000067
199,1789848778.424536,9.660,84.896,0.000067
200,1789848778.475415,10.478,84.937,0.000067
201,1789848778.525141,10.123,85.256,0.000067
202,1789848778.575088,9.990,85.318,0.000067
203,1789848778.625483,10.308,85.106,0.000067
204,1789848778.675373,10.141,85.444,0.000067
205,1789848778.725108,9.810,85.165,0.000067
206,1789848778.774971,9.613,84.818,0.000067
207,1789848778.824904,9.469,84.912,0.000067
208,1789848778.875491,9.997,84.796,0.000067
209,1789848778.924831,9.277,84.462,0.000067
210,1789848778.975403,9.770,84.154,0.000067
211,1789848779.025391,9.678,84.058,0.000067
212,1789848779.074645,8.874,83.729,0.000067
213,1789848779.125443,9.590,83.786,0.000067
214,1789848779.175060,9.146,83.365,0.000067
215,1789848779.225106,9.134,82.630,0.000067
216,1789848779.275307,9.277,82.012,0.000067
217,1789848779.325316,9.237,81.796,0.000067
218,1789848779.375063,8.925,81.080,0.000067
219,1789848779.425196,8.997,80.240,0.000067
220,1789848779.474916,8.657,79.608,0.000067
221,1789848779.524992,8.659,79.305,0.000067
222,1789848779.575048,8.656,78.549,0.000067
223,1789848779.624927,8.460,77.591,0.000067
224,1789848779.674993,8.447,77.871,0.000067
225,1789848779.725367,8.735,78.594,0.000067
226,1789848779.775536,8.831,79.075,0.000067
227,1789848779.824934,8.171,79.869,0.000067
228,1789848779.875440,8.593,80.651,0.000067
229,1789848779.925064,8.155,81.107,0.000067
230,1789848779.975113,8.140,81.544,0.000067
231,1789848780.024953,7.903,82.329,0.000067
232,1789848780.075125,8.045,82.977,0.000067
233,1789848780.125292,8.151,83.275,0.000067
234,1789848780.175795,8.592,83.528,0.000067
235,1789848780.225510,8.243,84.117,0.000067
236,1789848780.275399,8.074,84.379,0.000067
237,1789848780.324970,7.583,84.283,0.000067
238,1789848780.374998,7.551,84.331,0.000067
239,1789848780.425485,7.978,84.602,0.000067
240,1789848780.475587,8.016,84.666,0.000067
241,1789848780.525123,7.476,85.163,0.000067
242,1789848780.574822,7.096,85.360,0.000067
243,1789848780.624979,7.179,85.206,0.000067
244,1789848780.671805,3.928,85.106,0.000067
245,1789848780.721966,3.982,85.106,0.000067
246,1789848780.771912,3.848,85.106,0.000067
247,1789848780.821955,3.849,85.106,0.000067
248,1789848780.871822,3.663,85.106,0.000067
249,1789848780.921976,3.759,85.106,0.000067
250,1789848780.972202,3.864,85.106,0.000067
251,1789848781.022662,4.190,85.106,0.000067
252,1789848781.072900,4.326,85.106,0.000067
253,1789848781.123603,4.911,85.106,0.000067
254,1789848781.173226,4.317,85.106,0.000067
255,1789848781.223338,4.292,85.106,0.000067
256,1789848781.273502,4.352,85.106,0.000067
257,1789848781.323980,4.695,85.106,0.000067
258,1789848781.373908,4.513,85.106,0.000067
259,1789848781.423966,4.494,85.106,0.000067
260,1789848781.473840,4.267,85.106,0.000067
261,1789848781.524135,4.460,85.106,0.000067
262,1789848781.574332,4.545,85.106,0.000067
263,1789848781.624563,4.713,85.106,0.000067
264,1789848781.674694,4.743,85.106,0.000067
265,1789848781.725254,5.172,85.106,0.000067
266,1789848781.775165,4.969,85.106,0.000067
267,1789848781.824933,4.677,85.106,0.000067
268,1789848781.875240,4.923,85.106,0.000067
269,1789848781.925101,4.723,85.106,0.000067
270,1789848781.975234,4.722,85.106,0.000067
271,1789848782.025387,4.793,85.106,0.000067
272,1789848782.076130,5.428,85.106,0.000067
273,1789848782.126158,5.329,85.106,0.000067
274,1789848782.176353,5.451,85.106,0.000067
275,1789848782.226613,5.645,85.106,0.000067
276,1789848782.276616,5.575,85.106,0.000067
277,1789848782.326747,5.628,85.106,0.000067
278,1789848782.376781,5.604,85.106,0.000067
279,1789848782.426860,5.559,85.106,0.000067
