frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789848248.270361,15.686,85.484,0.000067
1,1789848248.312769,8.031,85.484,0.000067
2,1789848248.361751,6.936,85.484,0.000067
3,1789848248.411600,6.712,85.484,0.000067
4,1789848248.461912,6.947,85.484,0.000067
5,1789848248.512007,6.968,85.484,0.000067
6,1789848248.562566,7.471,85.484,0.000067
7,1789848248.612184,7.014,85.484,0.000067
8,1789848248.662883,7.653,85.484,0.000067
9,1789848248.712768,7.410,85.484,0.000067
10,1789848248.762961,7.526,85.484,0.000067
11,1789848248.813006,7.494,85.484,0.000067
12,1789848248.863000,7.384,85.484,0.000067
13,1789848248.913193,7.496,85.484,0.000067
14,1789848248.963216,7.396,85.484,0.000067
15,1789848249.013198,7.272,85.484,0.000067
16,1789848249.063545,7.500,85.484,0.000067
17,1789848249.113640,7.468,85.484,0.000067
18,1789848249.163913,7.539,85.484,0.000067
19,1789848249.213937,7.483,85.484,0.000067
20,1789848249.264161,7.595,85.484,0.000067
21,1789848249.314361,7.712,85.484,0.000067
22,1789848249.364145,7.394,85.484,0.000067
23,1789848249.414143,7.335,85.484,0.000067
24,1789848249.464283,7.355,85.484,0.000067
25,1789848249.514623,7.622,85.484,0.000067
26,1789848249.564647,7.514,85.484,0.000067
27,1789848249.614386,7.134,85.484,0.000067
28,1789848249.664644,7.334,85.484,0.000067
29,1789848249.714911,7.542,85.484,0.000067
30,1789848249.764876,7.423,85.484,0.000067
31,1789848249.814572,7.013,85.484,0.000067
32,1789848249.865184,7.519,85.484,0.000067
33,1789848249.915160,7.388,85.484,0.000067
34,1789848249.965175,7.283,85.484,0.000067
35,1789848250.015471,7.505,85.484,0.000067
36,1789848250.065715,7.611,85.484,0.000067
37,1789848250.115422,7.245,85.484,0.000067
38,1789848250.165759,7.525,85.484,0.000067
39,1789848250.215760,7.446,85.484,0.000067
40,1789848250.265938,7.566,85.484,0.000067
41,1789848250.341014,32.557,85.484,0.000067
42,1789848250.387441,28.924,85.444,0.000067
43,1789848250.435691,27.069,85.165,0.000067
44,1789848250.470542,11.830,85.163,0.000067
45,1789848250.520768,11.978,84.666,0.000067
46,1789848250.570723,11.859,84.602,0.000067
47,1789848250.620548,11.605,84.690,0.000067
48,1789848250.670744,11.724,84.510,0.000067
49,1789848250.720584,11.486,84.171,0.000067
50,1789848250.770825,11.667,83.729,0.000067
51,1789848250.820616,11.382,83.786,0.000067
52,1789848250.870777,11.483,83.365,0.000067
53,1789848250.921054,11.697,82.630,0.000067
54,1789848250.970587,11.158,82.012,0.000067
55,1789848251.020516,11.028,81.796,0.000067
56,1789848251.071016,11.454,81.107,0.000067
57,1789848251.120569,10.923,80.651,0.000067
58,1789848251.170731,11.004,79.869,0.000067
59,1789848251.220525,10.717,79.075,0.000067
60,1789848251.270563,10.695,78.616,0.000067
61,1789848251.320523,10.562,77.997,0.000067
62,1789848251.370549,10.509,77.997,0.000067
63,1789848251.420641,10.550,78.616,0.000067
64,1789848251.470540,10.330,79.075,0.000067
65,1789848251.521006,10.729,79.869,0.000067
66,1789848251.571170,10.832,80.651,0.000067
67,1789848251.620944,10.545,81.107,0.000067
68,1789848251.671306,10.824,81.544,0.000067
69,1789848251.720494,9.930,82.329,0.000067
70,1789848251.770899,10.259,82.630,0.000067
71,1789848251.820708,9.991,83.365,0.000067
72,1789848251.871400,10.611,83.786,0.000067
73,1789848251.920654,9.806,83.729,0.000067
74,1789848251.970678,9.746,84.171,0.000067
75,1789848252.020583,9.572,84.510,0.000067
76,1789848252.070836,9.742,84.690,0.000067
77,1789848252.120783,9.610,84.602,0.000067
78,1789848252.170628,9.389,84.666,0.000067
79,1789848252.221088,9.788,85.163,0.000067
80,1789848252.270862,9.503,85.360,0.000067
81,1789848252.320633,9.194,85.206,0.000067
82,1789848252.370773,9.270,85.506,0.000067
83,1789848252.421079,9.517,85.318,0.000067
84,1789848252.471397,9.755,85.256,0.000067
85,1789848252.521317,9.596,84.937,0.000067
86,1789848252.570738,8.961,84.533,0.000067
87,1789848252.620934,9.087,84.707,0.000067
88,1789848252.670671,8.761,84.569,0.000067
89,1789848252.720524,8.530,84.412,0.000067
90,1789848252.770699,8.592,83.887,0.000067
91,1789848252.821057,8.889,83.742,0.000067
92,1789848252.871277,9.050,83.671,0.000067
93,1789848252.921297,9.011,83.014,0.000067
94,1789848252.971251,8.907,82.264,0.000067
95,1789848253.021158,8.754,81.916,0.000067
96,1789848253.071307,8.844,81.256,0.000067
97,1789848253.121140,8.615,80.945,0.000067
98,1789848253.171316,8.732,80.251,0.000067
99,1789848253.220590,7.945,79.451,0.000067
100,1789848253.270817,8.112,78.786,0.000067
101,1789848253.320594,7.826,78.388,0.000067
102,1789848253.371408,8.581,77.496,0.000067
103,1789848253.420764,7.877,78.388,0.000067
104,1789848253.470862,7.899,78.786,0.000067
105,1789848253.520914,7.870,79.451,0.000067
106,1789848253.570817,7.717,80.251,0.000067
107,1789848253.620665,7.489,80.945,0.000067
108,1789848253.670829,7.594,81.256,0.000067
109,1789848253.720768,7.473,81.900,0.000067
110,1789848253.770974,7.623,82.264,0.000067
111,1789848253.820930,7.499,83.014,0.000067
112,1789848253.871408,7.918,83.671,0.000067
113,1789848253.920886,7.334,83.742,0.000067
114,1789848253.970813,7.208,83.887,0.000067
115,1789848254.021292,7.632,84.412,0.000067
116,1789848254.071480,7.738,84.569,0.000067
117,1789848254.121452,7.648,84.707,0.000067
118,1789848254.171205,7.341,84.533,0.000067
119,1789848254.220860,6.912,84.937,0.000067
120,1789848254.271202,7.180,85.256,0.000067
121,1789848254.320757,6.660,85.318,0.000067
122,1789848254.370963,6.808,85.506,0.000067
