frame,epoch,capture_ms,mean_luma,dark_fraction
0,1789846853.690426,13.721,85.506,0.000067
1,1789846853.734203,7.422,85.506,0.000067
2,1789846853.784201,7.317,85.506,0.000067
3,1789846853.834321,7.334,85.506,0.000067
4,1789846853.884657,7.603,85.506,0.000067
5,1789846853.934189,7.094,85.506,0.000067
6,1789846853.984050,6.880,85.506,0.000067
7,1789846854.034554,7.323,85.506,0.000067
8,1789846854.084341,6.908,85.506,0.000067
9,1789846854.134596,7.043,85.506,0.000067
10,1789846854.184820,7.106,85.506,0.000067
11,1789846854.234848,7.043,85.506,0.000067
12,1789846854.284715,6.836,85.506,0.000067
13,1789846854.335173,7.218,85.506,0.000067
14,1789846854.385168,7.138,85.506,0.000067
15,1789846854.435247,7.074,85.506,0.000067
16,1789846854.485237,7.005,85.506,0.000067
17,1789846854.535428,7.087,85.506,0.000067
18,1789846854.585645,7.228,85.506,0.000067
19,1789846854.635546,7.011,85.506,0.000067
20,1789846854.685794,7.128,85.506,0.000067
21,1789846854.736082,7.215,85.506,0.000067
22,1789846854.785954,7.032,85.506,0.000067
23,1789846854.836247,7.215,85.506,0.000067
24,1789846854.886269,7.153,85.506,0.000067
25,1789846854.936218,7.043,85.506,0.000067
26,1789846854.986219,6.931,85.506,0.000067
27,1789846855.036770,7.323,85.506,0.000067
28,1789846855.086756,7.197,85.506,0.000067
29,1789846855.137059,7.382,85.506,0.000067
30,1789846855.186755,6.970,85.506,0.000067
31,1789846855.236816,6.973,85.506,0.000067
32,1789846855.287157,7.196,85.506,0.000067
33,1789846855.337215,7.191,85.506,0.000067
34,1789846855.387164,7.008,85.506,0.000067
35,1789846855.437168,6.952,85.506,0.000067
36,1789846855.487370,7.053,85.506,0.000067
37,1789846855.537736,7.214,85.506,0.000067
38,1789846855.587586,6.929,85.506,0.000067
39,1789846855.638196,7.320,85.506,0.000067
40,1789846855.687759,6.827,85.506,0.000067
41,1789846855.785738,54.730,33.705,0.000067
42,1789846855.849874,56.990,85.072,0.000067
43,1789846855.914764,50.780,33.705,0.000067
44,1789846855.961885,40.201,84.854,0.000067
45,1789846856.018549,42.870,84.678,0.000067
46,1789846856.074955,37.482,84.331,0.000067
47,1789846856.139581,50.864,84.154,0.000067
48,1789846856.205178,46.741,33.705,0.000067
49,1789846856.252548,40.462,83.742,0.000067
50,1789846856.313140,46.782,83.671,0.000067
51,1789846856.372901,45.780,33.705,0.000067
52,1789846856.420018,40.291,82.505,0.000067
53,1789846856.476448,42.117,81.544,0.000067
54,1789846856.538444,47.739,33.705,0.000067
55,1789846856.585242,39.900,80.240,0.000067
56,1789846856.649818,50.595,33.705,0.000067
57,1789846856.705557,48.769,33.705,0.000067
58,1789846856.752266,39.799,78.388,0.000067
59,1789846856.815173,48.916,33.705,0.000067
60,1789846856.871060,49.182,33.705,0.000067
