start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
170846241452015,170846241465255,170846241474375,170846241475856,170846241480660,170846241480728,265650,93825812243696,4375639744,7,2732,1151,144
170846249893085,170846249910465,170846249922055,170846249924006,170846249931182,170846249931272,265650,93825812243696,4375639744,7,2732,1151,145
170846258189401,170846258203549,170846258214517,170846258215881,170846258220273,170846258220360,265650,93825812243696,4375639744,7,2732,1151,146
170846266444967,170846266456784,170846266465733,170846266466884,170846266473164,170846266473242,265650,93825812243696,4375639744,7,2732,1151,147
170846274854137,170846274867746,170846274878849,170846274880095,170846274885653,170846274885739,265650,93825812243696,4375639744,7,2732,1151,148
170846283218920,170846283233159,170846283244357,170846283246134,170846283252985,170846283253071,265650,93825812243696,4375639744,7,2732,1151,149
170846291531854,170846291543657,170846291551919,170846291553196,170846291560184,170846291560245,265650,93825812243696,4375639744,7,2732,1151,150
170846299826605,170846299839152,170846299848212,170846299849800,170846299856022,170846299856098,265650,93825812243696,4375639744,7,2732,1151,151
170846308191891,170846308205157,170846308216739,170846308217868,170846308223940,170846308224029,265650,93825812243696,4375639744,7,2732,1151,152
170846316553792,170846316569241,170846316580535,170846316582303,170846316590031,170846316590122,265650,93825812243696,4375639744,7,2732,1151,153
170846324821246,170846324833731,170846324842562,170846324844006,170846324849115,170846324849182,265650,93825812243696,4375639744,7,2732,1151,154
170846333205906,170846333227639,170846333239264,170846333241788,170846333250190,170846333250290,265650,93825812243696,4375639744,7,2732,1151,155
170846341439052,170846341459487,170846341471477,170846341474250,170846341480561,170846341480641,265650,93825812243696,4375639744,7,2732,1151,156
170846349766029,170846349785526,170846349796778,170846349799009,170846349806557,170846349806637,265650,93825812243696,4375639744,7,2732,1151,157
170846358070426,170846358090108,170846358101022,170846358103439,170846358112128,170846358112198,265650,93825812243696,4375639744,7,2732,1151,158
170846366453528,170846366472685,170846366484468,170846366487026,170846366495312,170846366495384,265650,93825812243696,4375639744,7,2732,1151,159
170846374804011,170846374821975,170846374832930,170846374835646,170846374842442,170846374842509,265650,93825812243696,4375639744,7,2732,1151,160
170846383102808,170846383120138,170846383131089,170846383133419,170846383144307,170846383144355,265650,93825812243696,4375639744,7,2732,1151,161
170846391452687,170846391472409,170846391484008,170846391487211,170846391495922,170846391495987,265650,93825812243696,4375639744,7,2732,1151,162
170846399763178,170846399784207,170846399795635,170846399798302,170846399805902,170846399805983,265650,93825812243696,4375639744,7,2732,1151,163
170846408075494,170846408104996,170846408116622,170846408118852,170846408124953,170846408125034,265650,93825812243696,4375639744,7,2732,1151,164
170846416442060,170846416460195,170846416471251,170846416473559,170846416480331,170846416480398,265650,93825812243696,4375639744,7,2732,1151,165
170846424784377,170846424803706,170846424815161,170846424817900,170846424826384,170846424826432,265650,93825812243696,4375639744,7,2732,1151,166
170846433152240,170846433172530,170846433185033,170846433187456,170846433195282,170846433195360,265650,93825812243696,4375639744,7,2732,1151,167
170846441480692,170846441492896,170846441502068,170846441503779,170846441510359,170846441510424,265650,93825812243696,4375639744,7,2732,1151,168
170846449759026,170846449772973,170846449783882,170846449785859,170846449792276,170846449792348,265650,93825812243696,4375639744,7,2732,1151,169
170846458153362,170846458169008,170846458181041,170846458184055,170846458194085,170846458194170,265650,93825812243696,4375639744,7,2732,1151,170
170846466676109,170846466693944,170846466703630,170846466705833,170846466722251,170846466722337,265650,93825812243696,4375639744,7,2732,1151,171
170846474837724,170846474857209,170846474869138,170846474873407,170846474879675,170846474879768,265650,93825812243696,4375639744,7,2732,1151,172
170846483082494,170846483111412,170846483122440,170846483124806,170846483132403,170846483132479,265650,93825812243696,4375639744,7,2732,1151,173
170846491456139,170846491474018,170846491485330,170846491487802,170846491495939,170846491496012,265650,93825812243696,4375639744,7,2732,1151,174
170846499776706,170846499794503,170846499805510,170846499807842,170846499813367,170846499813431,265650,93825812243696,4375639744,7,2732,1151,175
170846508067651,170846508083880,170846508094852,170846508097479,170846508102454,170846508102512,265650,93825812243696,4375639744,7,2732,1151,176
170846516472627,170846516485878,170846516495004,170846516496939,170846516501744,170846516501812,265650,93825812243696,4375639744,7,2732,1151,177
170846524815402,170846524827768,170846524836131,170846524837373,170846524843059,170846524843126,265650,93825812243696,4375639744,7,2732,1151,178
170846533098778,170846533111797,170846533122546,170846533123576,170846533129421,170846533129511,265650,93825812243696,4375639744,7,2732,1151,179
170846541474557,170846541486434,170846541494589,170846541497322,170846541506571,170846541506634,265650,93825812243696,4375639744,7,2732,1151,180
170846549781596,170846549800027,170846549811239,170846549812983,170846549821892,170846549822004,265650,93825812243696,4375639744,7,2732,1151,181
170846558096547,170846558111033,170846558120517,170846558121883,170846558130240,170846558130312,265650,93825812243696,4375639744,7,2732,1151,182
170846566500931,170846566511709,170846566519851,170846566520862,170846566526734,170846566526800,265650,93825812243696,4375639744,7,2732,1151,183
170846574826103,170846574847867,170846574861649,170846574864901,170846574869269,170846574869354,265650,93825812243696,4375639744,7,2732,1151,184
170846583136321,170846583158403,170846583170286,170846583173208,170846583182915,170846583183012,265650,93825812243696,4375639744,7,2732,1151,185
170846591607552,170846591627644,170846591639092,170846591641309,170846591649607,170846591649704,265650,93825812243696,4375639744,7,2732,1151,186
170846599788571,170846599807550,170846599818708,170846599821420,170846599828097,170846599828145,265650,93825812243696,4375639744,7,2732,1151,187
170846608096593,170846608115191,170846608126736,170846608129397,170846608141022,170846608141120,265650,93825812243696,4375639744,7,2732,1151,188
170846616503612,170846616524712,170846616536617,170846616540185,170846616549415,170846616549491,265650,93825812243696,4375639744,7,2732,1151,189
