start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
171894321698626,171894321716929,171894321727471,171894321729531,171894321739370,171894321739520,265650,93825186940240,4375639744,7,2732,1151,13098
171894330036184,171894330055075,171894330066220,171894330068507,171894330077187,171894330077274,265650,93825186940240,4375639744,7,2732,1151,13099
171894338399450,171894338417701,171894338428203,171894338430887,171894338437835,171894338437895,265650,93825186940240,4375639744,7,2732,1151,13100
171894346703861,171894346721159,171894346732235,171894346734599,171894346743634,171894346743707,265650,93825186940240,4375639744,7,2732,1151,13101
171894355058500,171894355076095,171894355086941,171894355088744,171894355097812,171894355097886,265650,93825186940240,4375639744,7,2732,1151,13102
171894363384760,171894363408377,171894363420813,171894363424004,171894363433135,171894363433215,265650,93825186940240,4375639744,7,2732,1151,13103
171894371704807,171894371722297,171894371733248,171894371735835,171894371745123,171894371745184,265650,93825186940240,4375639744,7,2732,1151,13104
171894380078713,171894380094292,171894380105257,171894380107738,171894380113653,171894380113716,265650,93825186940240,4375639744,7,2732,1151,13105
171894388361454,171894388379403,171894388390893,171894388393092,171894388401454,171894388401551,265650,93825186940240,4375639744,7,2732,1151,13106
171894396724841,171894396749525,171894396762809,171894396766163,171894396775639,171894396775699,265650,93825186940240,4375639744,7,2732,1151,13107
171894405058594,171894405075906,171894405087021,171894405089326,171894405094022,171894405094095,265650,93825186940240,4375639744,7,2732,1151,13108
171894413435364,171894413457634,171894413469770,171894413472970,171894413486210,171894413486287,265650,93825186940240,4375639744,7,2732,1151,13109
171894421755909,171894421774373,171894421785517,171894421787442,171894421796084,171894421796148,265650,93825186940240,4375639744,7,2732,1151,13110
171894430065261,171894430076585,171894430086098,171894430087898,171894430094983,171894430095052,265650,93825186940240,4375639744,7,2732,1151,13111
171894438475100,171894438521298,171894438532794,171894438534273,171894438540287,171894438540377,265650,93825186940240,4375639744,7,2732,1151,13112
171894446765984,171894446778615,171894446789415,171894446790734,171894446795895,171894446795981,265650,93825186940240,4375639744,7,2732,1151,13113
171894455122553,171894455174270,171894455184928,171894455185902,171894455190960,171894455191049,265650,93825186940240,4375639744,7,2732,1151,13114
171894463352717,171894463362582,171894463371560,171894463372305,171894463377001,171894463377074,265650,93825186940240,4375639744,7,2732,1151,13115
171894471796470,171894471892443,171894471951544,171894471952447,171894471957461,171894471957548,265650,93825186940240,4375639744,7,2732,1151,13116
171894480122840,171894480135413,171894480146436,171894480147247,171894480151893,171894480151970,265650,93825186940240,4375639744,7,2732,1151,13117
171894488394752,171894488403918,171894488412194,171894488412800,171894488417160,171894488417229,265650,93825186940240,4375639744,7,2732,1151,13118
171894496715185,171894496727316,171894496738115,171894496738992,171894496743227,171894496743319,265650,93825186940240,4375639744,7,2732,1151,13119
171894505097604,171894505111853,171894505123416,171894505124553,171894505129827,171894505129918,265650,93825186940240,4375639744,7,2732,1151,13120
171894513438088,171894513450408,171894513461210,171894513462374,171894513467076,171894513467164,265650,93825186940240,4375639744,7,2732,1151,13121
171894521805787,171894521850964,171894521861793,171894521862589,171894521867507,171894521867589,265650,93825186940240,4375639744,7,2732,1151,13122
171894530122964,171894530145816,171894530156647,171894530157428,171894530162045,171894530162121,265650,93825186940240,4375639744,7,2732,1151,13123
171894538360926,171894538370790,171894538378975,171894538379640,171894538384534,171894538384591,265650,93825186940240,4375639744,7,2732,1151,13124
171894546692088,171894546705028,171894546715878,171894546716728,171894546720689,171894546720762,265650,93825186940240,4375639744,7,2732,1151,13125
171894555071970,171894555081131,171894555089077,171894555089827,171894555094975,171894555095027,265650,93825186940240,4375639744,7,2732,1151,13126
171894563362802,171894563371936,171894563380384,171894563381072,171894563385209,171894563385268,265650,93825186940240,4375639744,7,2732,1151,13127
171894571823189,171894571855386,171894571865951,171894571866906,171894571871310,171894571871379,265650,93825186940240,4375639744,7,2732,1151,13128
171894580081070,171894580090299,171894580098066,171894580098791,171894580102338,171894580102393,265650,93825186940240,4375639744,7,2732,1151,13129
171894588390188,171894588400140,171894588408285,171894588409215,171894588414471,171894588414524,265650,93825186940240,4375639744,7,2732,1151,13130
171894596693151,171894596702834,171894596711340,171894596712118,171894596716854,171894596716914,265650,93825186940240,4375639744,7,2732,1151,13131
171894605125674,171894605135115,171894605143164,171894605143886,171894605147992,171894605148043,265650,93825186940240,4375639744,7,2732,1151,13132
171894613477601,171894613487006,171894613495826,171894613496599,171894613500692,171894613500751,265650,93825186940240,4375639744,7,2732,1151,13133
171894621860045,171894621874612,171894621886007,171894621887375,171894621891829,171894621891918,265650,93825186940240,4375639744,7,2732,1151,13134
171894630101340,171894630111667,171894630119798,171894630120471,171894630124202,171894630124256,265650,93825186940240,4375639744,7,2732,1151,13135
171894638519017,171894638560309,171894638571249,171894638572272,171894638578158,171894638578230,265650,93825186940240,4375639744,7,2732,1151,13136
171894646697318,171894646707464,171894646715109,171894646716230,171894646722797,171894646722849,265650,93825186940240,4375639744,7,2732,1151,13137
171894655036504,171894655051846,171894655063015,171894655064453,171894655070525,171894655070615,265650,93825186940240,4375639744,7,2732,1151,13138
