start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
171605228850903,171605228866440,171605228877100,171605228878806,171605228885180,171605228885247,265650,93825186940240,4375639744,7,2732,1151,1323
171605237197920,171605237214470,171605237225172,171605237227502,171605237233703,171605237233763,265650,93825186940240,4375639744,7,2732,1151,1324
171605245573240,171605245613713,171605245630247,171605245632288,171605245638419,171605245638476,265650,93825186940240,4375639744,7,2732,1151,1325
171605253851616,171605253866560,171605253878628,171605253880005,171605253887263,171605253887353,265650,93825186940240,4375639744,7,2732,1151,1326
171605270221502,171605270238195,171605270249990,171605270253010,171605270259712,171605270259807,265650,93825186940240,4375639744,7,2732,1151,1327
171605278535996,171605278551642,171605278563669,171605278565882,171605278571521,171605278571586,265650,93825186940240,4375639744,7,2732,1151,1328
171605303919932,171605303941173,171605303952401,171605303955185,171605303961045,171605303961125,265650,93825186940240,4375639744,7,2732,1151,1329
171605312249368,171605312283270,171605312302257,171605312304132,171605312310800,171605312310898,265650,93825186940240,4375639744,7,2732,1151,1330
171605320585856,171605320602182,171605320613600,171605320615947,171605320622115,171605320622284,265650,93825186940240,4375639744,7,2732,1151,1331
171605328894009,171605328911027,171605328920796,171605328923350,171605328933637,171605328933710,265650,93825186940240,4375639744,7,2732,1151,1332
171605337223825,171605337241612,171605337251054,171605337252842,171605337264527,171605337264596,265650,93825186940240,4375639744,7,2732,1151,1333
171605345560603,171605345580196,171605345591986,171605345594582,171605345606159,171605345606243,265650,93825186940240,4375639744,7,2732,1151,1334
171605353875706,171605353892684,171605353903675,171605353906181,171605353918932,171605353919029,265650,93825186940240,4375639744,7,2732,1151,1335
171605362189894,171605362207112,171605362218631,171605362220908,171605362231498,171605362231589,265650,93825186940240,4375639744,7,2732,1151,1336
171605370522832,171605370542966,171605370554074,171605370556339,171605370564934,171605370564998,265650,93825186940240,4375639744,7,2732,1151,1337
171605378862822,171605378879610,171605378890126,171605378891886,171605378900427,171605378900490,265650,93825186940240,4375639744,7,2732,1151,1338
171605387211462,171605387223242,171605387232449,171605387234018,171605387240085,171605387240153,265650,93825186940240,4375639744,7,2732,1151,1339
171605395613668,171605395623661,171605395632268,171605395633723,171605395640784,171605395640868,265650,93825186940240,4375639744,7,2732,1151,1340
171605404000021,171605404018958,171605404031005,171605404033100,171605404041491,171605404041576,265650,93825186940240,4375639744,7,2732,1151,1341
171605412262636,171605412279265,171605412290802,171605412292791,171605412301202,171605412301255,265650,93825186940240,4375639744,7,2732,1151,1342
171605420622528,171605420636016,171605420647256,171605420648377,171605420654555,171605420654632,265650,93825186940240,4375639744,7,2732,1151,1343
171605428951957,171605428965521,171605428976336,171605428977357,171605428984547,171605428984624,265650,93825186940240,4375639744,7,2732,1151,1344
