start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
171793654861490,171793654875624,171793654890676,171793654892822,171793654899201,171793654899288,265650,93825186940240,4375639744,7,2732,1151,8357
171793663153903,171793663170306,171793663182129,171793663184219,171793663193729,171793663193821,265650,93825186940240,4375639744,7,2732,1151,8358
171793671506531,171793671520839,171793671531900,171793671534017,171793671543041,171793671543126,265650,93825186940240,4375639744,7,2732,1151,8359
171793679979372,171793680014341,171793680024530,171793680026541,171793680031414,171793680031483,265650,93825186940240,4375639744,7,2732,1151,8360
171793688199399,171793688219153,171793688230765,171793688233339,171793688240401,171793688240539,265650,93825186940240,4375639744,7,2732,1151,8361
171793696662538,171793696715336,171793696754275,171793696756425,171793696768435,171793696768522,265650,93825186940240,4375639744,7,2732,1151,8362
171793708636632,171793708646874,171793708671720,171793708673075,171793708679047,171793708679117,265650,93825186940240,4375639744,7,2732,1151,8363
171793717095846,171793717109927,171793717121356,171793717122955,171793717132526,171793717132619,265650,93825186940240,4375639744,7,2732,1151,8364
171793725260108,171793725270125,171793725278586,171793725279722,171793725285539,171793725285601,265650,93825186940240,4375639744,7,2732,1151,8365
171793733648050,171793733664272,171793733676150,171793733679034,171793733689543,171793733689631,265650,93825186940240,4375639744,7,2732,1151,8366
171793741978613,171793741995959,171793742009888,171793742012346,171793742022087,171793742022216,265650,93825186940240,4375639744,7,2732,1151,8367
171793750323263,171793750343188,171793750355300,171793750358241,171793750366748,171793750366834,265650,93825186940240,4375639744,7,2732,1151,8368
171793758649385,171793758664563,171793758675930,171793758678786,171793758686149,171793758686230,265650,93825186940240,4375639744,7,2732,1151,8369
171793766988960,171793767019864,171793767031211,171793767033651,171793767036937,171793767037040,265650,93825186940240,4375639744,7,2732,1151,8370
171793775280240,171793775292821,171793775303677,171793775306614,171793775310750,171793775310837,265650,93825186940240,4375639744,7,2732,1151,8371
171793783667050,171793783682405,171793783693021,171793783695258,171793783700302,171793783700384,265650,93825186940240,4375639744,7,2732,1151,8372
171793792106647,171793792126690,171793792138781,171793792140708,171793792152196,171793792152334,265650,93825186940240,4375639744,7,2732,1151,8373
171793800339714,171793800349207,171793800357482,171793800358407,171793800362364,171793800362431,265650,93825186940240,4375639744,7,2732,1151,8374
171793810277710,171793810287535,171793810296714,171793810297701,171793810303531,171793810303602,265650,93825186940240,4375639744,7,2732,1151,8375
171793818756724,171793818779458,171793818790738,171793818793416,171793818801436,171793818801643,265650,93825186940240,4375639744,7,2732,1151,8376
171793826949289,171793826960759,171793826972074,171793826974670,171793826977688,171793826977780,265650,93825186940240,4375639744,7,2732,1151,8377
171793836465872,171793836479779,171793836489048,171793836490170,171793836495526,171793836495602,265650,93825186940240,4375639744,7,2732,1151,8378
