start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
172057561423858,172057561435720,172057561448669,172057561451439,172057561460837,172057561460910,265650,93825186940240,4375639744,7,2732,1151,16616
172057571017046,172057571029411,172057571040736,172057571043204,172057571052569,172057571052676,265650,93825186940240,4375639744,7,2732,1151,16617
172057579675618,172057579688295,172057579699607,172057579702107,172057579713845,172057579713945,265650,93825186940240,4375639744,7,2732,1151,16618
172057587981597,172057587993129,172057588007758,172057588010652,172057588015809,172057588015897,265650,93825186940240,4375639744,7,2732,1151,16619
172057596304130,172057596315954,172057596326317,172057596328026,172057596333205,172057596333254,265650,93825186940240,4375639744,7,2732,1151,16620
172057604632329,172057604643795,172057604654706,172057604656665,172057604663107,172057604663189,265650,93825186940240,4375639744,7,2732,1151,16621
172057615362349,172057615373116,172057615383957,172057615385878,172057615391225,172057615391302,265650,93825186940240,4375639744,7,2732,1151,16622
172057624861688,172057624872608,172057624883293,172057624885085,172057624889771,172057624889836,265650,93825186940240,4375639744,7,2732,1151,16623
172057633194429,172057633206002,172057633216631,172057633218282,172057633223392,172057633223457,265650,93825186940240,4375639744,7,2732,1151,16624
172057641811599,172057641822378,172057641832708,172057641834414,172057641839214,172057641839273,265650,93825186940240,4375639744,7,2732,1151,16625
172057650141131,172057650151785,172057650161904,172057650163500,172057650169680,172057650169740,265650,93825186940240,4375639744,7,2732,1151,16626
172057660517111,172057660528660,172057660539733,172057660541879,172057660547093,172057660547186,265650,93825186940240,4375639744,7,2732,1151,16627
172057669143053,172057669154320,172057669165131,172057669167045,172057669172105,172057669172190,265650,93825186940240,4375639744,7,2732,1151,16628
172057677463448,172057677474087,172057677484443,172057677486444,172057677492062,172057677492108,265650,93825186940240,4375639744,7,2732,1151,16629
172057686436625,172057686447430,172057686458146,172057686460022,172057686465088,172057686465147,265650,93825186940240,4375639744,7,2732,1151,16630
172057695434361,172057695446681,172057695457399,172057695459366,172057695463741,172057695463846,265650,93825186940240,4375639744,7,2732,1151,16631
172057703761457,172057703772414,172057703782800,172057703784440,172057703793051,172057703793127,265650,93825186940240,4375639744,7,2732,1151,16632
172057712489286,172057712500179,172057712510700,172057712512596,172057712520842,172057712520916,265650,93825186940240,4375639744,7,2732,1151,16633
172057722357562,172057722368508,172057722379209,172057722380937,172057722392247,172057722392312,265650,93825186940240,4375639744,7,2732,1151,16634
172057731332733,172057731344112,172057731355132,172057731356975,172057731364609,172057731364681,265650,93825186940240,4375639744,7,2732,1151,16635
172057740321120,172057740332366,172057740341404,172057740342873,172057740345889,172057740345952,265650,93825186940240,4375639744,7,2732,1151,16636
172057749483823,172057749492787,172057749501397,172057749502370,172057749508730,172057749508796,265650,93825186940240,4375639744,7,2732,1151,16637
172057759311303,172057759323236,172057759334326,172057759337201,172057759347159,172057759347245,265650,93825186940240,4375639744,7,2732,1151,16638
172057769474110,172057769487732,172057769499453,172057769502079,172057769509264,172057769509358,265650,93825186940240,4375639744,7,2732,1151,16639
172057778668142,172057778679603,172057778690846,172057778693250,172057778703554,172057778703649,265650,93825186940240,4375639744,7,2732,1151,16640
172057787353114,172057787363829,172057787374476,172057787376932,172057787384499,172057787384579,265650,93825186940240,4375639744,7,2732,1151,16641
172057795884284,172057795894976,172057795905753,172057795907977,172057795912010,172057795912073,265650,93825186940240,4375639744,7,2732,1151,16642
172057805162429,172057805173091,172057805184124,172057805186185,172057805192780,172057805192851,265650,93825186940240,4375639744,7,2732,1151,16643
172057814412841,172057814423228,172057814434055,172057814436042,172057814442656,172057814442717,265650,93825186940240,4375639744,7,2732,1151,16644
172057825351075,172057825362968,172057825373755,172057825375916,172057825380838,172057825380931,265650,93825186940240,4375639744,7,2732,1151,16645
172057833722972,172057833732643,172057833741599,172057833742981,172057833747621,172057833747689,265650,93825186940240,4375639744,7,2732,1151,16646
172057843724060,172057843733349,172057843741704,172057843742517,172057843746945,172057843747001,265650,93825186940240,4375639744,7,2732,1151,16647
172057852142884,172057852152203,172057852160443,172057852161719,172057852167921,172057852167987,265650,93825186940240,4375639744,7,2732,1151,16648
172057860420588,172057860429414,172057860437553,172057860438367,172057860443641,172057860443701,265650,93825186940240,4375639744,7,2732,1151,16649
172057869447645,172057869457241,172057869466213,172057869467180,172057869471392,172057869471465,265650,93825186940240,4375639744,7,2732,1151,16650
172057878477036,172057878485766,172057878493846,172057878494562,172057878498573,172057878498636,265650,93825186940240,4375639744,7,2732,1151,16651
172057888708104,172057888717012,172057888725272,172057888726149,172057888729996,172057888730058,265650,93825186940240,4375639744,7,2732,1151,16652
172057898108722,172057898118654,172057898128006,172057898128842,172057898133487,172057898133560,265650,93825186940240,4375639744,7,2732,1151,16653
172057906435138,172057906443771,172057906452790,172057906453702,172057906457395,172057906457446,265650,93825186940240,4375639744,7,2732,1151,16654
172057916124034,172057916134294,172057916143986,172057916145134,172057916149450,172057916149511,265650,93825186940240,4375639744,7,2732,1151,16655
172057925116427,172057925128494,172057925137977,172057925138885,172057925142882,172057925142955,265650,93825186940240,4375639744,7,2732,1151,16656
172057933552539,172057933561088,172057933568772,172057933569469,172057933572949,172057933573008,265650,93825186940240,4375639744,7,2732,1151,16657
172057943226803,172057943235711,172057943243982,172057943244679,172057943248319,172057943248379,265650,93825186940240,4375639744,7,2732,1151,16658
172057952519361,172057952529311,172057952538227,172057952539077,172057952542708,172057952542770,265650,93825186940240,4375639744,7,2732,1151,16659
172057962385943,172057962397824,172057962407424,172057962408169,172057962412221,172057962412275,265650,93825186940240,4375639744,7,2732,1151,16660
172057970988426,172057971004814,172057971016662,172057971017808,172057971021419,172057971021505,265650,93825186940240,4375639744,7,2732,1151,16661
172057980237459,172057980247709,172057980256665,172057980257342,172057980260883,172057980260989,265650,93825186940240,4375639744,7,2732,1151,16662
172057989049175,172057989061020,172057989071033,172057989071817,172057989076005,172057989076067,265650,93825186940240,4375639744,7,2732,1151,16663
172057998390655,172057998399578,172057998407678,172057998408389,172057998411680,172057998411737,265650,93825186940240,4375639744,7,2732,1151,16664
172058007449644,172058007458083,172058007465982,172058007466827,172058007470761,172058007470815,265650,93825186940240,4375639744,7,2732,1151,16665
172058016572962,172058016581903,172058016590045,172058016591276,172058016596460,172058016596516,265650,93825186940240,4375639744,7,2732,1151,16666
172058025151941,172058025161035,172058025169416,172058025170184,172058025174067,172058025174123,265650,93825186940240,4375639744,7,2732,1151,16667
172058034223407,172058034234945,172058034244248,172058034245064,172058034249502,172058034249564,265650,93825186940240,4375639744,7,2732,1151,16668
172058042560648,172058042570486,172058042578544,172058042579370,172058042583730,172058042583785,265650,93825186940240,4375639744,7,2732,1151,16669
172058052302965,172058052319147,172058052330052,172058052332489,172058052336282,172058052336336,265650,93825186940240,4375639744,7,2732,1151,16670
172058061542995,172058061552963,172058061562070,172058061562894,172058061567633,172058061567694,265650,93825186940240,4375639744,7,2732,1151,16671
172058070159437,172058070170792,172058070180941,172058070181740,172058070185808,172058070185864,265650,93825186940240,4375639744,7,2732,1151,16672
172058079660898,172058079669404,172058079677334,172058079678055,172058079681621,172058079681673,265650,93825186940240,4375639744,7,2732,1151,16673
172058088954891,172058088966187,172058088976540,172058088977330,172058088981706,172058088981772,265650,93825186940240,4375639744,7,2732,1151,16674
172058097853998,172058097865279,172058097875588,172058097876377,172058097880422,172058097880486,265650,93825186940240,4375639744,7,2732,1151,16675
172058107274201,172058107282734,172058107290569,172058107291137,172058107295227,172058107295286,265650,93825186940240,4375639744,7,2732,1151,16676
172058116458301,172058116466912,172058116474926,172058116475809,172058116480270,172058116480332,265650,93825186940240,4375639744,7,2732,1151,16677
172058125335242,172058125343533,172058125351319,172058125352146,172058125356143,172058125356197,265650,93825186940240,4375639744,7,2732,1151,16678
172058134404558,172058134412972,172058134420341,172058134421117,172058134425134,172058134425184,265650,93825186940240,4375639744,7,2732,1151,16679
172058144004722,172058144013983,172058144022425,172058144023102,172058144027709,172058144027768,265650,93825186940240,4375639744,7,2732,1151,16680
172058152615999,172058152633024,172058152644556,172058152647609,172058152651542,172058152651644,265650,93825186940240,4375639744,7,2732,1151,16681
172058163095056,172058163114073,172058163126439,172058163128581,172058163133086,172058163133158,265650,93825186940240,4375639744,7,2732,1151,16682
172058171719238,172058171729937,172058171737912,172058171738859,172058171742455,172058171742512,265650,93825186940240,4375639744,7,2732,1151,16683
172058180385142,172058180395094,172058180404766,172058180406255,172058180410386,172058180410454,265650,93825186940240,4375639744,7,2732,1151,16684
172058189317349,172058189326340,172058189335144,172058189336048,172058189339675,172058189339730,265650,93825186940240,4375639744,7,2732,1151,16685
172058198601503,172058198609988,172058198617677,172058198618454,172058198621929,172058198621981,265650,93825186940240,4375639744,7,2732,1151,16686
172058207049203,172058207059072,172058207067997,172058207069069,172058207072848,172058207072904,265650,93825186940240,4375639744,7,2732,1151,16687
172058216268059,172058216277120,172058216285101,172058216285788,172058216287641,172058216287696,265650,93825186940240,4375639744,7,2732,1151,16688
172058224710709,172058224719542,172058224727526,172058224728595,172058224732047,172058224732103,265650,93825186940240,4375639744,7,2732,1151,16689
172058233454665,172058233463027,172058233470565,172058233471285,172058233475159,172058233475209,265650,93825186940240,4375639744,7,2732,1151,16690
172058243170206,172058243182129,172058243193268,172058243194268,172058243198971,172058243199033,265650,93825186940240,4375639744,7,2732,1151,16691
172058252313631,172058252325460,172058252336393,172058252337396,172058252341905,172058252341985,265650,93825186940240,4375639744,7,2732,1151,16692
172058261056868,172058261066336,172058261075001,172058261075942,172058261079541,172058261079605,265650,93825186940240,4375639744,7,2732,1151,16693
172058270147245,172058270159297,172058270170357,172058270171317,172058270176031,172058270176087,265650,93825186940240,4375639744,7,2732,1151,16694
172058279125322,172058279135367,172058279144385,172058279145200,172058279149123,172058279149176,265650,93825186940240,4375639744,7,2732,1151,16695
172058287940856,172058287952603,172058287963606,172058287964562,172058287969231,172058287969308,265650,93825186940240,4375639744,7,2732,1151,16696
172058297144920,172058297154348,172058297163296,172058297164168,172058297167947,172058297168012,265650,93825186940240,4375639744,7,2732,1151,16697
172058306128244,172058306136727,172058306144717,172058306145416,172058306149388,172058306149442,265650,93825186940240,4375639744,7,2732,1151,16698
172058314842362,172058314850765,172058314858554,172058314859241,172058314863693,172058314863747,265650,93825186940240,4375639744,7,2732,1151,16699
172058324222586,172058324231378,172058324239388,172058324240107,172058324244221,172058324244278,265650,93825186940240,4375639744,7,2732,1151,16700
172058333458102,172058333466217,172058333473553,172058333474237,172058333478989,172058333479043,265650,93825186940240,4375639744,7,2732,1151,16701
172058341762605,172058341770889,172058341778687,172058341779505,172058341783438,172058341783498,265650,93825186940240,4375639744,7,2732,1151,16702
172058351416129,172058351428035,172058351439101,172058351439997,172058351444355,172058351444439,265650,93825186940240,4375639744,7,2732,1151,16703
172058360236957,172058360246546,172058360255328,172058360256109,172058360260229,172058360260294,265650,93825186940240,4375639744,7,2732,1151,16704
172058369039227,172058369048510,172058369057326,172058369058073,172058369061357,172058369061419,265650,93825186940240,4375639744,7,2732,1151,16705
172058378265052,172058378273767,172058378281810,172058378282472,172058378286269,172058378286332,265650,93825186940240,4375639744,7,2732,1151,16706
172058387960676,172058387972403,172058387983272,172058387984028,172058387987909,172058387987982,265650,93825186940240,4375639744,7,2732,1151,16707
172058396484516,172058396494189,172058396502893,172058396503524,172058396506602,172058396506659,265650,93825186940240,4375639744,7,2732,1151,16708
172058405303318,172058405314870,172058405325700,172058405326429,172058405330857,172058405330937,265650,93825186940240,4375639744,7,2732,1151,16709
172058414362884,172058414374569,172058414385233,172058414386126,172058414389967,172058414390040,265650,93825186940240,4375639744,7,2732,1151,16710
172058423067532,172058423138348,172058423150156,172058423152448,172058423157437,172058423157525,265650,93825186940240,4375639744,7,2732,1151,16711
172058432218161,172058432227794,172058432236647,172058432237903,172058432241270,172058432241340,265650,93825186940240,4375639744,7,2732,1151,16712
172058442438152,172058442446859,172058442455174,172058442456416,172058442462615,172058442462679,265650,93825186940240,4375639744,7,2732,1151,16713
172058450820524,172058450828942,172058450836565,172058450837551,172058450845058,172058450845123,265650,93825186940240,4375639744,7,2732,1151,16714
172058459588831,172058459604579,172058459615940,172058459618501,172058459621358,172058459621449,265650,93825186940240,4375639744,7,2732,1151,16715
172058468667041,172058468755022,172058468766926,172058468768119,172058468775411,172058468775481,265650,93825186940240,4375639744,7,2732,1151,16716
172058476865324,172058476877462,172058476888752,172058476889958,172058476895529,172058476895603,265650,93825186940240,4375639744,7,2732,1151,16717
172058485395410,172058485407640,172058485417465,172058485418640,172058485423688,172058485423753,265650,93825186940240,4375639744,7,2732,1151,16718
172058494190025,172058494201814,172058494212918,172058494213966,172058494218973,172058494219036,265650,93825186940240,4375639744,7,2732,1151,16719
172058502862552,172058502874107,172058502883812,172058502884551,172058502888944,172058502889004,265650,93825186940240,4375639744,7,2732,1151,16720
172058511677862,172058511686239,172058511693982,172058511694572,172058511699221,172058511699271,265650,93825186940240,4375639744,7,2732,1151,16721
172058520474511,172058520483488,172058520491663,172058520492605,172058520498060,172058520498114,265650,93825186940240,4375639744,7,2732,1151,16722
172058529285077,172058529297490,172058529309305,172058529311930,172058529316222,172058529316301,265650,93825186940240,4375639744,7,2732,1151,16723
172058538621907,172058538633527,172058538644311,172058538646316,172058538649389,172058538649458,265650,93825186940240,4375639744,7,2732,1151,16724
172058547319159,172058547330351,172058547341162,172058547343044,172058547349454,172058547349529,265650,93825186940240,4375639744,7,2732,1151,16725
172058555836727,172058555847848,172058555858863,172058555860508,172058555866000,172058555866078,265650,93825186940240,4375639744,7,2732,1151,16726
172058565159476,172058565170090,172058565180887,172058565182738,172058565190074,172058565190132,265650,93825186940240,4375639744,7,2732,1151,16727
172058574296363,172058574307215,172058574317740,172058574319331,172058574325063,172058574325124,265650,93825186940240,4375639744,7,2732,1151,16728
172058582979421,172058582990367,172058583004183,172058583005591,172058583011521,172058583011646,265650,93825186940240,4375639744,7,2732,1151,16729
172058594518418,172058594529282,172058594540480,172058594543243,172058594547978,172058594548034,265650,93825186940240,4375639744,7,2732,1151,16730
172058602820453,172058602833813,172058602847220,172058602851094,172058602860054,172058602860123,265650,93825186940240,4375639744,7,2732,1151,16731
172058611148097,172058611160167,172058611170724,172058611172753,172058611178773,172058611178832,265650,93825186940240,4375639744,7,2732,1151,16732
172058619526447,172058619537758,172058619549636,172058619552608,172058619558795,172058619558845,265650,93825186940240,4375639744,7,2732,1151,16733
172058627852328,172058627863069,172058627873661,172058627875246,172058627879627,172058627879681,265650,93825186940240,4375639744,7,2732,1151,16734
172058636146535,172058636158179,172058636168880,172058636170960,172058636178276,172058636178347,265650,93825186940240,4375639744,7,2732,1151,16735
172058646516325,172058646527328,172058646537908,172058646539863,172058646542648,172058646542705,265650,93825186940240,4375639744,7,2732,1151,16736
172058655270015,172058655284645,172058655294161,172058655295652,172058655301562,172058655301625,265650,93825186940240,4375639744,7,2732,1151,16737
172058663580863,172058663589298,172058663596814,172058663597549,172058663601648,172058663601713,265650,93825186940240,4375639744,7,2732,1151,16738
172058671909627,172058671918525,172058671927379,172058671928748,172058671933153,172058671933221,265650,93825186940240,4375639744,7,2732,1151,16739
172058680327008,172058680336938,172058680345314,172058680346259,172058680350340,172058680350406,265650,93825186940240,4375639744,7,2732,1151,16740
172058688822783,172058688831697,172058688839760,172058688840565,172058688843472,172058688843539,265650,93825186940240,4375639744,7,2732,1151,16741
172058698068484,172058698079780,172058698090645,172058698093413,172058698097243,172058698097306,265650,93825186940240,4375639744,7,2732,1151,16742
172058707075556,172058707086678,172058707097430,172058707099760,172058707106144,172058707106200,265650,93825186940240,4375639744,7,2732,1151,16743
172058715782499,172058715793369,172058715804601,172058715806297,172058715811823,172058715811886,265650,93825186940240,4375639744,7,2732,1151,16744
172058724981342,172058724991867,172058725007265,172058725009136,172058725014420,172058725014481,265650,93825186940240,4375639744,7,2732,1151,16745
172058734079296,172058734090629,172058734101061,172058734102777,172058734108725,172058734108796,265650,93825186940240,4375639744,7,2732,1151,16746
172058742933605,172058742944063,172058742954778,172058742957122,172058742963141,172058742963201,265650,93825186940240,4375639744,7,2732,1151,16747
172058751793148,172058751803941,172058751814785,172058751816657,172058751819314,172058751819371,265650,93825186940240,4375639744,7,2732,1151,16748
172058761454594,172058761465550,172058761476408,172058761478824,172058761486054,172058761486135,265650,93825186940240,4375639744,7,2732,1151,16749
172058769844894,172058769856670,172058769867824,172058769871073,172058769874672,172058769874734,265650,93825186940240,4375639744,7,2732,1151,16750
172058778875822,172058778887894,172058778899068,172058778901955,172058778909100,172058778909194,265650,93825186940240,4375639744,7,2732,1151,16751
172058788118851,172058788199046,172058788210893,172058788212863,172058788217361,172058788217456,265650,93825186940240,4375639744,7,2732,1151,16752
172058796547240,172058796556394,172058796564753,172058796565783,172058796570126,172058796570200,265650,93825186940240,4375639744,7,2732,1151,16753
172058807095406,172058807104537,172058807112795,172058807113920,172058807117987,172058807118046,265650,93825186940240,4375639744,7,2732,1151,16754
172058817332305,172058817350466,172058817362185,172058817365273,172058817374600,172058817374695,265650,93825186940240,4375639744,7,2732,1151,16755
172058826181719,172058826193344,172058826203969,172058826205860,172058826210456,172058826210533,265650,93825186940240,4375639744,7,2732,1151,16756
172058835640263,172058835651919,172058835663546,172058835666402,172058835672146,172058835672209,265650,93825186940240,4375639744,7,2732,1151,16757
172058845148930,172058845159786,172058845170716,172058845172739,172058845179203,172058845179262,265650,93825186940240,4375639744,7,2732,1151,16758
172058853499439,172058853510491,172058853521051,172058853523458,172058853526140,172058853526207,265650,93825186940240,4375639744,7,2732,1151,16759
172058861770028,172058861782626,172058861793586,172058861795875,172058861803318,172058861803482,265650,93825186940240,4375639744,7,2732,1151,16760
172058870051552,172058870062517,172058870073390,172058870075836,172058870082597,172058870082655,265650,93825186940240,4375639744,7,2732,1151,16761
172058880616816,172058880628295,172058880640560,172058880643526,172058880649081,172058880649138,265650,93825186940240,4375639744,7,2732,1151,16762
172058889411626,172058889422082,172058889433737,172058889436608,172058889441504,172058889441569,265650,93825186940240,4375639744,7,2732,1151,16763
