start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
171668125789612,171668125808101,171668125819898,171668125823113,171668125838579,171668125838627,265650,93825186940240,4375639744,7,2732,1151,4724
171668134089281,171668134108922,171668134121811,171668134125317,171668134136887,171668134136944,265650,93825186940240,4375639744,7,2732,1151,4725
171668142444471,171668142464145,171668142476046,171668142478865,171668142494441,171668142494517,265650,93825186940240,4375639744,7,2732,1151,4726
171668150795158,171668150812424,171668150823545,171668150825603,171668150832427,171668150832477,265650,93825186940240,4375639744,7,2732,1151,4727
171668159067278,171668159083708,171668159094655,171668159096734,171668159103511,171668159103580,265650,93825186940240,4375639744,7,2732,1151,4728
171668167425752,171668167470579,171668167500780,171668167502575,171668167510880,171668167510941,265650,93825186940240,4375639744,7,2732,1151,4729
171668175809215,171668175836555,171668175857434,171668175860762,171668175869989,171668175870058,265650,93825186940240,4375639744,7,2732,1151,4730
171668184063446,171668184077477,171668184090121,171668184092579,171668184103378,171668184103432,265650,93825186940240,4375639744,7,2732,1151,4731
171668192431807,171668192471868,171668192504486,171668192506755,171668192513479,171668192513521,265650,93825186940240,4375639744,7,2732,1151,4732
171668200802835,171668200853325,171668200871116,171668200873010,171668200880901,171668200880969,265650,93825186940240,4375639744,7,2732,1151,4733
171668209065217,171668209082095,171668209093404,171668209095204,171668209115360,171668209115426,265650,93825186940240,4375639744,7,2732,1151,4734
171668217516684,171668217577974,171668217592755,171668217594241,171668217599250,171668217599334,265650,93825186940240,4375639744,7,2732,1151,4735
171668225855773,171668225867843,171668225878612,171668225879660,171668225885768,171668225885844,265650,93825186940240,4375639744,7,2732,1151,4736
171668234135899,171668234211285,171668234231320,171668234232149,171668234236307,171668234236384,265650,93825186940240,4375639744,7,2732,1151,4737
171668242442387,171668242452669,171668242461588,171668242462812,171668242469337,171668242469399,265650,93825186940240,4375639744,7,2732,1151,4738
171668250831960,171668250841654,171668250849559,171668250850175,171668250855507,171668250855561,265650,93825186940240,4375639744,7,2732,1151,4739
171668259062325,171668259074057,171668259084103,171668259084950,171668259089720,171668259089788,265650,93825186940240,4375639744,7,2732,1151,4740
171668267408159,171668267419861,171668267430122,171668267430779,171668267435201,171668267435273,265650,93825186940240,4375639744,7,2732,1151,4741
171668275736870,171668275747068,171668275755802,171668275756384,171668275761380,171668275761443,265650,93825186940240,4375639744,7,2732,1151,4742
171668284094820,171668284113254,171668284124912,171668284127448,171668284135963,171668284136052,265650,93825186940240,4375639744,7,2732,1151,4743
171668292417961,171668292436456,171668292448333,171668292450525,171668292458731,171668292458794,265650,93825186940240,4375639744,7,2732,1151,4744
171668300807501,171668300825435,171668300836510,171668300838762,171668300849904,171668300850016,265650,93825186940240,4375639744,7,2732,1151,4745
171668309078685,171668309095831,171668309106935,171668309108921,171668309117434,171668309117513,265650,93825186940240,4375639744,7,2732,1151,4746
171668317408104,171668317425740,171668317436775,171668317438875,171668317448856,171668317448941,265650,93825186940240,4375639744,7,2732,1151,4747
171668325752411,171668325767831,171668325778782,171668325780627,171668325788253,171668325788319,265650,93825186940240,4375639744,7,2732,1151,4748
171668334083048,171668334099740,171668334110305,171668334113632,171668334122246,171668334122305,265650,93825186940240,4375639744,7,2732,1151,4749
171668342494875,171668342518466,171668342529499,171668342531439,171668342539812,171668342539870,265650,93825186940240,4375639744,7,2732,1151,4750
171668350819040,171668350840108,171668350851534,171668350854178,171668350866178,171668350866236,265650,93825186940240,4375639744,7,2732,1151,4751
171668359083657,171668359102292,171668359113941,171668359116065,171668359125848,171668359125945,265650,93825186940240,4375639744,7,2732,1151,4752
171668367442277,171668367463962,171668367474453,171668367476419,171668367484492,171668367484564,265650,93825186940240,4375639744,7,2732,1151,4753
171668375805461,171668375821924,171668375832408,171668375834160,171668375841377,171668375841443,265650,93825186940240,4375639744,7,2732,1151,4754
171668384111325,171668384127868,171668384139020,171668384140753,171668384146742,171668384146833,265650,93825186940240,4375639744,7,2732,1151,4755
171668392436236,171668392452105,171668392462149,171668392464155,171668392471806,171668392471877,265650,93825186940240,4375639744,7,2732,1151,4756
171668400764082,171668400800857,171668400810580,171668400812071,171668400815793,171668400815872,265650,93825186940240,4375639744,7,2732,1151,4757
171668409112194,171668409135855,171668409152146,171668409155076,171668409158953,171668409159027,265650,93825186940240,4375639744,7,2732,1151,4758
171668417448504,171668417468719,171668417480746,171668417483269,171668417491100,171668417491145,265650,93825186940240,4375639744,7,2732,1151,4759
171668425793010,171668425813871,171668425825669,171668425828570,171668425840209,171668425840283,265650,93825186940240,4375639744,7,2732,1151,4760
171668434080002,171668434104180,171668434128641,171668434130517,171668434141801,171668434141869,265650,93825186940240,4375639744,7,2732,1151,4761
171668442445250,171668442460567,171668442472212,171668442473860,171668442476560,171668442476634,265650,93825186940240,4375639744,7,2732,1151,4762
171668450817699,171668450834220,171668450845731,171668450847938,171668450859160,171668450859260,265650,93825186940240,4375639744,7,2732,1151,4763
171668459055832,171668459068143,171668459078483,171668459080607,171668459087699,171668459087771,265650,93825186940240,4375639744,7,2732,1151,4764
171668467418097,171668467433528,171668467444176,171668467446165,171668467454940,171668467454996,265650,93825186940240,4375639744,7,2732,1151,4765
171668475801770,171668475817647,171668475828296,171668475830778,171668475841560,171668475841788,265650,93825186940240,4375639744,7,2732,1151,4766
171668484097238,171668484112566,171668484124045,171668484125749,171668484134280,171668484134344,265650,93825186940240,4375639744,7,2732,1151,4767
171668492467126,171668492482291,171668492493122,171668492495150,171668492504301,171668492504358,265650,93825186940240,4375639744,7,2732,1151,4768
171668500780911,171668500799035,171668500809817,171668500811523,171668500818705,171668500818774,265650,93825186940240,4375639744,7,2732,1151,4769
171668509071436,171668509091078,171668509102172,171668509104206,171668509112611,171668509112686,265650,93825186940240,4375639744,7,2732,1151,4770
171668517409120,171668517427391,171668517438012,171668517439846,171668517448454,171668517448559,265650,93825186940240,4375639744,7,2732,1151,4771
171668525803955,171668525816955,171668525827598,171668525829312,171668525834810,171668525834878,265650,93825186940240,4375639744,7,2732,1151,4772
