start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
170436111553897,170436111571429,170436111581485,170436111583177,170436111587844,170436111587926,265650,93825316351184,4375639744,7,2732,1151,1608
170436123573577,170436123582695,170436123591277,170436123592724,170436123597512,170436123597586,265650,93825316351184,4375639744,7,2732,1151,1609
170436139131746,170436139150230,170436139162892,170436139166338,170436139170450,170436139170560,265650,93825316351184,4375639744,7,2732,1151,1610
170436153098540,170436153109845,170436153120575,170436153122527,170436153126038,170436153126133,265650,93825316351184,4375639744,7,2732,1151,1611
170436161157941,170436161169197,170436161179664,170436161181856,170436161185264,170436161185325,265650,93825316351184,4375639744,7,2732,1151,1612
170436174126566,170436174138375,170436174149081,170436174151159,170436174155184,170436174155298,265650,93825316351184,4375639744,7,2732,1151,1613
170436188489258,170436188500413,170436188511074,170436188513117,170436188516100,170436188516158,265650,93825316351184,4375639744,7,2732,1151,1614
170436202011665,170436202028184,170436202038456,170436202040046,170436202045003,170436202045070,265650,93825316351184,4375639744,7,2732,1151,1615
170436214717405,170436214727010,170436214735570,170436214736875,170436214740481,170436214740543,265650,93825316351184,4375639744,7,2732,1151,1616
170436228988956,170436229003951,170436229015949,170436229018480,170436229025305,170436229025412,265650,93825316351184,4375639744,7,2732,1151,1617
170436241927439,170436241938830,170436241949803,170436241951501,170436241954773,170436241954841,265650,93825316351184,4375639744,7,2732,1151,1618
170436256564139,170436256575115,170436256585929,170436256587850,170436256593879,170436256593941,265650,93825316351184,4375639744,7,2732,1151,1619
170436270965584,170436270976977,170436270988037,170436270990487,170436270998183,170436270998242,265650,93825316351184,4375639744,7,2732,1151,1620
170436286316540,170436286327765,170436286338179,170436286340281,170436286344725,170436286344787,265650,93825316351184,4375639744,7,2732,1151,1621
170436299800031,170436299811156,170436299821947,170436299824117,170436299828384,170436299828444,265650,93825316351184,4375639744,7,2732,1151,1622
170436314569782,170436314581177,170436314592017,170436314594151,170436314597934,170436314597991,265650,93825316351184,4375639744,7,2732,1151,1623
170436327042946,170436327055507,170436327066955,170436327069603,170436327073054,170436327073151,265650,93825316351184,4375639744,7,2732,1151,1624
170436342404623,170436342415570,170436342426070,170436342427984,170436342430956,170436342431010,265650,93825316351184,4375639744,7,2732,1151,1625
170436356365488,170436356376987,170436356387638,170436356389485,170436356393477,170436356393530,265650,93825316351184,4375639744,7,2732,1151,1626
170436369917210,170436369927905,170436369938609,170436369940395,170436369944650,170436369944716,265650,93825316351184,4375639744,7,2732,1151,1627
170436384189669,170436384200744,170436384211137,170436384213232,170436384218291,170436384218343,265650,93825316351184,4375639744,7,2732,1151,1628
170436398855181,170436398866116,170436398876746,170436398878435,170436398882418,170436398882482,265650,93825316351184,4375639744,7,2732,1151,1629
170436412218776,170436412230170,170436412240929,170436412243211,170436412249503,170436412249576,265650,93825316351184,4375639744,7,2732,1151,1630
170436426181154,170436426192040,170436426202618,170436426204396,170436426208209,170436426208264,265650,93825316351184,4375639744,7,2732,1151,1631
170436440832764,170436440844810,170436440856515,170436440859482,170436440864885,170436440864964,265650,93825316351184,4375639744,7,2732,1151,1632
170436454293487,170436454304430,170436454315068,170436454317005,170436454319807,170436454319869,265650,93825316351184,4375639744,7,2732,1151,1633
170436468153503,170436468174412,170436468185802,170436468187347,170436468192038,170436468192090,265650,93825316351184,4375639744,7,2732,1151,1634
170436482810179,170436482818811,170436482826732,170436482827908,170436482831527,170436482831586,265650,93825316351184,4375639744,7,2732,1151,1635
170436496413289,170436496432444,170436496442294,170436496443564,170436496446676,170436496446755,265650,93825316351184,4375639744,7,2732,1151,1636
170436510412712,170436510421908,170436510430136,170436510430866,170436510434658,170436510434709,265650,93825316351184,4375639744,7,2732,1151,1637
170436524477289,170436524494233,170436524505628,170436524508153,170436524510675,170436524510759,265650,93825316351184,4375639744,7,2732,1151,1638
170436538212462,170436538223498,170436538233965,170436538235913,170436538240617,170436538240691,265650,93825316351184,4375639744,7,2732,1151,1639
170436552181668,170436552194574,170436552205252,170436552207140,170436552211713,170436552211793,265650,93825316351184,4375639744,7,2732,1151,1640
170436566647031,170436566658935,170436566670156,170436566673158,170436566675976,170436566676034,265650,93825316351184,4375639744,7,2732,1151,1641
170436579524889,170436579535837,170436579546513,170436579548345,170436579552779,170436579552843,265650,93825316351184,4375639744,7,2732,1151,1642
170436593423270,170436593434380,170436593445074,170436593447242,170436593454439,170436593454523,265650,93825316351184,4375639744,7,2732,1151,1643
170436607968863,170436607978631,170436607987979,170436607989754,170436607996236,170436607996308,265650,93825316351184,4375639744,7,2732,1151,1644
170436621387355,170436621397072,170436621405853,170436621407183,170436621413171,170436621413233,265650,93825316351184,4375639744,7,2732,1151,1645
170436634120594,170436634130940,170436634139688,170436634141173,170436634144598,170436634144667,265650,93825316351184,4375639744,7,2732,1151,1646
170436648462797,170436648472045,170436648480486,170436648481822,170436648487143,170436648487205,265650,93825316351184,4375639744,7,2732,1151,1647
170436661483486,170436661493956,170436661503700,170436661504924,170436661510226,170436661510298,265650,93825316351184,4375639744,7,2732,1151,1648
