start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
170574383684166,170574383701533,170574383712921,170574383715061,170574383722964,170574383723021,265650,93825434198544,4375639744,7,2732,1151,1349
170574392038230,170574392054723,170574392065824,170574392067705,170574392079450,170574392079512,265650,93825434198544,4375639744,7,2732,1151,1350
170574400314005,170574400337469,170574400350018,170574400352557,170574400365932,170574400366004,265650,93825434198544,4375639744,7,2732,1151,1351
170574408812641,170574408839888,170574408852231,170574408853855,170574408868790,170574408868881,265650,93825434198544,4375639744,7,2732,1151,1352
170574416981476,170574416994163,170574417009207,170574417010358,170574417015699,170574417015787,265650,93825434198544,4375639744,7,2732,1151,1353
170574425405616,170574425456152,170574425466954,170574425468087,170574425477379,170574425477473,265650,93825434198544,4375639744,7,2732,1151,1354
170574433766182,170574433780158,170574433791178,170574433792545,170574433799821,170574433799912,265650,93825434198544,4375639744,7,2732,1151,1355
170574442125701,170574442162756,170574442173785,170574442174769,170574442181045,170574442181145,265650,93825434198544,4375639744,7,2732,1151,1356
170574450301918,170574450312924,170574450321866,170574450322679,170574450327839,170574450327913,265650,93825434198544,4375639744,7,2732,1151,1357
170574458687854,170574458700421,170574458711178,170574458712148,170574458717472,170574458717552,265650,93825434198544,4375639744,7,2732,1151,1358
170574467045888,170574467061129,170574467072808,170574467074662,170574467083140,170574467083229,265650,93825434198544,4375639744,7,2732,1151,1359
170574475458684,170574475471828,170574475483093,170574475484177,170574475490180,170574475490267,265650,93825434198544,4375639744,7,2732,1151,1360
170574483783577,170574483799123,170574483810151,170574483811096,170574483815984,170574483816074,265650,93825434198544,4375639744,7,2732,1151,1361
170574492064155,170574492076700,170574492087632,170574492088632,170574492093374,170574492093463,265650,93825434198544,4375639744,7,2732,1151,1362
170574500396665,170574500410116,170574500421204,170574500422317,170574500428393,170574500428468,265650,93825434198544,4375639744,7,2732,1151,1363
170574508768798,170574508782559,170574508793753,170574508794940,170574508801613,170574508801715,265650,93825434198544,4375639744,7,2732,1151,1364
170574517068427,170574517084336,170574517095395,170574517096637,170574517103909,170574517103999,265650,93825434198544,4375639744,7,2732,1151,1365
170574525446996,170574525466726,170574525477622,170574525478685,170574525485179,170574525485268,265650,93825434198544,4375639744,7,2732,1151,1366
170574533740674,170574533795050,170574533805694,170574533806526,170574533812270,170574533812355,265650,93825434198544,4375639744,7,2732,1151,1367
170574542099361,170574542112976,170574542123999,170574542125124,170574542132637,170574542132727,265650,93825434198544,4375639744,7,2732,1151,1368
170574550418930,170574550432051,170574550442972,170574550444203,170574550450979,170574550451065,265650,93825434198544,4375639744,7,2732,1151,1369
170574558778997,170574558792299,170574558803310,170574558804599,170574558808604,170574558808699,265650,93825434198544,4375639744,7,2732,1151,1370
170574567044925,170574567059034,170574567070120,170574567071567,170574567078733,170574567078823,265650,93825434198544,4375639744,7,2732,1151,1371
170574575309836,170574575322518,170574575333496,170574575334569,170574575340567,170574575340649,265650,93825434198544,4375639744,7,2732,1151,1372
170574583746501,170574583758570,170574583769273,170574583770290,170574583775530,170574583775619,265650,93825434198544,4375639744,7,2732,1151,1373
170574592129959,170574592158214,170574592168788,170574592169688,170574592174834,170574592174913,265650,93825434198544,4375639744,7,2732,1151,1374
170574600284597,170574600296742,170574600305472,170574600306767,170574600312025,170574600312098,265650,93825434198544,4375639744,7,2732,1151,1375
170574608782156,170574608796605,170574608807905,170574608809467,170574608814925,170574608815017,265650,93825434198544,4375639744,7,2732,1151,1376
170574617130013,170574617152666,170574617164272,170574617167206,170574617181621,170574617181732,265650,93825434198544,4375639744,7,2732,1151,1377
170574625334818,170574625350338,170574625362316,170574625365543,170574625381025,170574625381112,265650,93825434198544,4375639744,7,2732,1151,1378
170574633695074,170574633711603,170574633722083,170574633723863,170574633733045,170574633733115,265650,93825434198544,4375639744,7,2732,1151,1379
170574642020485,170574642039928,170574642050662,170574642053116,170574642065315,170574642065386,265650,93825434198544,4375639744,7,2732,1151,1380
170574650324127,170574650339725,170574650350222,170574650352093,170574650359816,170574650359882,265650,93825434198544,4375639744,7,2732,1151,1381
170574658690750,170574658706699,170574658717259,170574658719092,170574658725177,170574658725254,265650,93825434198544,4375639744,7,2732,1151,1382
170574667166846,170574667181502,170574667193103,170574667194814,170574667199700,170574667199791,265650,93825434198544,4375639744,7,2732,1151,1383
170574675331978,170574675342186,170574675350627,170574675351629,170574675355329,170574675355396,265650,93825434198544,4375639744,7,2732,1151,1384
170574683832054,170574683868492,170574683890675,170574683893691,170574683907459,170574683907555,265650,93825434198544,4375639744,7,2732,1151,1385
170574692091705,170574692108559,170574692119571,170574692122167,170574692128487,170574692128596,265650,93825434198544,4375639744,7,2732,1151,1386
170574700324119,170574700346926,170574700358286,170574700360977,170574700371161,170574700371233,265650,93825434198544,4375639744,7,2732,1151,1387
170574708713883,170574708731073,170574708741421,170574708743505,170574708758996,170574708759075,265650,93825434198544,4375639744,7,2732,1151,1388
170574716991195,170574717010812,170574717021472,170574717023341,170574717030881,170574717030962,265650,93825434198544,4375639744,7,2732,1151,1389
170574725315264,170574725333941,170574725345478,170574725348050,170574725358362,170574725358411,265650,93825434198544,4375639744,7,2732,1151,1390
170574733702733,170574733719497,170574733730098,170574733732204,170574733739168,170574733739228,265650,93825434198544,4375639744,7,2732,1151,1391
170574742080787,170574742096883,170574742107505,170574742109463,170574742126917,170574742126973,265650,93825434198544,4375639744,7,2732,1151,1392
170574750332238,170574750348233,170574750358969,170574750361123,170574750368060,170574750368122,265650,93825434198544,4375639744,7,2732,1151,1393
170574758704085,170574758719556,170574758730297,170574758732293,170574758739313,170574758739370,265650,93825434198544,4375639744,7,2732,1151,1394
170574767043481,170574767059380,170574767070096,170574767071720,170574767077637,170574767077698,265650,93825434198544,4375639744,7,2732,1151,1395
170574775403187,170574775425550,170574775438501,170574775441626,170574775456668,170574775456725,265650,93825434198544,4375639744,7,2732,1151,1396
170574783671660,170574783686165,170574783696615,170574783698533,170574783707019,170574783707073,265650,93825434198544,4375639744,7,2732,1151,1397
170574792220820,170574792238770,170574792250373,170574792251876,170574792257485,170574792257587,265650,93825434198544,4375639744,7,2732,1151,1398
