start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
170277929240927,170277929252936,170277929263296,170277929264107,170277929268977,170277929269051,265650,93825840194560,4375639744,7,2732,1151,1392
170277937732604,170277937786283,170277937796722,170277937797697,170277937802310,170277937802382,265650,93825840194560,4375639744,7,2732,1151,1393
170277945986083,170277945998131,170277946011859,170277946012758,170277946017932,170277946018001,265650,93825840194560,4375639744,7,2732,1151,1394
170277954321742,170277954368132,170277954379614,170277954380988,170277954389790,170277954389872,265650,93825840194560,4375639744,7,2732,1151,1395
170277962743835,170277962767899,170277962778408,170277962779500,170277962787287,170277962787374,265650,93825840194560,4375639744,7,2732,1151,1396
170277971042645,170277971055994,170277971067034,170277971068578,170277971076595,170277971076683,265650,93825840194560,4375639744,7,2732,1151,1397
170277979261498,170277979274218,170277979284980,170277979285897,170277979291763,170277979291850,265650,93825840194560,4375639744,7,2732,1151,1398
170277987693784,170277987705889,170277987716298,170277987717214,170277987722749,170277987722823,265650,93825840194560,4375639744,7,2732,1151,1399
170277996032361,170277996104912,170277996115406,170277996116326,170277996122969,170277996123042,265650,93825840194560,4375639744,7,2732,1151,1400
170278004311192,170278004324705,170278004335200,170278004336348,170278004342932,170278004343006,265650,93825840194560,4375639744,7,2732,1151,1401
170278012649997,170278012660407,170278012668538,170278012669265,170278012673858,170278012673910,265650,93825840194560,4375639744,7,2732,1151,1402
170278021069383,170278021112164,170278021122528,170278021123571,170278021129724,170278021129802,265650,93825840194560,4375639744,7,2732,1151,1403
170278029265446,170278029279336,170278029290213,170278029291744,170278029299160,170278029299229,265650,93825840194560,4375639744,7,2732,1151,1404
170278037740605,170278037764754,170278037775987,170278037779074,170278037791968,170278037792086,265650,93825840194560,4375639744,7,2732,1151,1405
170278045963157,170278045984671,170278045996618,170278045999112,170278046017179,170278046017322,265650,93825840194560,4375639744,7,2732,1151,1406
170278054271434,170278054290089,170278054302238,170278054304626,170278054314649,170278054314738,265650,93825840194560,4375639744,7,2732,1151,1407
170278062665251,170278062682203,170278062693646,170278062695802,170278062702412,170278062702482,265650,93825840194560,4375639744,7,2732,1151,1408
170278070985628,170278070998486,170278071012663,170278071014393,170278071024857,170278071024924,265650,93825840194560,4375639744,7,2732,1151,1409
170278079297731,170278079311420,170278079320612,170278079322632,170278079333410,170278079333491,265650,93825840194560,4375639744,7,2732,1151,1410
170278087665403,170278087677526,170278087686944,170278087688437,170278087698672,170278087698753,265650,93825840194560,4375639744,7,2732,1151,1411
170278095931434,170278095942481,170278095951222,170278095952553,170278095959212,170278095959279,265650,93825840194560,4375639744,7,2732,1151,1412
170278104277226,170278104290045,170278104298795,170278104300478,170278104308270,170278104308340,265650,93825840194560,4375639744,7,2732,1151,1413
170278112684389,170278112707266,170278112719074,170278112721686,170278112731833,170278112731920,265650,93825840194560,4375639744,7,2732,1151,1414
170278121211898,170278121236276,170278121247016,170278121249408,170278121255320,170278121255387,265650,93825840194560,4375639744,7,2732,1151,1415
170278129440853,170278129474627,170278129486720,170278129488543,170278129500189,170278129500278,265650,93825840194560,4375639744,7,2732,1151,1416
170278137786495,170278137801297,170278137812749,170278137814740,170278137821159,170278137821248,265650,93825840194560,4375639744,7,2732,1151,1417
170278146021481,170278146034590,170278146045574,170278146046974,170278146056605,170278146056692,265650,93825840194560,4375639744,7,2732,1151,1418
170278154270334,170278154282732,170278154291834,170278154293557,170278154302245,170278154302315,265650,93825840194560,4375639744,7,2732,1151,1419
170278162674412,170278162691031,170278162700323,170278162702090,170278162714007,170278162714074,265650,93825840194560,4375639744,7,2732,1151,1420
170278170966821,170278170980762,170278170990055,170278170992039,170278171003641,170278171003710,265650,93825840194560,4375639744,7,2732,1151,1421
170278179325889,170278179348251,170278179360187,170278179363155,170278179379629,170278179379732,265650,93825840194560,4375639744,7,2732,1151,1422
