seconds_from_gesture_start,frametime_ms
1.008806,10.5722
1.019309,10.503
1.028407,9.09728
1.05456,26.1526
1.058519,3.95875
1.063484,4.96387
1.071785,8.30146
1.082181,10.3939
1.089967,7.78675
1.100479,10.5114
1.111182,10.7028
1.121755,10.5727
1.132572,10.816
1.145206,12.6346
1.154626,9.42032
1.166635,12.0089
1.176679,10.0438
1.185958,9.27875
1.196511,10.5514
1.207232,10.7218
1.217374,10.1413
1.227956,10.5815
1.238514,10.5587
1.248961,10.4465
1.259626,10.6641
1.271275,11.6493
1.283704,12.4295
1.2939,10.1952
1.303029,9.12815
1.31503,12.0018
1.32435,9.31936
1.335186,10.8355
1.34573,10.5444
1.35633,10.5995
1.367191,10.858
1.377587,10.3983
1.387773,10.1859
1.398222,10.4493
1.408799,10.5769
1.419019,10.2193
1.430061,11.0418
1.440406,10.3451
1.449623,9.21721
1.460031,10.4069
1.470092,10.0616
1.480599,10.507
1.493824,13.225
1.502285,8.4608
1.512848,10.5622
1.525772,12.9227
1.534518,8.7465
1.544565,10.0471
1.555187,10.6218
1.56586,10.6724
1.579175,13.3154
1.587525,8.34957
1.597928,10.4029
1.608985,11.0571
1.62216,13.1744
1.632448,10.2876
1.642883,10.4354
1.652406,9.52293
1.663343,10.9365
1.673776,10.4324
1.684093,10.3172
1.695013,10.92
1.706372,11.3584
1.716315,9.94241
1.726678,10.363
1.739125,12.4474
1.749669,10.5428
1.759506,9.83679
1.769932,10.4261
1.780406,10.4742
1.790341,9.93446
1.800987,10.6458
1.811342,10.3552
1.822434,11.0912
1.832752,10.3185
1.844543,11.7905
1.854348,9.80496
1.86459,10.2421
1.875133,10.5388
1.885617,10.4875
1.896296,10.6791
1.906883,10.5867
1.917536,10.6532
1.930441,12.9047
1.94036,9.91829
1.950111,9.75041
1.961747,11.6368
1.972101,10.3527
1.994539,22.4363
1.997228,2.68989
2.005241,8.0125
2.015346,10.1042
2.02387,8.52344
2.033624,9.75386
2.044485,10.8611
2.053538,9.05294
2.065513,11.9736
2.075922,10.4091
2.086698,10.7754
2.09699,10.2919
2.107659,10.6689
2.118001,10.3422
2.128645,10.6437
2.139502,10.8566
2.150156,10.6533
2.163414,13.2578
2.171797,8.38371
2.183835,12.0367
2.194171,10.3363
2.203844,9.67233
2.214489,10.6452
2.226238,11.748
2.235502,9.26391
2.246831,11.3276
2.25773,10.8993
2.268611,10.88
2.279182,10.571
2.289577,10.395
2.300292,10.715
2.311014,10.721
2.321523,10.5087
2.331985,10.462
2.342216,10.2307
2.353166,10.9492
2.363904,10.737
2.37427,10.3664
2.384628,10.3542
2.39533,10.7051
2.405721,10.3916
2.41625,10.5288
2.42696,10.7095
2.437317,10.3574
2.447715,10.3978
2.458526,10.8093
2.468004,9.47755
2.478266,10.263
2.488394,10.1269
2.500723,12.3281
2.510353,9.62938
2.521059,10.706
2.532018,10.9596
2.542553,10.5335
2.55191,9.3569
2.561891,9.98105
2.572175,10.2837
2.582308,10.1324
2.594348,12.0387
2.605269,10.9218
2.614537,9.2674
2.624806,10.2686
2.635206,10.3991
2.645874,10.669
2.657346,11.4715
2.668921,11.5754
2.680154,11.2326
2.688921,8.76666
2.700215,11.2925
2.710777,10.5616
2.721362,10.5842
2.73183,10.4671
2.742447,10.6169
2.752038,9.59106
2.763793,11.7561
2.773706,9.91255
2.784465,10.7583
2.795093,10.6288
2.805874,10.78
2.81543,9.55622
2.828445,13.0135
2.837286,8.84073
2.849526,12.2394
2.85943,9.90373
2.870173,10.7429
2.880512,10.3397
2.891185,10.6685
2.901799,10.6177
2.912041,10.2422
2.92279,10.7479
2.932713,9.92257
2.944222,11.5081
2.955542,11.3199
2.964998,9.45571
2.976783,11.7845
2.986277,9.49407
2.998229,11.9506
3.008653,10.4234
3.019468,10.8145
3.03036,10.8929
3.040648,10.2864
3.05952,18.8697
3.063066,3.5478
3.071979,8.91236
3.081918,9.93911
3.091757,9.83975
3.103036,11.2774
3.11525,12.214
