os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,Intel Core Ultra 7 355,Intel(R) Graphics (PTL),32351840,7.2.5-3-omarchy,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
119.281,8.38355,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,23267171
122.126,8.18823,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,31454780
120.664,8.2875,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,39742488
120.141,8.32354,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,48066018
119.519,8.36688,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,56433200
121.218,8.24962,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,64682808
119.196,8.38951,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,73072768
120.506,8.29836,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,81371740
117.213,8.53151,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,89903220
122.491,8.16389,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,98067301
121.027,8.26264,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,106329946
119.91,8.33962,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,114669757
117.831,8.48673,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,123156668
119.198,8.3894,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,131546202
121.355,8.24032,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,139786749
119.055,8.39949,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,148186365
121.987,8.19763,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,156384320
120.927,8.26948,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,164653647
116.794,8.56207,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,173216207
123.135,8.12117,4.69459,0,54,59,0,2500,0,0,0,22.3547,11.9995,1.8659,4362,181337500
