frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
0,1789864405.457990,13.893,103.637,0.043212,0.021573,181408.667921397
1,1789864405.500599,6.433,103.637,0.043212,0.021573,181408.710530300
2,1789864405.551508,7.286,103.637,0.043212,0.021573,181408.761439021
3,1789864405.601268,6.986,103.637,0.043212,0.021573,181408.811199205
4,1789864405.651171,6.830,103.637,0.043212,0.021573,181408.861102212
5,1789864405.701523,7.076,103.637,0.043212,0.021573,181408.911454166
6,1789864405.752038,7.485,103.637,0.043212,0.021573,181408.961969191
7,1789864405.802288,7.625,103.637,0.043212,0.021573,181409.012218272
8,1789864405.852182,7.326,103.637,0.043212,0.021573,181409.062112752
9,1789864405.902126,7.212,103.637,0.043212,0.021573,181409.112057501
10,1789864405.952266,7.268,103.637,0.043212,0.021573,181409.162196711
11,1789864406.002632,7.575,103.637,0.043212,0.021573,181409.212563207
12,1789864406.052475,7.395,103.637,0.043212,0.021573,181409.262405721
13,1789864406.102137,6.979,103.637,0.043212,0.021573,181409.312068109
14,1789864406.152711,7.473,103.637,0.043212,0.021573,181409.362642264
15,1789864406.202129,6.834,103.637,0.043212,0.021573,181409.412060417
16,1789864406.252622,7.265,103.637,0.043212,0.021573,181409.462552608
17,1789864406.302317,6.904,103.637,0.043212,0.021573,181409.512248595
18,1789864406.352620,7.120,103.637,0.043212,0.021573,181409.562551052
19,1789864406.403030,7.444,103.637,0.043212,0.021573,181409.612961452
20,1789864406.453159,7.470,103.637,0.043212,0.021573,181409.663089388
21,1789864406.503101,7.331,103.637,0.043212,0.021573,181409.713032109
22,1789864406.553135,7.301,103.637,0.043212,0.021573,181409.763065832
23,1789864406.608827,12.934,103.637,0.043212,0.021573,181409.818757810
24,1789864406.649996,4.043,103.637,0.043212,0.021573,181409.859926971
25,1789864406.700055,4.026,103.637,0.043212,0.021573,181409.909986140
26,1789864406.750002,3.927,103.637,0.043212,0.021573,181409.959932688
27,1789864406.802571,6.440,103.637,0.043212,0.021573,181410.012502029
28,1789864406.850593,4.401,86.785,0.053360,0.155645,181410.060523781
29,1789864406.900586,4.337,86.785,0.053360,0.155645,181410.110517099
30,1789864406.951650,5.338,86.785,0.053360,0.155645,181410.161580813
31,1789864407.000845,4.169,86.695,0.053898,0.155444,181410.210776028
32,1789864407.050722,3.982,86.695,0.053898,0.155444,181410.260652785
33,1789864407.101591,4.816,86.695,0.053898,0.155444,181410.311522360
34,1789864407.151490,4.639,86.695,0.053898,0.155444,181410.361421412
35,1789864407.203233,6.319,86.695,0.053898,0.155444,181410.413164634
36,1789864407.251418,4.442,86.695,0.053898,0.155444,181410.461348670
37,1789864407.300964,3.929,86.695,0.053898,0.155444,181410.510894911
38,1789864407.352079,4.997,86.695,0.053898,0.155444,181410.562010265
39,1789864407.402066,4.390,86.695,0.053898,0.155444,181410.611996672
40,1789864407.451657,3.903,86.695,0.053898,0.155444,181410.661588099
41,1789864407.501986,4.154,86.695,0.053898,0.155444,181410.711917456
