frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
0,1789863767.530712,19.899,103.637,0.043212,0.021573,180770.740642706
1,1789863767.571577,10.702,103.637,0.043212,0.021573,180770.781508219
2,1789863767.618678,7.739,103.637,0.043212,0.021573,180770.828609432
3,1789863767.668791,7.760,103.637,0.043212,0.021573,180770.878722373
4,1789863767.718908,7.784,103.637,0.043212,0.021573,180770.928839201
5,1789863767.769027,7.760,103.637,0.043212,0.021573,180770.978957656
6,1789863767.819040,7.716,103.637,0.043212,0.021573,180771.028970610
7,1789863767.869230,7.787,103.637,0.043212,0.021573,180771.079161409
8,1789863767.919372,7.827,103.637,0.043212,0.021573,180771.129303367
9,1789863767.969433,7.775,103.637,0.043212,0.021573,180771.179364184
10,1789863768.019471,7.714,103.637,0.043212,0.021573,180771.229401769
11,1789863768.069583,7.746,103.637,0.043212,0.021573,180771.279514226
12,1789863768.119824,7.904,103.637,0.043212,0.021573,180771.329754989
13,1789863768.169713,7.730,103.637,0.043212,0.021573,180771.379644661
14,1789863768.219881,7.782,103.637,0.043212,0.021573,180771.429812096
15,1789863768.269869,7.713,103.637,0.043212,0.021573,180771.479800410
16,1789863768.320159,7.936,103.637,0.043212,0.021573,180771.530089762
17,1789863768.370146,7.805,103.637,0.043212,0.021573,180771.580076729
18,1789863768.420264,7.831,103.637,0.043212,0.021573,180771.630194713
19,1789863768.470219,7.730,103.637,0.043212,0.021573,180771.680149845
20,1789863768.519887,7.318,103.637,0.043212,0.021573,180771.729818463
21,1789863768.574409,11.780,103.637,0.043212,0.021573,180771.784340317
22,1789863768.618325,5.638,103.637,0.043212,0.021573,180771.828255890
23,1789863768.674831,12.053,100.120,0.002352,0.000336,180771.884762282
24,1789863768.718191,5.329,100.120,0.002352,0.000336,180771.928121761
25,1789863768.768353,5.409,100.120,0.002352,0.000336,180771.978283645
26,1789863768.819151,6.135,100.120,0.002352,0.000336,180772.029082041
27,1789863768.878623,15.517,100.120,0.002352,0.000336,180772.088554624
28,1789863768.919948,6.756,100.120,0.002352,0.000336,180772.129879351
29,1789863768.969794,6.523,100.120,0.002352,0.000336,180772.179725480
30,1789863769.020586,7.255,100.120,0.002352,0.000336,180772.230516655
31,1789863769.070628,7.221,100.120,0.002352,0.000336,180772.280559527
32,1789863769.120980,7.509,100.120,0.002352,0.000336,180772.330910887
33,1789863769.171039,7.451,100.120,0.002352,0.000336,180772.380970208
34,1789863769.220967,7.300,100.120,0.002352,0.000336,180772.430897584
35,1789863769.271267,7.549,100.120,0.002352,0.000336,180772.481198236
36,1789863769.321187,7.396,100.120,0.002352,0.000336,180772.531117779
37,1789863769.371173,7.265,100.120,0.002352,0.000336,180772.581103682
38,1789863769.421616,7.596,100.120,0.002352,0.000336,180772.631546940
39,1789863769.471264,7.102,100.120,0.002352,0.000336,180772.681194815
40,1789863769.521621,7.386,100.120,0.002352,0.000336,180772.731551861
41,1789863769.571716,7.404,100.120,0.002352,0.000336,180772.781646493
42,1789863769.621959,7.590,100.120,0.002352,0.000336,180772.831889946
43,1789863769.671805,7.379,100.120,0.002352,0.000336,180772.881736152
44,1789863769.722012,7.498,100.120,0.002352,0.000336,180772.931942818
45,1789863769.771941,7.370,100.120,0.002352,0.000336,180772.981872341
46,1789863769.822215,7.524,100.120,0.002352,0.000336,180773.032145796
47,1789863769.872043,7.247,100.120,0.002352,0.000336,180773.081974311
48,1789863769.922267,7.348,100.120,0.002352,0.000336,180773.132198268
