frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
0,1789864079.011284,17.954,103.637,0.043212,0.021573,181082.221214906
1,1789864079.053993,10.600,103.637,0.043212,0.021573,181082.263923438
2,1789864079.101291,7.839,103.637,0.043212,0.021573,181082.311221714
3,1789864079.151423,7.882,103.637,0.043212,0.021573,181082.361354502
4,1789864079.201446,7.815,103.637,0.043212,0.021573,181082.411377361
5,1789864079.251404,7.712,103.637,0.043212,0.021573,181082.461334482
6,1789864079.301563,7.795,103.637,0.043212,0.021573,181082.511494029
7,1789864079.351544,7.718,103.637,0.043212,0.021573,181082.561474877
8,1789864079.401653,7.766,103.637,0.043212,0.021573,181082.611584153
9,1789864079.451637,7.693,103.637,0.043212,0.021573,181082.661567502
10,1789864079.501763,7.754,103.637,0.043212,0.021573,181082.711694386
11,1789864079.551808,7.734,103.637,0.043212,0.021573,181082.761738576
12,1789864079.601925,7.792,103.637,0.043212,0.021573,181082.811856284
13,1789864079.652101,7.910,103.637,0.043212,0.021573,181082.862031448
14,1789864079.702143,7.895,103.637,0.043212,0.021573,181082.912073983
15,1789864079.752147,7.841,103.637,0.043212,0.021573,181082.962078570
16,1789864079.802284,7.902,103.637,0.043212,0.021573,181083.012214495
17,1789864079.852344,7.904,103.637,0.043212,0.021573,181083.062275284
18,1789864079.902321,7.799,103.637,0.043212,0.021573,181083.112252171
19,1789864079.952503,7.889,103.637,0.043212,0.021573,181083.162434317
20,1789864080.002017,7.338,103.637,0.043212,0.021573,181083.211947627
21,1789864080.061897,17.137,103.637,0.043212,0.021573,181083.271828011
22,1789864080.105576,10.734,103.637,0.043212,0.021573,181083.315507128
23,1789864080.149190,4.261,109.863,0.032325,0.000336,181083.359120989
24,1789864080.199030,4.015,108.865,0.002621,0.000336,181083.408961563
25,1789864080.248816,3.713,101.342,0.002285,0.000336,181083.458747238
26,1789864080.299259,4.075,100.167,0.002621,0.000336,181083.509189988
27,1789864080.350565,5.318,100.120,0.002352,0.000336,181083.560496386
28,1789864080.399268,3.957,100.120,0.002352,0.000336,181083.609199074
29,1789864080.449514,4.122,100.120,0.002352,0.000336,181083.659445522
30,1789864080.499769,4.293,100.120,0.002352,0.000336,181083.709700426
31,1789864080.554446,8.912,100.120,0.002352,0.000336,181083.764377546
32,1789864080.600385,4.677,100.120,0.002352,0.000336,181083.810315905
33,1789864080.650148,4.382,100.120,0.002352,0.000336,181083.860078994
34,1789864080.700635,4.757,100.120,0.002352,0.000336,181083.910566071
35,1789864080.750679,4.665,100.120,0.002352,0.000336,181083.960610128
36,1789864080.801236,5.162,100.120,0.002352,0.000336,181084.011166519
37,1789864080.851253,5.062,100.120,0.002352,0.000336,181084.061184233
38,1789864080.901804,5.551,100.120,0.002352,0.000336,181084.111735482
39,1789864080.952062,5.668,100.120,0.002352,0.000336,181084.161992599
40,1789864081.002977,6.480,100.120,0.002352,0.000336,181084.212907649
41,1789864081.053166,6.551,100.120,0.002352,0.000336,181084.263097338
42,1789864081.103881,7.154,100.120,0.002352,0.000336,181084.313812091
43,1789864081.153616,6.772,100.120,0.002352,0.000336,181084.363547064
44,1789864081.204272,7.286,100.120,0.002352,0.000336,181084.414202861
45,1789864081.254741,7.698,100.120,0.002352,0.000336,181084.464672502
46,1789864081.304938,7.808,100.120,0.002352,0.000336,181084.514868910
47,1789864081.354875,7.687,100.120,0.002352,0.000336,181084.564806095
48,1789864081.404740,7.493,100.120,0.002352,0.000336,181084.614671119
49,1789864081.454948,7.641,100.120,0.002352,0.000336,181084.664879328
50,1789864081.505105,7.738,100.120,0.002352,0.000336,181084.715035656
51,1789864081.555441,8.014,100.120,0.002352,0.000336,181084.765372179
52,1789864081.606617,9.130,100.120,0.002352,0.000336,181084.816547976
53,1789864081.670116,22.571,100.274,0.002218,0.000336,181084.880047448
54,1789864081.708627,11.026,101.650,0.001882,0.000336,181084.918558186
55,1789864081.751727,4.046,109.554,0.002419,0.000336,181084.961658328
56,1789864081.802028,4.288,109.675,0.034073,0.000336,181085.011959166
57,1789864081.851892,4.092,104.510,0.042339,0.000336,181085.061822821
58,1789864081.908963,11.105,103.637,0.043212,0.021573,181085.118894512
59,1789864081.952169,4.249,103.637,0.043212,0.021573,181085.162099940
60,1789864082.002383,4.401,103.637,0.043212,0.021573,181085.212314182
61,1789864082.052326,4.261,103.637,0.043212,0.021573,181085.262256860
62,1789864082.104520,6.346,103.637,0.043212,0.021573,181085.314450662
63,1789864082.152608,4.373,103.637,0.043212,0.021573,181085.362539324
64,1789864082.203173,4.877,103.637,0.043212,0.021573,181085.413103573
65,1789864082.253026,4.671,103.637,0.043212,0.021573,181085.462957247
66,1789864082.303570,5.124,103.637,0.043212,0.021573,181085.513501156
67,1789864082.353498,4.993,103.637,0.043212,0.021573,181085.563428525
68,1789864082.404076,5.487,103.637,0.043212,0.021573,181085.614007275
69,1789864082.454328,5.655,103.637,0.043212,0.021573,181085.664259398
